"type_searchedVerb","type_selection3"
"embrujar","1. tr. Hechizar, trastornar a alguien el juicio o la salud con prácticas supersticiosas."
"embutir","1. tr. Hacer embutidos."
"emocionar","1. tr. Conmover el ánimo, causar emoción. U. t. c. prnl."
"empachar","1. tr. estorbar (‖ molestar). U. t. c. prnl."
"empapar","1. tr. Humedecer algo de modo que quede enteramente penetrado de un líquido. Empapar un trozo de pan en vino. U. t. c. prnl. El pan se empapa en el vino."
"empaquetar","1. tr. Hacer paquetes."
"emparejar","1. tr. Juntar dos personas, animales o cosas formando pareja. U. t. c. prnl."
"empatar","1. tr. Dicho de dos o más personas o grupos: Obtener un mismo número de puntos o de votos en una votación. U. m. c. intr. U. t. c. prnl."
"empeorar","1. tr. Hacer que aquel o aquello que ya era o estaba malo, sea o se ponga peor. U. t. c. intr. y c. prnl."
"empequeñecer","1. tr. Minorar algo, hacerlo más pequeño, o amenguar su importancia o estimación. U. t. c. intr. y c. prnl."
"empezar","1. tr. Dar principio a algo."
"emplear","1. tr. Ocupar a alguien, encargándole un negocio, comisión o puesto. U. t. c. prnl."
"emplumar","1. tr. Poner plumas, ya para adorno, como en los morriones y sombreros, ya para facilitar el vuelo, como en la saeta y el dardo."
"empobrecer","1. tr. Hacer que alguien venga al estado de pobreza."
"empollar","1. tr. Dicho de un ave: Incubar los huevos. U. t. c. intr."
"empujar","1. tr. Hacer fuerza contra alguien o algo para moverlo, sostenerlo o rechazarlo."
"enaltecer","1. tr. ensalzar. U. t. c. prnl."
"enamorar","1. tr. Despertar en alguien un sentimiento amoroso."
"enardecer","1. tr. Excitar o avivar una pasión del ánimo, una pugna, una disputa, etc. U. t. c. prnl."
"encabestrar","1. tr. Poner el cabestro a los animales."
"encabezar","1. tr. Registrar, poner en matrícula a alguien."
"encajar","1. tr. Meter algo, o parte de ello, dentro de otra cosa. Encajar la llave en la cerradura. U. t. c. intr."
"encajonar","1. tr. Meter y guardar algo dentro de uno o más cajones."
"encaminar","1. tr. Enseñar a alguien por dónde ha de ir, ponerlo en camino. U. t. c. prnl."
"encandilar","1. tr. Deslumbrar a alguien. Nos encandiló el destello del flash. U. t. c. intr."
"encarcelar","1. tr. Meter a alguien en la cárcel."
"encariñar","1. tr. Aficionar a alguien, despertar o excitar cariño hacia algo. U. m. c. prnl."
"encender","1. tr. Iniciar la combustión de algo. U. t. c. prnl."
"encenizar","1. tr. Echar ceniza sobre algo. U. t. c. prnl."
"encestar","1. tr. Poner, recoger, guardar algo en una cesta."
"encimar","1. tr. Poner en alto a alguien o algo. U. t. c. intr."
"encoger","1. tr. Retirar contrayendo algo, especialmente el cuerpo o sus miembros. U. t. c. prnl."
"encolar","1. tr. Pegar con cola algo."
"encolerizar","1. tr. Hacer que alguien se ponga colérico. U. t. c. prnl."
"encomendar","1. tr. Encargar a alguien que haga algo o que cuide de algo o de alguien."
"encontrar","1. tr. Dar con alguien o algo que se busca."
"encorvar","1. tr. Doblar y torcer algo poniéndolo corvo. U. t. c. prnl."
"encubrir","1. tr. Ocultar algo o no manifestarlo. U. t. c. prnl."
"encumbrar","1. tr. Levantar en alto. U. t. c. prnl."
"enderezar","1. tr. Poner derecho lo que está torcido. U. t. c. prnl."
"endiosar","1. tr. Elevar a alguien a la divinidad."
"endulzar","1. tr. Hacer dulce algo. U. t. c. prnl."
"endurecer","1. tr. Poner duro algo. U. t. c. prnl."
"enemistar","1. tr. Hacer a alguien enemigo de otra persona, o hacer perder la amistad. U. t. c. prnl."
"enfadar","1. tr. Causar enfado. U. t. c. prnl."
"enfermar","1. tr. Causar enfermedad."
"enflaquecer","1. tr. Poner flaco a alguien, disminuyendo su corpulencia o sus fuerzas."
"enfrentar","1. tr. afrontar (‖ poner una cosa enfrente de otra). U. t. c. prnl."
"enfriar","1. tr. Poner o hacer que se ponga frío algo. U. t. c. intr. y c. prnl."
"enfurecer","1. tr. Irritar a alguien, ponerlo furioso. U. t. c. prnl."
"engalanar","1. tr. Poner galano a alguien o algo, adornar. U. t. c. prnl."
"engañar","1. tr. Hacer creer a alguien que algo falso es verdadero. U. t. c. prnl. No te engañes: lo ha hecho a propósito."
"engendrar","1. tr. Dicho de una persona o de un animal: Dar vida a un nuevo ser. U. t. c. intr. Ya está en edad de engendrar."
"engomar","1. tr. Untar de goma los papeles y otros objetos para lograr su adherencia."
"engordar","1. tr. Hacer que alguien o algo pasen a estar gordos. U. t. c. intr. Los dulces engordan."
"engrandecer","1. tr. Aumentar, hacer grande algo."
"engrasar","1. tr. Untar, manchar con pringue o grasa. U. t. c. prnl."
"engrillar","1. tr. Meter en grillos."
"engrosar","1. tr. Hacer grueso y más corpulento algo, o darle espesor o crasitud. U. t. c. prnl. U. t. en sent. fig."
"engullir","1. tr. Tragar la comida atropelladamente y sin mascarla. U. t. c. intr."
"enhebrar","1. tr. Pasar la hebra por el ojo de la aguja o por el agujero de las cuentas, perlas, etc."
"enjugar","1. tr. Quitar la humedad superficial de algo absorbiéndola con un paño, una esponja, etc."
"enlazar","1. tr. Coger o juntar algo con lazos."
"enmohecer","1. tr. Cubrir de moho algo. U. t. c. intr. y más c. prnl."
"enmudecer","1. tr. Hacer callar."
"ennegrecer","1. tr. Teñir de negro, poner negro. U. t. c. prnl."
"enojar","1. tr. Causar enojo. U. m. c. prnl."
"enredar","1. tr. Prender con red."
"enriquecer","1. tr. Hacer rica a una persona, comarca, nación, fábrica, industria u otra cosa. U. m. c. prnl."
"enristrar","1. tr. Poner la lanza en el ristre."
"enrojecer","1. tr. Poner rojo algo con el calor o el fuego. U. t. c. prnl."
"enrollar","1. tr. Poner algo en forma de rollo. U. t. c. prnl. Las hojas de las plantas se enrollan cuando padecen ciertas plagas."
"ensalzar","1. tr. engrandecer (‖ elevar a grado o dignidad superior)."
"ensanchar","1. tr. Extender, dilatar, aumentar la anchura de algo."
"ensangrentar","1. tr. Manchar o teñir de sangre. U. t. c. prnl. U. t. en sent. fig."
"enseñar","1. tr. Instruir, doctrinar, amaestrar con reglas o preceptos."
"ensortijar","1. tr. Rizar, encrespar el cabello, hilo, etc., en forma de sortija. U. t. c. prnl."
"ensuciar","1. tr. manchar (‖ poner sucio algo). U. t. c. prnl."
"entender","1. tr. Tener idea clara de las cosas."
"enterar","1. tr. Informar a alguien de algo o instruirlo en cualquier negocio. U. t. c. prnl."
"enternecer","1. tr. Ablandar, poner tierno y blando algo. U. t. c. prnl."
"enterrar","1. tr. Poner algo o a alguien debajo de tierra."
"entontecer","1. tr. Poner a alguien tonto."
"entornar","1. tr. Volver la puerta o la ventana sin cerrarla del todo."
"entrar","1. intr. Ir o pasar de fuera adentro. U. t. c. prnl. U. t. en sent. fig."
"entreabrir","1. tr. Abrir un poco o a medias una puerta, ventana, postigo, etc. U. t. c. prnl."
"entregar","1. tr. Dar algo a alguien, o hacer que pase a tenerlo. Entregar los trofeos."
"entresacar","1. tr. Sacar algo de entre otra cosa."
"entretejer","1. tr. Meter o insertar en la tela que se teje hilos diferentes para que hagan distinto dibujo."
"entreverar","1. tr. Mezclar o introducir algo entre otras cosas."
"entrevistar","1. tr. Mantener una conversación con una o varias personas acerca de ciertos extremos, para informar al público de sus respuestas."
"entristecer","1. tr. Causar tristeza a alguien. U. t. c. intr."
"enturbiar","1. tr. Hacer o poner turbio algo. U. t. c. prnl."
"entusiasmar","1. tr. Infundir entusiasmo. U. t. c. prnl."
"enumerar","1. tr. Nombrar varias cosas, una detrás de otra."
"envalentonar","1. tr. Infundir valentía o arrogancia."
"envasar","1. tr. Echar en vasos o vasijas un líquido."
"envenenar","1. tr. Administrar un veneno a una persona o un animal."
"enviar","1. tr. Encomendar a alguien que vaya a alguna parte."
"envolver","1. tr. Cubrir un objeto parcial o totalmente, ciñéndolo de tela, papel u otra cosa análoga."
"equiparar","1. tr. Considerar a alguien o algo igual o equivalente a otra persona o cosa."
"errar","1. tr. No acertar algo. Errar el blanco, la vocación. U. t. c. intr. Errar en la respuesta. Era u. t. c. prnl."
"escampar","1. intr. impers. Cesar de llover."
"escanciar","1. tr. Echar o servir una bebida, especialmente vino, sidra u otro licor."
"escapar","1. intr. Salir de un encierro o un peligro. Escapar de la prisión, de la enfermedad. U. t. c. prnl."
"escarbar","1. tr. Rayar o remover repetidamente la superficie de la tierra, ahondando algo en ella, según suelen hacerlo con las patas el toro, el caballo, la gallina, etc."
"escasear","1. intr. Ser escaso o poco abundante."
"esclarecer","1. tr. Iluminar algo, ponerlo claro y luciente."
"escoger","1. tr. Tomar o elegir una o más cosas o personas entre otras. U. t. c. intr."
"esconder","1. tr. encubrir (‖ ocultar). U. t. c. prnl."
"escribir","1. tr. Representar las palabras o las ideas con letras u otros signos trazados en papel u otra superficie. U. t. c. intr."
"escuchar","1. tr. Prestar atención a lo que se oye."
"esculpir","1. tr. Labrar a mano una obra de escultura, especialmente en piedra, madera o metal."
"escupir","1. intr. Arrojar saliva por la boca. Escupir en el suelo."
"escurrir","1. tr. Apurar los restos o últimas gotas de un líquido que han quedado en un recipiente. Escurrir el vino, el aceite."
"espaciar","1. tr. Poner espacio entre las cosas."
"espantar","1. tr. Causar espanto, dar susto, infundir miedo. U. t. c. intr. y c. prnl."
"esparcir","1. tr. Extender lo que está junto o amontonado. U. t. c. prnl."
"esperar","1. tr. Tener esperanza de conseguir lo que se desea."
"espesar","1. tr. Hacer algo espeso o más espeso."
"espiar","1. tr. Acechar, observar disimuladamente a alguien o algo."
"esponjar","1. tr. Ahuecar o hacer más poroso un cuerpo."
"esposar","1. tr. Sujetar con esposas."
"espulgar","1. tr. Limpiar de pulgas o piojos. U. t. c. prnl."
"esquivar","1. tr. Evitar, rehusar."
"establecer","1. tr. Fundar, instituir. Establecer una monarquía, una fundación."
"estafar","1. tr. Pedir o sacar dinero o cosas de valor con artificios y engaños, y con ánimo de no pagar."
"estallar","1. intr. Dicho de una cosa: Henderse o reventar de golpe, con chasquido o estruendo."
"estancar","1. tr. Detener y parar el curso y corriente de un líquido. U. t. c. prnl."
"estar","1. copulat. U. para expresar un determinado estado del sujeto."
"estilar","1. intr. Usar, tener por costumbre, practicar. Se disfrazó según estilaban los romanos. U. t. c. tr. Acamparán como estilan hacerlo los indígenas."
"estimar","1. tr. Calcular o determinar el valor de algo. Estimaron los daños en mucho dinero."
"estimular","1. tr. Hacer que alguien quiera hacer algo o hacerlo en mayor medida. Se quiere estimular al ciudadano a usar el transporte público."
"estirar","1. tr. Alargar o extender algo tirando de sus extremos. Estira el jersey colgándolo mojado."
"estorbar","1. tr. Poner dificultad u obstáculo a la ejecución de algo."
"estornudar","1. intr. Despedir o arrojar con violencia el aire de los pulmones, por la espiración involuntaria y repentina promovida por un estímulo que actúa sobre la membrana pituitaria."
"estrangular","1. tr. Ahogar a una persona o a un animal oprimiéndole el cuello hasta impedir la respiración. U. t. c. prnl."
"estrechar","1. tr. Reducir a menor anchura o espacio algo. U. t. c. prnl."
"estremecer","1. tr. Hacer temblar algo. El ruido del cañonazo estremeció las casas."
"estrenar","1. tr. Hacer uso por primera vez de algo. Estrenar un traje, una escopeta, un edificio."
"estribar","1. intr. Dicho de una cosa: Descansar en otra sólida y firme."
"estropear","1. tr. Maltratar a alguien, dejándolo lisiado. U. t. c. prnl."
"estrujar","1. tr. Apretar algo para sacarle el zumo."
"estudiar","1. tr. Ejercitar el entendimiento para alcanzar o comprender algo."
"eternizar","1. tr. Hacer durar o prolongar algo demasiado. U. t. c. prnl."
"evacuar","1. tr. Desocupar algo."
"evaluar","1. tr. Señalar el valor de algo."
"evocar","1. tr. Recordar algo o a alguien, o traerlos a la memoria. Evocamos juntos nuestro pasado."
"exaltar","1. tr. Elevar a alguien o algo a gran auge o dignidad."
"existir","1. intr. Dicho de una cosa: Ser real y verdadera."
"expeler","1. tr. expulsar."
"expirar","1. intr. Acabar la vida."
"explicar","1. tr. Declarar, manifestar, dar a conocer lo que alguien piensa. U. t. c. prnl."
"explotar","1. tr. Extraer de las minas la riqueza que contienen."
"expresar",""
