achúra,menudencias,menudencia,N,C,F,P
akãguapy,tranquilidad,tranquilidad,N,C,F,S
akãguapy,tranquilidades,tranquilidad,N,C,F,P
akãguapy,sosiego,sosiego,N,C,M,S
akãguapy,sosiegos,sosiego,N,C,M,P
akãguapy,mesura,mesura,N,C,F,S
akãguapy,mesuras,mesura,N,C,F,P
akãguapy,paces,paz,N,C,F,P
akãguapy,paz,paz,N,C,F,S
akãguapy,sensateces,sensatez,N,C,F,P
akãguapy,sensatez,sensatez,N,C,F,S
akãguapy,templanza,templanza,N,C,F,S
akãguapy,templanzas,templanza,N,C,F,P
akãguapy,reposo,reposo,N,C,M,S
akãguapy,reposos,reposo,N,C,M,P
akãguapy,cordura,cordura,N,C,F,S
akãguapy,corduras,cordura,N,C,F,P
akãguasu,inteligencia,inteligencia,N,C,F,S
akãguasu,inteligencias,inteligencia,N,C,F,P
akãhatã,terquedad,terquedad,N,C,F,S
akãhatã,terquedades,terquedad,N,C,F,P
akãhatãngue,travesura,travesura,N,C,F,S
akãhatãngue,travesuras,travesura,N,C,F,P
akãhatãngue,terquedad,terquedad,N,C,F,S
akãhatãngue,terquedades,terquedad,N,C,F,P
akãhoja,manto,manto,N,C,M,S
akãhoja,mantos,manto,N,C,M,P
akãhoja,sombrero,sombrero,N,C,M,S
akãhoja,sombreros,sombrero,N,C,M,P
akãjere,mareo,mareo,N,C,M,S
akãjere,mareos,mareo,N,C,M,P
akãkangue,cráneo,cráneo,N,C,M,S
akãkangue,cráneos,cráneo,N,C,M,P
akãkanguekue,calavera,calavera,N,C,F,S
akãkanguekue,calaveras,calavera,N,C,F,P
akãmbota,coscorrón,coscorrón,N,C,M,S
akãmbota,coscorrones,coscorrón,N,C,M,P
akãmbyte,coronilla,coronilla,N,C,F,S
akãmbyte,coronillas,coronilla,N,C,F,P
akãngao,sombrero,sombrero,N,C,M,S
akãngao,sombreros,sombrero,N,C,M,P
akãnga'u,mareo,mareo,N,C,M,S
akãnga'u,mareos,mareo,N,C,M,P
akãnga'u,vértigo,vértigo,N,C,M,S
akãnga'u,vértigos,vértigo,N,C,M,P
akãngua,mente,mente,N,C,F,S
akãngua,mentes,mente,N,C,F,P
akãnundu,fiebre,fiebre,N,C,F,S
akãnundu,fiebres,fiebre,N,C,F,P
akãnunduro'y,malaria,malaria,N,C,F,S
akãnunduro'y,malarias,malaria,N,C,F,P
akãnunduro'y,paludismo,paludismo,N,C,M,S
akãnunduro'y,paludismos,paludismo,N,C,M,P
akãnunduro'y,chucho,chucho,N,C,M,S
akãnunduro'y,chuchos,chucho,N,C,M,P
akão,sombrero,sombrero,N,C,M,S
akão,sombreros,sombrero,N,C,M,P
akãpete,coscorrón,coscorrón,N,C,M,S
akãpete,coscorrones,coscorrón,N,C,M,P
akãporã,talento,talento,N,C,M,S
akãporã,talentos,talento,N,C,M,P
akãporã,inteligencia,inteligencia,N,C,F,S
akãporã,inteligencias,inteligencia,N,C,F,P
akãrague,cabello,cabello,N,C,M,S
akãrague,cabellos,cabello,N,C,M,P
akãrague,cabellera,cabellera,N,C,F,S
akãrague,cabelleras,cabellera,N,C,F,P
akãraku,entusiasmo,entusiasmo,N,C,M,S
akãraku,entusiasmos,entusiasmo,N,C,M,P
akãraku,apasionamiento,apasionamiento,N,C,M,S
akãraku,apasionamientos,apasionamiento,N,C,M,P
akãraku,vehemencia,vehemencia,N,C,F,S
akãraku,vehemencias,vehemencia,N,C,F,P
akãraku,fervor,fervor,N,C,M,S
akãraku,fervores,fervor,N,C,M,P
akãrapu'ã,triunfo,triunfo,N,C,M,S
akãrapu'ã,triunfos,triunfo,N,C,M,P
akãrapu'ã,progreso,progreso,N,C,M,S
akãrapu'ã,progresos,progreso,N,C,M,P
akãrapu'ã,crecimiento,crecimiento,N,C,M,S
akãrapu'ã,crecimientos,crecimiento,N,C,M,P
akãrapu'ã,desarrollo,desarrollo,N,C,M,S
akãrapu'ã,desarrollos,desarrollo,N,C,M,P
akãrasy,cefalalgia,cefalalgia,N,C,F,S
akãrasy,cefalalgias,cefalalgia,N,C,F,P
akãratĩ,cuernos,cuerno,N,C,M,P
akãsã,cabestro,cabestro,N,C,M,S
akãsã,cabestros,cabestro,N,C,M,P
"akãtarova,_akãtavy",mareo,mareo,N,C,M,S
"akãtarova,_akãtavy",mareos,mareo,N,C,M,P
akãtĩ,canas,cana,N,C,F,P
akã'y,hidrocefalia,hidrocefalia,N,C,F,S
akã'y,hidrocefalias,hidrocefalia,N,C,F,P
ama,lluvia,lluvia,N,C,F,S
ama,lluvias,lluvia,N,C,F,P
amambái,helecho,helecho,N,C,M,S
amambái,helechos,helecho,N,C,M,P
amamo'ãha,impermeable,impermeable,N,C,M,S
amamo'ãha,impermeables,impermeable,N,C,M,P
amamo'ãha,paraguas,paraguas,N,C,M,N
amandaje,asamblea,asamblea,N,C,F,S
amandaje,asambleas,asamblea,N,C,F,P
amandaje,convención,convención,N,C,F,S
amandaje,convenciones,convención,N,C,F,P
amandaje,mitin,mitin,N,C,M,S
amandaje,mítines,mitin,N,C,M,P
amandaje,vecindario,vecindario,N,C,M,S
amandaje,vecindarios,vecindario,N,C,M,P
amandaje,llamamiento,llamamiento,N,C,M,S
amandaje,llamamientos,llamamiento,N,C,M,P
amandayvi,garúa,garúa,N,C,F,S
amandayvi,garúas,garúa,N,C,F,P
amandáu,granizo,granizo,N,C,M,S
amandáu,granizos,granizo,N,C,M,P
amangy,aguacero,aguacero,N,C,M,S
amangy,aguaceros,aguacero,N,C,M,P
amangy,garúa,garúa,N,C,F,S
amangy,garúas,garúa,N,C,F,P
amavera,relámpago,relámpago,N,C,M,S
amavera,relámpagos,relámpago,N,C,M,P
ambere,lagartija,lagartija,N,C,F,S
ambere,lagartijas,lagartija,N,C,F,P
ambopi,fleco,fleco,N,C,M,S
ambopi,flecos,fleco,N,C,M,P
ambu,jadeo,jadeo,N,C,M,S
ambu,jadeos,jadeo,N,C,M,P
ambu,ronquido,ronquido,N,C,M,S
ambu,ronquidos,ronquido,N,C,M,P
ambu'a,miriápodo,miriápodo,N,C,M,S
ambu'a,miriápodos,miriápodo,N,C,M,P
ambu'a,milpiés,milpiés,N,C,M,N
ambýu,moco,moco,N,C,M,S
ambýu,mocos,moco,N,C,M,P
ambýu,flema,flema,N,C,F,S
ambýu,flemas,flema,N,C,F,P
amyrỹi,difunta,difunto,N,C,F,S
amyrỹi,difuntas,difunto,N,C,F,P
amyrỹi,difunto,difunto,N,C,M,S
amyrỹi,difuntos,difunto,N,C,M,P
amyrỹi,finada,finado,N,C,F,S
amyrỹi,finadas,finado,N,C,F,P
amyrỹi,finado,finado,N,C,M,S
amyrỹi,finados,finado,N,C,M,P
anambusukue,grosor,grosor,N,C,M,S
anambusukue,grosores,grosor,N,C,M,P
anana,piña,piña,N,C,F,S
anana,piñas,piña,N,C,F,P
anana,ananás,ananás,N,C,M,N
anana,ananases,ananás,N,C,M,P
andai,calabaza,calabaza,N,C,F,S
andai,calabazas,calabaza,N,C,F,P
andu,sentimiento,sentimiento,N,C,M,S
andu,sentimientos,sentimiento,N,C,M,P
andu,sensación,sensación,N,C,F,S
andu,sensaciones,sensación,N,C,F,P
andu,sensibilidad,sensibilidad,N,C,F,S
andu,sensibilidades,sensibilidad,N,C,F,P
andu,visita,visita,N,C,F,S
andu,visitas,visita,N,C,F,P
andu,presentimiento,presentimiento,N,C,M,S
andu,presentimientos,presentimiento,N,C,M,P
andu,sentido,sentido,N,C,M,S
andu,sentidos,sentido,N,C,M,P
andupe'aha,narcótico,narcótico,N,C,M,S
andupe'aha,narcóticos,narcótico,N,C,M,P
andýra,murciélago,murciélago,N,C,M,S
andýra,murciélagos,murciélago,N,C,M,P
andýra,vampiro,vampiro,N,C,M,S
andýra,vampiros,vampiro,N,C,M,P
angaipa,pecado,pecado,N,C,M,S
angaipa,pecados,pecado,N,C,M,P
angaipa,culpa,culpa,N,C,F,S
angaipa,culpas,culpa,N,C,F,P
angaipa,crimen,crimen,N,C,M,S
angaipa,crímenes,crimen,N,C,M,P
angaipa,falta,falta,N,C,F,S
angaipa,faltas,falta,N,C,F,P
angajevy,arrepentimiento,arrepentimiento,N,C,M,S
angajevy,arrepentimientos,arrepentimiento,N,C,M,P
angapyhy,satisfacción,satisfacción,N,C,F,S
angapyhy,satisfacciones,satisfacción,N,C,F,P
angapyhy,placer,placer,N,C,M,S
angapyhy,placeres,placer,N,C,M,P
angapyhy,paces,paz,N,C,F,P
angapyhy,paz,paz,N,C,F,S
angapyhy,consuelo,consuelo,N,C,M,S
angapyhy,consuelos,consuelo,N,C,M,P
angapyhy,fruición,fruición,N,C,F,S
angapyhy,fruiciones,fruición,N,C,F,P
angareko,cuidado,cuidado,N,C,M,S
angareko,cuidados,cuidado,N,C,M,P
angareko,inquietud,inquietud,N,C,F,S
angareko,inquietudes,inquietud,N,C,F,P
angata,preocupación,preocupación,N,C,F,S
angata,preocupaciones,preocupación,N,C,F,P
angata,cuidado,cuidado,N,C,M,S
angata,cuidados,cuidado,N,C,M,P
angata,angustia,angustia,N,C,F,S
angata,angustias,angustia,N,C,F,P
angata,aflicción,aflicción,N,C,F,S
angata,aflicciones,aflicción,N,C,F,P
angata,anhelo,anhelo,N,C,M,S
angata,anhelos,anhelo,N,C,M,P
angata,inquietud,inquietud,N,C,F,S
angata,inquietudes,inquietud,N,C,F,P
angata,melancolía,melancolía,N,C,F,S
angata,melancolías,melancolía,N,C,F,P
anga'u,recuerdo,recuerdo,N,C,M,S
anga'u,recuerdos,recuerdo,N,C,M,P
anga'u,añoranza,añoranza,N,C,F,S
anga'u,añoranzas,añoranza,N,C,F,P
angekói,inquietud,inquietud,N,C,F,S
angekói,inquietudes,inquietud,N,C,F,P
angekói,malestar,malestar,N,C,M,S
angekói,malestares,malestar,N,C,M,P
angekói,preocupación,preocupación,N,C,F,S
angekói,preocupaciones,preocupación,N,C,F,P
angekói,molestia,molestia,N,C,F,S
angekói,molestias,molestia,N,C,F,P
angekói,intranquilidad,intranquilidad,N,C,F,S
angekói,intranquilidades,intranquilidad,N,C,F,P
angekói,enfado,enfado,N,C,M,S
angekói,enfados,enfado,N,C,M,P
angekói,pena,pena,N,C,F,S
angekói,penas,pena,N,C,F,P
angekói,tribulación,tribulación,N,C,F,S
angekói,tribulaciones,tribulación,N,C,F,P
angue,fantasma,fantasma,N,C,M,S
angue,fantasmas,fantasma,N,C,M,P
angue,aparición,aparición,N,C,F,S
angue,apariciones,aparición,N,C,F,P
anguja,ratón,ratón,N,C,M,S
anguja,ratones,ratón,N,C,M,P
anguja'i,laucha,laucha,N,C,F,S
anguja'i,lauchas,laucha,N,C,F,P
angu'a,mortero,mortero,N,C,M,S
angu'a,morteros,mortero,N,C,M,P
angu'a,tambor,tambor,N,C,M,S
angu'a,tambores,tambor,N,C,M,P
angu'a,timbal,timbal,N,C,M,S
angu'a,timbales,timbal,N,C,M,P
angu'atarara,tambor,tambor,N,C,M,S
angu'atarara,tambores,tambor,N,C,M,P
angu'atarara,bombo,bombo,N,C,M,S
angu'atarara,bombos,bombo,N,C,M,P
angírũ,amiga,amigo,N,C,F,S
angírũ,amigas,amigo,N,C,F,P
angírũ,amigo,amigo,N,C,M,S
angírũ,amigos,amigo,N,C,M,P
angírũ,compañera,compañero,N,C,F,S
angírũ,compañeras,compañero,N,C,F,P
angírũ,compañero,compañero,N,C,M,S
angírũ,compañeros,compañero,N,C,M,P
ano,pirincho,pirincho,N,C,M,S
ano,pirinchos,pirincho,N,C,M,P
ao,ropa,ropa,N,C,F,S
ao,ropas,ropa,N,C,F,P
ao,vestido,vestido,N,C,M,S
ao,vestidos,vestido,N,C,M,P
ao,indumentaria,indumentaria,N,C,F,S
ao,indumentarias,indumentaria,N,C,F,P
ao,hábito,hábito,N,C,M,S
ao,hábitos,hábito,N,C,M,P
ao,vestidura,vestidura,N,C,F,S
ao,vestiduras,vestidura,N,C,F,P
ao,tela,tela,N,C,F,S
ao,telas,tela,N,C,F,P
ao,lienzo,lienzo,N,C,M,S
ao,lienzos,lienzo,N,C,M,P
aokytyha,plancha,plancha,N,C,F,S
aokytyha,planchas,plancha,N,C,F,P
aomokãrã,toalla,toalla,N,C,F,S
aomokãrã,toallas,toalla,N,C,F,P
aoveve,bandera,bandera,N,C,F,S
aoveve,banderas,bandera,N,C,F,P
aoveve,pendón,pendón,N,C,M,S
aoveve,pendona,pendón,N,C,F,S
aoveve,pendonas,pendón,N,C,F,P
aoveve,pendones,pendón,N,C,M,P
aoveve,pendonos,pendón,N,C,M,P
apa,calambre,calambre,N,C,M,S
apa,calambres,calambre,N,C,M,P
apa,parálisis,parálisis,N,C,F,N
apajeréi,vuelco,vuelco,N,C,M,S
apajeréi,vuelcos,vuelco,N,C,M,P
apajeréi,vuelta,vuelta,N,C,F,S
apajeréi,vueltas,vuelta,N,C,F,P
apajuái,bochinche,bochinche,N,C,M,S
apajuái,bochinches,bochinche,N,C,M,P
apajuái,maraña,maraña,N,C,F,S
apajuái,marañas,maraña,N,C,F,P
apakua,fardo,fardo,N,C,M,S
apakua,fardos,fardo,N,C,M,P
apakua,atado,atado,N,C,M,S
apakua,atados,atado,N,C,M,P
apakuapy,bulto,bulto,N,C,M,S
apakuapy,bultos,bulto,N,C,M,P
apakuapy,rollo,rollo,N,C,M,S
apakuapy,rollos,rollo,N,C,M,P
apasusũ,barrizal,barrizal,N,C,M,S
apasusũ,barrizales,barrizal,N,C,M,P
apasusũ,lodazal,lodazal,N,C,M,S
apasusũ,lodazales,lodazal,N,C,M,P
apasusũ,pantano,pantano,N,C,M,S
apasusũ,pantanos,pantano,N,C,M,P
apañuãi,enredo,enredo,N,C,M,S
apañuãi,enredos,enredo,N,C,M,P
apañuãi,confusión,confusión,N,C,F,S
apañuãi,confusiones,confusión,N,C,F,P
apañuãi,embrollo,embrollo,N,C,M,S
apañuãi,embrollos,embrollo,N,C,M,P
apañuãi,bochinche,bochinche,N,C,M,S
apañuãi,bochinches,bochinche,N,C,M,P
apañuãi,complicación,complicación,N,C,F,S
apañuãi,complicaciones,complicación,N,C,F,P
apañuãi,revuelta,revuelta,N,C,F,S
apañuãi,revueltas,revuelta,N,C,F,P
ape,superficie,superficie,N,C,F,S
ape,superficies,superficie,N,C,F,P
ape,corteza,corteza,N,C,F,S
ape,cortezas,corteza,N,C,F,P
ape,piel,piel,N,C,F,S
ape,pieles,piel,N,C,F,P
ape,escama,escama,N,C,F,S
ape,escamas,escama,N,C,F,P
ape,cáscara,cáscara,N,C,F,S
ape,cáscaras,cáscara,N,C,F,P
ape,tapa,tapa,N,C,F,S
ape,tapas,tapa,N,C,F,P
ape,forro,forro,N,C,M,S
ape,forros,forro,N,C,M,P
ape,caparazón,caparazón,N,C,M,S
ape,caparazones,caparazón,N,C,M,P
ape,caparazónes,caparazón,N,C,M,P
ape,capa,capa,N,C,F,S
ape,capas,capa,N,C,F,P
apekangue,espinazo,espinazo,N,C,M,S
apekangue,espinazos,espinazo,N,C,M,P
apekue,piel,piel,N,C,F,S
apekue,pieles,piel,N,C,F,P
apekue,caparazón,caparazón,N,C,M,S
apekue,caparazones,caparazón,N,C,M,P
apekue,caparazónes,caparazón,N,C,M,P
apekue,peladura,peladura,N,C,F,S
apekue,peladuras,peladura,N,C,F,P
apekuma,hollín,hollín,N,C,M,S
apekuma,hollines,hollín,N,C,M,P
apekuma,tizne,tizne,N,C,M,S
apekuma,tiznes,tizne,N,C,M,P
apekũ,paladar,paladar,N,C,M,S
apekũ,paladares,paladar,N,C,M,P
apekũguy,campanilla,campanilla,N,C,F,S
apekũguy,campanillas,campanilla,N,C,F,P
apeno,roncha,roncha,N,C,F,S
apeno,ronchas,roncha,N,C,F,P
apeno,urticaria,urticaria,N,C,F,S
apeno,urticarias,urticaria,N,C,F,P
apeno,hinchazón,hinchazón,N,C,F,S
apeno,hinchazones,hinchazón,N,C,F,P
apeno,moretón,moretón,N,C,M,S
apeno,moretones,moretón,N,C,M,P
apesã,racimo,racimo,N,C,M,S
apesã,racimos,racimo,N,C,M,P
apesã,manojo,manojo,N,C,M,S
apesã,manojos,manojo,N,C,M,P
apesã,ristra,ristra,N,C,F,S
apesã,ristras,ristra,N,C,F,P
apesã,ramo,ramo,N,C,M,S
apesã,ramos,ramo,N,C,M,P
api,piel,piel,N,C,F,S
api,pieles,piel,N,C,F,P
apiha,tirador,tirador,N,C,M,S
apiha,tiradora,tirador,N,C,F,S
apiha,tiradoras,tirador,N,C,F,P
apiha,tiradores,tirador,N,C,M,P
apiku'i,caspa,caspa,N,C,F,S
apiku'i,caspas,caspa,N,C,F,P
apirype,eczema,eczema,N,C,M,S
apirype,eczemas,eczema,N,C,M,P
apoha,profesión,profesión,N,C,F,S
apoha,profesiones,profesión,N,C,F,P
apoha,oficio,oficio,N,C,M,S
apoha,oficios,oficio,N,C,M,P
apohare,hacedor,hacedor,N,C,M,S
apohare,hacedora,hacedor,N,C,F,S
apohare,hacedoras,hacedor,N,C,F,P
apohare,hacedores,hacedor,N,C,M,P
apohare,creador,creador,N,C,M,S
apohare,creadora,creador,N,C,F,S
apohare,creadoras,creador,N,C,F,P
apohare,creadores,creador,N,C,M,P
apohare,ejecutor,ejecutor,N,C,M,S
apohare,ejecutora,ejecutor,N,C,F,S
apohare,ejecutoras,ejecutor,N,C,F,P
apohare,ejecutores,ejecutor,N,C,M,P
apohare,autor,autor,N,C,M,S
apohare,autora,autor,N,C,F,S
apohare,autoras,autor,N,C,F,P
apohare,autores,autor,N,C,M,P
apohare,causante,causante,N,C,C,S
apohare,causantes,causante,N,C,C,P
apohára,autor,autor,N,C,M,S
apohára,autora,autor,N,C,F,S
apohára,autoras,autor,N,C,F,P
apohára,autores,autor,N,C,M,P
apohára,creador,creador,N,C,M,S
apohára,creadora,creador,N,C,F,S
apohára,creadoras,creador,N,C,F,P
apohára,creadores,creador,N,C,M,P
apojovái,reacción,reacción,N,C,F,S
apojovái,reacciones,reacción,N,C,F,P
apokytã,nudo,nudo,N,C,M,S
apokytã,nudos,nudo,N,C,M,P
apokytã,enredo,enredo,N,C,M,S
apokytã,enredos,enredo,N,C,M,P
apokytã,lazada,lazada,N,C,F,S
apokytã,lazadas,lazada,N,C,F,P
apoporãmby,favor,favor,N,C,M,S
apoporãmby,favores,favor,N,C,M,P
apoporãmby,gracia,gracia,N,C,F,S
apoporãmby,gracias,gracia,N,C,F,P
apopy,práctica,práctica,N,C,F,S
apopy,prácticas,práctica,N,C,F,P
apopy,elaboración,elaboración,N,C,F,S
apopy,elaboraciones,elaboración,N,C,F,P
apopy,fabricación,fabricación,N,C,F,S
apopy,fabricaciones,fabricación,N,C,F,P
apopyre,obra,obra,N,C,F,S
apopyre,obras,obra,N,C,F,P
apopyre,hechura,hechura,N,C,F,S
apopyre,hechuras,hechura,N,C,F,P
apopyre,técnica,técnica,N,C,F,S
apopyre,técnica,técnico,N,C,F,S
apopyre,técnicas,técnica,N,C,F,P
apopyrã,deber,deber,N,C,M,S
apopyrã,deberes,deber,N,C,M,P
apopyrã,reglamento,reglamento,N,C,M,S
apopyrã,reglamentos,reglamento,N,C,M,P
aporeko,técnica,técnica,N,C,F,S
aporeko,técnica,técnico,N,C,F,S
aporeko,técnicas,técnica,N,C,F,P
aporeko,procedimiento,procedimiento,N,C,M,S
aporeko,procedimientos,procedimiento,N,C,M,P
aporeko,ejecutoria,ejecutoria,N,C,F,S
aporeko,ejecutorias,ejecutoria,N,C,F,P
apose,intención,intención,N,C,F,S
apose,intenciones,intención,N,C,F,P
apoukaha,mandante,mandante,N,C,M,S
apoukaha,mandantes,mandante,N,C,M,P
apoukaha,motivo,motivo,N,C,M,S
apoukaha,motivos,motivo,N,C,M,P
apoukaha,mandamiento,mandamiento,N,C,M,S
apoukaha,mandamientos,mandamiento,N,C,M,P
apoukapy,deber,deber,N,C,M,S
apoukapy,deberes,deber,N,C,M,P
apoukapy,mandamiento,mandamiento,N,C,M,S
apoukapy,mandamientos,mandamiento,N,C,M,P
apoukapy,regla,regla,N,C,F,S
apoukapy,reglas,regla,N,C,F,P
apoukarã,ordenanza,ordenanza,N,C,C,S
apoukarã,ordenanzas,ordenanza,N,C,C,P
apoukarã,deber,deber,N,C,M,S
apoukarã,deberes,deber,N,C,M,P
apovaihare,rea,reo,N,C,F,S
apovaihare,reas,reo,N,C,F,P
apovaihare,reo,reo,N,C,M,S
apovaihare,reos,reo,N,C,M,P
apovaihare,malhechor,malhechor,N,C,M,S
apovaihare,malhechora,malhechor,N,C,F,S
apovaihare,malhechoras,malhechor,N,C,F,P
apovaihare,malhechores,malhechor,N,C,M,P
apo'i,desprecio,desprecio,N,C,M,S
apo'i,desprecios,desprecio,N,C,M,P
apu'a,ovillo,ovillo,N,C,M,S
apu'a,ovillos,ovillo,N,C,M,P
apu'a,perímetro,perímetro,N,C,M,S
apu'a,perímetros,perímetro,N,C,M,P
apu'a,ruedo,ruedo,N,C,M,S
apu'a,ruedos,ruedo,N,C,M,P
apu'a,redondel,redondel,N,C,M,S
apu'a,redondeles,redondel,N,C,M,P
apu'a,argolla,argolla,N,C,F,S
apu'a,argollas,argolla,N,C,F,P
apy,fin,fin,N,C,M,S
apy,fines,fin,N,C,M,P
apy,final,final,N,C,C,S
apy,finales,final,N,C,C,P
apy,término,término,N,C,M,S
apy,términos,término,N,C,M,P
apy,extremo,extremo,N,C,M,S
apy,extremos,extremo,N,C,M,P
apy,cabo,cabo,N,C,M,S
apy,cabos,cabo,N,C,M,P
apy,límite,límite,N,C,M,S
apy,límites,límite,N,C,M,P
apy,punta,punta,N,C,F,S
apy,puntas,punta,N,C,F,P
apy,desenlace,desenlace,N,C,M,S
apy,desenlaces,desenlace,N,C,M,P
apy,tope,tope,N,C,M,S
apy,topes,tope,N,C,M,P
apy,remate,remate,N,C,M,S
apy,remates,remate,N,C,M,P
apy,ápice,ápice,N,C,M,S
apy,ápices,ápice,N,C,M,P
