las reservas , ñongatupykuéra
a las personas , yvypórakuéra _pe
las ,las
listas de el paro ,listas  pytu'u _gui
de ,de
de ,de
enero ,enero
de ,de
de ,de
indemnización ,indemnización
y ,ha
de ,de
empleo ,mba'apo
firma ,teraguapy
da ,ome'ẽ *
derecho ,yvi
subsidio de el paro ,subsidio  pytu'u _gua
y ,ha
a los servicios , pytyvõnguéra _pe
de esta forma ,ko ysaja _gui
confirma ,omoañete *
es la firma ,oha'e *  teraguapy
de ,de
lo ,lo
da ,ombojára *
derecho ,karẽ'y
de ,de
subsidios ,pytyvõnguéra
y ,ha
no ,no
el simple hecho , jehupyre año
de ,de
haber ,haber
organismo ,organismo
administra ,administra
de ,de
desempleo ,desempleo
compromete ,oporoapytĩ *
desempleado ,desempleado
búsqueda ,reka
activa ,ha'eve
de ,de
empleo ,tembiapo
a los retos profesionales , py'ara'ãnguéra profesionales _pe
y ,ha
entrevistas ,juechakuéra
bimensuales ,bimensuales
de esos compromisos ,umi poroapytĩnguéra _gui
sería ,sería
reducciones ,ñemomichĩnguéra
en el subsidio , pytyvõ _me
de ,de
desempleo ,desempleo
el carácter obligatorio , reko obligatorio
de ,de
y ,ha
las sanciones , jepykuéra
son ,pu
más ,más
el texto , kuatia
de ,de
de ,de
nuevos ,pyahu
contratos ,contratos
de ,de
trabajo ,tembiapo
de una duración ,una duración _gua
podrá ,okuaat *
de ,de
meses ,jasykuéra
cinco ,cinco
años ,arajerekuéra
y ,ha
de ,de
meses ,jasykuéra
de ,de
referencia ,referencia
exige ,exige
haber ,haber
meses ,jasykuéra
para ,ojoko *
poder ,katu
el subsidio , pytyvõ
de ,de
desempleo ,desempleo
de las licencias , sãsokuéra _gui
de ,de
telefonía ,telefonía
móvil ,móvil
permitirá ,omboajet *
el mercado , ñemuha
operadores ,operadores
de ,de
servicios ,pytyvõnguéra
red ,kyha
dijo ,ho'ytakuri *
hoy ,ko'ára
el presidente , mburuvicha
de ,de
la ,la
de ,de
de ,de
las ,las
intervino ,oñemoingekuri *
hoy ,ko'ára
en unas jornadas ,unas jornadas _pe
sobre ,sobre
radio en el bucle local ,radio  avakua apegua _pe
de ,de
abonado ,abonado
para ,omombyta *
de ,de
la ,la
y ,ha
dijo ,ho'ytakuri *
las ,las
concesión ,mba'eme'ẽ
de ,de
licencias ,sãsokuéra
español ,español
concurso ,concurso
y ,ha
no ,no
subasta ,subasta
hace ,ojapo *
pero ,jepéramo
pueden ,okatu *
su red ,i_ kyha
más ,más
y ,ha
añadió ,ojoapykuri *
operadores ,operadores
de ,de
servicios ,pytyvõnguéra
móviles ,móviles
la red , kyha
de ,de
telecomunicaciones ,telecomunicaciones
licencias ,sãsokuéra
de ,de
móvil ,móvil
el presidente , mburuvicha
de ,de
la ,la
de ,de
de ,de
las ,las
competencia ,competencia
todo ,todo
el mundo , arapy
como ,ha'u *
consecuencia ,tapykuegua
de ,de
ha ,oĩ *
hecho ,jehupyre
principios ,ñepyrũnguéra
jurídicos ,jurídicos
y ,ha
no ,no
técnicos ,técnicos
y ,ha
hay ,oĩ *
hay ,oime *
este mercado ,ko ñemuha
como ,ajepy'ajoko *
para ,opyta *
la apertura , jepe'aha
de la red , kyha _gua
de ,de
telefonía ,telefonía
local ,apegua
de ,de
a otros operadores ,otros operadores _pe
no es la solución total ,ndoha'ei *  ry oĩmbáva
podría ,podría
de ,de
en la red , kyha _pe
no ,no
como una inversión atractiva ,ha'u * una inversión ka'avo
y ,ha
debe ,debe
explicó ,omohesakãkuri *
la puesta , ñemoĩ
marcha de las licencias ,marcha  sãsokuéra _gua
de ,de
telefonía ,telefonía
local ,apegua
vía ,guataha
radio ,radio
va ,oho *
los ,los
operadores ,operadores
han ,oĩ *
ganado ,tymba
explicó ,omosakãkuri *
de ,de
periodistas ,periodistas
vía ,guataha
radio ,radio
permite ,omoneĩ *
telefonía ,telefonía
tecnologías ,tecnologías
móviles ,móviles
puede ,okuaa *
por la llegada , guahẽ _re
de ,de
nuevas ,pyahu
tecnologías ,tecnologías
y ,ha
de ,de
permitirá ,omoneĩt *
los ,los
operadores ,operadores
tienen estas licencias ,oreko * ko'ã sãsokuéra
telefonía ,telefonía
local ,apegua
vía ,tape
radio ,radio
el presidente , mburuvicha
de ,de
las ,las
mostró ,mostró
partidario ,partidario
de ,de
como ,akaru *
puede ,opojái *
ser ,ser
a la información , momarandu _pe
de ,de
a otros operadores ,otros operadores _pe
sobre la oferta , ñekuave'ẽ ári
de ,de
interconexión ,interconexión
de otros operadores ,otros operadores _gui
acaba ,omohu'ã *
de ,de
la ,la
dijo ,ho'ytakuri *
para ,opyta *
han ,oĩ *
y ,ha
pronto ,pojava
darán ,ome'ẽt *
servicios ,pytyvõnguéra
y ,ha
es ,oha'e *
imposible ,ikatu'ỹva
todos ,todos
afirmó ,afirmó
y ,ha
trata ,trata
de ,de
el mercado , ñemuha
no ,no
lo ,lo
hay ,oĩ *
investigación ,investigación
básica ,básica
es el camino para el crecimiento ,oha'e *  tape  ñembotuicha g̃uarã
y ,ha
la prosperidad económica , po'a económica
afirmaron ,afirmaron
hoy ,ko'ára
empresarios ,empresarios
de ,de
y ,ha
el director , mburuvicha
de ,de
investigación ,investigación
de ,de
la ,la
de ,de
abogaron ,abogaron
la ,la
cultura ,arandu
científica ,científica
de los ciudadanos , tetaguãnguéra _gui
y ,ha
la ,la
cultura ,arandu
de el libro , kuatia _gui
prosperidad ,po'a
investigación ,investigación
básica ,básica
la ,la
de ,de
el secretario general , pytyvõhára pavẽ
de ,de
la ,la
de ,de
abogó por la formación ,abogó  tesape'a _re
temas ,ñe'ẽmbyrãnguéra
de ,de
innovación ,innovación
tecnológica ,tecnológica
investigación ,investigación
la ,la
sitúa ,omohenda *
ciento ,ciento
de ,de
frente ,syva
ciento ,ciento
y ,ha
dijo ,ho'ytakuri *
está ,oime *
el buen camino , tape porã
y ,ha
está ,oiko *
en este sentido ,ko andu _pe
de ,de
de ,de
y ,ha
y ,ha
a las primeras declaraciones , ñemombe'ukuéra primeras _pe
sobre ,sobre
desarrollo ,akãrapu'ã
e ,ha
innovación ,innovación
el representante , pyruha
aseguró ,omyatãkuri *
y ,ha
y ,ha
ofreció el apoyo ,okuave'ẽkuri *  pytyvõ
activo ,ha'eve
de ,de
la ,la
de los retos , py'ara'ãnguéra _gui
en esta materia ,ko mba'e _pe
aseguró ,omoañetekuri *
investigación ,investigación
básica ,básica
contribuye a la prosperidad económica ,contribuye  ñemotenonde económica _pe
y ,ha
destacó la colaboración ,destacó  ñepytyvõ
y ,ha
en este campo ,ko okára _pe
el libro , kuatia
hoy ,ko'ára
recoge ,opo'o *
de ,de
forma ,ta'anga
de ,de
de ,de
de ,de
universitaria ,universitaria
americana ,americana
y ,ha
propone ,propone
la enseñanza para , tekombo'e opyta *
la provisión futura , jegueru upeigua
de ,de
científicos ,científicos
sobresalientes ,sobresalientes
y ,ha
pone ,omohenda *
de ,de
manifiesto ,manifiesto
centran ,omombyte *
más ,más
la ,la
objetivos ,objetivos
de ,de
mercado ,ñemuha
este documento ,ko kuatia
ha ,oime *
como ,añemboapyte *
referencia ,referencia
la ,la
de ,de
hace ,omba'apo *
hincapié ,hincapié
investigación ,investigación
básica ,básica
son ,pu
y ,ha
el conocimiento básico tiende , jekuaa básico omosaingo *
ser ,ser
innovaciones ,innovaciones
producen ,omoheñói *
sustanciales ,sustanciales
beneficios ,beneficios
para el director general ,opyta *  mburuvicha pavẽ
de ,de
de ,de
la ,la
es ,oha'e *
necesario ,ñeikotevẽva
fondo ,kupe
de ,de
calidad ,calidad
e ,ha
la colaboración , pytyvõ
y ,ha
técnicos ,técnicos
y ,ha
el sector productivo , pehẽngue productivo
de ,de
dijo ,ho'ytakuri *
hoy ,ko'ára
los agentes sociales deben , tahachikuéra jojapy deben
mentalidad ,mentalidad
y ,ha
planteamientos ,ñemoĩnguéra
la ,la
con el presidente , mburuvicha ndive
de ,de
trata ,trata
de ,de
los intereses generales , kuaasekuéra pavẽ
de los españoles , karaiñe'ẽnguéra _gui
cuenta ,cuenta
es el país ,oha'e *  tetã
de ,de
la ,la
más ,más
empleo ,mba'apo
ha ,oĩ *
y ,ha
registra ,ojepovyvy *
mayor ,guasuve
crecimiento ,akãrapu'ã
económico ,económico
en su opinión ,i_ ñeimo'ã _me
de ,de
gran ,gran
relevancia ,relevancia
la reunión , no'õ
celebrará ,oropurahéit *
con el dirigente , myenondehára ndive
y ,ha
los ,los
de ,de
y ,ha
añadió ,ombojuapykuri *
el interés , kuaase
de ,de
empresariales ,empresariales
y ,ha
sindicales ,sindicales
de ,de
proceso de el diálogo social ,proceso  ñomongeta jojapy _gui
eje ,eje
básico ,básico
y ,ha
buenos ,porã
resultados ,tembiapokuekuéra
ha ,oime *
para el empleo ,omombyta *  mba'apo
y ,ha
la ,la
destacó ,destacó
la reforma laboral , ñemyatyrõ laboral
de ,de
fruto ,‘a
de los acuerdos , oñoñe'ẽnguéra _gua
con los agentes sociales , tahachikuéra jojapy ndive
tuvo ,oguerekokuri *
efectos ,ra'ykuekuéra
extraordinarios ,tapiagua'ỹ
sobre el empleo , mba'apoha ári
y ,ha
sirvió ,omoangapyhykuri *
para ,ojoko *
el crecimiento , ñembotuicha
desbocado ,desbocado
produjo ,omoheñóikuri *
de ,de
de ,de
basura ,yty
de ,de
señaló ,omoma'ẽkuri *
dicha ,vy'a
reforma ,ñembopyahu
de ,de
así ,ajapyhykuri *
tiempo ,ára
parcial ,oĩmba'ỹ
han ,oime *
las relaciones laborales , jokuaakuéra laborales
juicio ,apytu'ũ
de ,de
es ,oha'e *
necesario ,ñeikotevẽva
en la reforma laboral , ñembopyahu laboral _pe
fin ,hupytypyrã
de ,de
más ,más
empleo ,mba'apo
de ,de
temporalidad ,temporalidad
y ,ha
en el trabajo , ñemba'apo _pe
uno ,ajuaju *
de ,de
los ,los
bancos ,apykakuéra
más ,más
grandes ,guasu
de ,de
la ,la
anunció ,oñandukakuri *
hoy ,ko'ára
despedirá ,despedirá
empleados ,tembiguáikuéra
más ,más
de ,de
finales ,paha
de el año , arajere _gua
de ,de
saneamiento ,ñemohesãi
el director , mburuvicha
de el banco , apyka _gua
señaló ,omoma'ẽkuri *
y ,ha
no ,no
la reducción , ñemomichĩ
dispone ,omoĩ *
de ,de
ciento ,ciento
de las acciones , tembiapokuéra _gua
de ,de
y ,ha
checo ,checo
quiere ,opota *
de ,de
privatización ,privatización
de este banco ,ko apyka _gua
en este año ,ko arajere _pe
y ,ha
septiembre ,septiembre
de ,de
de los objetivos , jejaporãnguéra _gui
es ,oha'e *
los errores , javykuéra
obligaron ,ojurakuri *
créditos ,créditos
dudosos ,dudosos
de ,de
millones ,millones
de ,de
coronas ,coronas
millones ,millones
de ,de
dólares ,dólares
permitirá a el banco ,omboajet *  apyka _pe
es ,oha'e *
condición ,condición
básica ,básica
para ,opyta *
de el banco , guapyha _gua
está ,oiko *
por la violación , ñerairõ _re
de los límites , rembe'ykuéra _gui
de ,de
crédito ,crédito
en sus negocios ,i_ ñemukuéra _pe
y ,ha
supusieron ,supusieron
pérdidas ,jerokañynguéra
a el banco , apyka _pe
de ,de
millones ,millones
de ,de
dólares ,dólares
el año , arajere
pasado ,pasado
amplios ,pyrusu
cambios ,jevakuéra
de ,de
directivos ,directivos
a todos los ,todos los _pe
niveles ,jojahakuéra
desde su director general ,i_ ruvicha pavẽ guive
y ,ha
presidente ,mburuvicha
y ,ha
personal ,tee
medio ,mbytere
tenía una plantilla ,arekomi * una plantilla
de ,de
empleados ,tembiguáikuéra
fines ,apykuéra
de ,de
fueron ,ohokuri *
de el presente año , arajere ãgagua _gui
y ,ha
funcionarios ,tembijokuáikuéra
fueron ,oha'ekuri *
de ,de
los ,los
está ,oiko *
por la reducción , ñemomichĩ rupi
la ,la
de ,de
de ,de
ha ,oime *
los ,los
actuales ,ãgagua
y ,ha
tiene ,oguereko *
de el fin , tenonderã _gua
de el año , arajere _gui
por el banco belga , guapyha belga _re
y ,ha
de ,de
y ,ha
de ,de
moderada ,moderada
la reducción , ñemomichĩ
de ,de
plantilla ,plantilla
años ,arajerekuéra
bancos ,guapyhakuéra
ha ,oime *
de ,de
alrededor ,alrededor
de ,de
funcionarios ,tembijokuáikuéra
pero ,jepéramo
siguen ,omoña *
de ,de
empleados ,tembiguáikuéra
ha ,oĩ *
de ,de
principio ,ñepyrũ
establece el cambio ,omohenda *  jeva
de ,de
acciones ,tembiapokuéra
de ,de
el acuerdo , oñoñe'ẽ
supone ,supone
de ,de
capital ,capital
de ,de
francos ,japu'ỹva
suizos ,suizos
dólares ,dólares
y ,ha
un dividendo especial ,un dividendo poravopyre
de ,de
francos ,japu'ỹva
suizos ,suizos
dólares ,dólares
de ,de
condicionado ,condicionado
de ,de
ciento ,ciento
de las acciones , tembiapokuéra _gua
circulación ,syry
de ,de
de ,de
cabo ,apy
ingresos ,jeikekuéra
combinados ,combinados
de ,de
millones ,millones
de ,de
dólares ,dólares
inmediatos ,inmediatos
supondrán ,supondrán
de ,de
millones ,millones
de ,de
dólares ,dólares
el acuerdo , jurupeteĩ
ha ,oime *
de ,de
el apoyo , pytyvõ
de ,de
de ,de
proporcionará ,ombopojáit *
ciento ,ciento
de las acciones , tembiapokuéra _gua
circulación ,syry
de ,de
través ,través
de ,de
prensa ,jopyha
el presidente , mburuvicha
de ,de
señaló ,omoma'ẽkuri *
estoy ,aime *
seguro ,seguro
y ,ha
espero ,ajerovia *
de ,de
y ,ha
en una nueva industria ,una industria pyahu _pe
líder ,líder
nivel ,yvatekue
global ,global
en el sector , pehẽngue _pe
y ,ha
por su parte ,i_ pesẽngue rupi
el director ejecutivo , sãmbyhyha ejecutivo
de ,de
dijo ,ho'ytakuri *
mejor ,porãve
posición ,ñeĩha
para ,ojoko *
las necesidades , hýikuéra
es ,oha'e *
de el mundo , yvóra _gui
de ,de
aluminio ,aluminio
cuenta ,cuenta
operaciones ,operaciones
países ,tetãnguéra
y ,ha
emplea ,oporu *
alrededor ,alrededor
de ,de
de ,de
aluminio ,aluminio
y ,ha
productos ,productos
derivados ,derivados
presente ,oiméva
países ,tetãnguéra
y ,ha
empleados ,tembiguáikuéra
opera en el sector ,ojapo *  pehẽngue _pe
de ,de
aluminio ,aluminio
y ,ha
con una fuerte presencia ,una presencia pu'aka ndive
en el sector , pehẽngue _pe
de ,de
la ,la
y ,ha
de ,de
productos ,productos
alimentarios ,alimentarios
cosméticos ,cosméticos
y ,ha
farmacéuticos ,farmacéuticos
de ,de
café ,café
aumentó ,okakuaakuri *
cerca ,mongoraha
de ,de
ciento ,ciento
de ,de
embargo ,embargo
lo ,lo
de ,de
los ,los
calcula ,opapa *
y ,ha
ciento ,ciento
de ,de
kilos ,kilos
de ,de
café ,café
persona a el año ,persona  arajere _pe
de ,de
café ,café
siguen ,omuña *
cerca ,mongoraha
de ,de
kilos ,kilos
persona ,yvypóra
los ,los
más ,más
reservados ,reservados
apenas ,pepy'apy *
kilos ,kilos
cabeza ,akã
a el año , arajere _pe
y ,ha
de ,de
junio ,junio
encontrarán ,ojohut *
cerca ,mongoraha
de ,de
expertos ,expertos
de ,de
y ,ha
sobre ,sobre
café ,café
los ,los
y ,ha
la búsqueda , tembireka
de ,de
nuevos ,pyahu
caminos ,tapekuéra
la ,la
y ,ha
la ,la
puso ,omoĩkuri *
financiero ,financiero
de ,de
la última semana , arapokõindy última
hoy ,ko'ára
jueves ,jueves
la ,la
calma a los mercados ,ombopy'aguapy *  ñemuhakuéra _pe
plena ,plena
campaña ,okára
de ,de
de ,de
como ,añemboapyte *
amenaza a la seguridad nacional ,amenaza  kyhyje'ỹ nacional _me
a el tiempo , ára _pe
la ,la
calificaba ,calificaba
de ,de
ataque ,rairõ
y ,ha
especulativo ,especulativo
los efectos negativos , ra'ykuekuéra negativos
plano ,pe
interno ,pypegua
y ,ha
la desconfianza , jepoyhu
de ,de
cientos ,cientos
de ,de
miles ,miles
de ,de
rumanos ,rumanos
en las autoridades , mburuvichakuéra _pe
de ,de
aplazó ,omboarekuri *
ayer ,ayer
miércoles ,miércoles
de el acuerdo , jurupeteĩ _gui
de ,de
importancia ,importancia
capital ,capital
la quiebra , jeso
de ,de
de ,de
mayor ,guasuve
fondo ,tugua
mutuo ,mutuo
privado ,privado
semana ,arapokõindy
pasada ,jehasa
personas ,avaitekuéra
fue ,oha'ekuri *
seguida ,seguida
intentos ,intentos
desestabilizadores ,desestabilizadores
de ,de
y ,ha
entidad ,entidad
la ,la
millones ,millones
de ,de
rumanos ,rumanos
las pruebas , kuaara'ãnguéra
recogidas ,recogidas
la ,la
así ,ajapyhykuri *
como ,akaru *
informaciones ,momarandukuéra
de ,de
prensa ,jopyha
indican ,indican
fueron ,ohokuri *
grupos ,atykuéra
los ,los
difundieron ,omosarambikuri *
rumores ,terakuãnguéra
sobre la inminente quiebra , jeso inminente ári
de ,de
través ,través
de ,de
llamadas ,tenóikuéra
telefónicas ,telefónicas
anónimas ,anónimas
y ,ha
mensajes ,ñemomarandukuéra
correo ,correo
electrónico ,electrónico
de estas llamadas ,ã ñehenóikuéra _gua
de ,de
fútbol ,fútbol
de ,de
comprobó ,comprobó
fue ,oha'ekuri *
desde un teléfono ,un teléfono guive
de ,de
director ,director
ha ,oime *
hasta el fin , opa peve
garantizó la solidez ,garantizó  atãngue
de ,de
de la moneda nacional , pirapire nacional _gui
de la gente , mbya _gui
de ,de
fueron ,ohokuri *
víctimas ,víctimas
de ,de
manipulaciones ,manipulaciones
especulativas ,especulativas
contribuyeron ,contribuyeron
de ,de
nuevo ,pyahu
la calma , kirirĩ
la ,la
de este país ,ko tetã _gui
emitió ,emitió
hoy ,ko'ára
de ,de
detención ,detención
contra ,contra
sociedad ,sociedad
administró ,administró
de ,de
de ,de
más ,más
de ,de
dólares ,dólares
de ,de
millones ,millones
de ,de
dólares ,dólares
este fondo privado había ,ko rugua privado oimemi *
de la población , tetã _gui
rumano ,rumano
anunció ,omomarandukuri *
hoy ,ko'ára
medidas ,ta'ãnguéra
legislativas ,legislativas
para ,omombyta *
sobre los fondos mutuos , ruguakuéra mutuos ári
de ,de
inversiones ,inversiones
con el objetivo , tekorã ndive
de ,de
el fraude , pokarẽ
el engaño , mbotavy
y ,ha
