Tú tomarás.,Nde pejapyhyt.
Él paraba.,Ha'e omombytami.
Yo estaba.,Che aikomi.
Él necesitará.,Ha'e okotevẽt.
Ellas desarrollaron.,Omongakuaakuri hikuái.
Ellas presumen.,Ojejapo hikuái.
Nosotros no amanecimos.,Ñande nañako'ẽmbaikuri.
Él no percibió las sopas.,Ha'e noñandúikuri jukysykuéra.
Vosotros hincháis tus cortes.,Peẽ pemboruru ne mboja'okuéra.
Tú no discutirás.,Nde napeñombohováirit.
Él cooperará.,Ha'e opytyvõt.
Yo alegré.,Che ambopy'arorykuri.
Ellas harán.,Omba'apot hikuái.
Tú trabajarás para esta fila.,Nde pemba'apot ko tysýi g̃uarã.
Yo no bajaré.,Che ndaguyit.
Tú no pensarás de esta responsabilidad.,Nde napejepy'amongetait ko ariguagui.
Vosotras vencíais.,Peẽ pepu'akami.
Vos cumpliste.,Nde pemboajekuri.
Vos no escupes.,Nde napendyvui.
Vosotras defendéis.,Peẽ pemoñuvã.
Él no tenía.,Ha'e ndorekoimi.
Tú quedabas.,Nde pepytami.
Yo no portaba.,Che ndaguerahaimi.
Ella hallará.,Ha'e ojuhut.
Vosotros levantabais ese auxilio con esas libélulas.,Peẽ pembojupimi upe ñepytyvõ umi ñahatĩnguérandi.
Ella consolará los hermanos.,Ha'e omoangapyhyt joyke'ykuéra.
Nosotras reflexionamos.,Ore roimo'ãkuri.
Nosotras reflexionamos.,Ore ropy'amongeta.
Tú cobijaste.,Nde pejaho'ikuri.
Vosotras no falláis para estos locales.,Peẽ ndapejavyi ã ógakuéra g̃uarã.
Tú intervendrás para el abandono.,Nde peñemoinget jei g̃uarã.
Yo ofrecía.,Che akuave'ẽmi.
Vosotras no respetasteis vuestro aguijón a aquel cocinero.,Peẽ napeporãngarekoikuri pene popĩa aipo tembi'u'apohape.
Vos tendiste estos montes.,Nde pepysokuri ko'ã yvytykuéra.
Yo no presentaba.,Che ndaruimi.
Vosotras habitabais.,Peẽ peikomi.
Ellos no cautivaron aquellas famas.,Ha'ekuéra noangajuraikuri umi terakuãnguéra.
Tú no subirás.,Nde ndapejupirit.
Ellos no bajaban.,Ha'ekuéra ndoguejyimi.
Vosotras no proporcionabais vuestros usos a vuestro huevo.,Peẽ ndaperopojáirimi pende jepokuaakuéra pende rupi'ape.
Vosotras desaparecéis.,Peẽ pekañy.
Yo no viajaré.,Che ndaguatait.
Vosotras no advertís nuestra marca.,Peẽ napemomarandui ñande pore.
Ellas reaccionan.,Ha'ekuéra opu'ã.
Vosotras no descuidasteis.,Peẽ napeñangareko'ỹikuri.
Tú no pronuncias.,Nde ndere'yita.
Ellas no sonaron.,Ha'ekuéra ndopuikuri.
Ellos no sufrieron.,Ndorasyikuri hikuái.
Vosotras no sobrevivís desde nuestros dolores.,Peẽ ndapeikovei ore ñembyasykuéra guive.
Vosotros no esperáis estos oros a las cajas.,Peẽ ndapejeroviai ko'ã itajukuéra ryrukuérape.
Él no sigue.,Ha'e nomoñai.
Ellas triunfarán.,Opyrũt hikuái.
Tú no faltarás.,Nde ndapeja'yvereit.
Ellos no concluyen.,Nomombai hikuái.
Nosotras no jugamos.,Ñande nañambojaruikuri.
Nosotras no jugamos.,Ñande nañambojarui.
Vosotros no reconocisteis.,Peẽ ndapekuaaikuri.
Ella valió.,Ha'e ovalekuri.
Yo metía.,Che amoingemi.
Vosotras explotáis.,Peẽ pepu.
Yo no salgo.,Che nasẽi.
Ellas negaban vuestro edén.,Ombotovemi hikuái pene yvymarae'ỹ.
Él venció.,Ha'e opyrũkuri.
Ella negó.,Ha'e ombotovekuri.
Ellas viven para aquellos iguales.,Oikove g̃uarã g̃uarãhikuái umi javevekuéra.
Ellas quebrarán.,Ha'ekuéra ojokat.
Ellas extenderán.,Ha'ekuéra omoasãit.
Tú hablas.,Nde peñe'ẽ.
Vosotros no freísteis vuestras nóminas a nuestro suministro.,Peẽ napembochyryryikuri pende teraryrukuéra ore ñeme'ẽme.
Vosotras beneficiáis.,Peẽ pepojopy.
Él no referirá.,Ha'e ndokuaaukait.
Yo permanecía.,Che aĩmi.
Él no trabajaba.,Ha'e nomba'apoimi.
Ella dirigirá vuestra alumna.,Ha'e osãmbyhyt pene temimbo'e.
Yo no vivo.,Che ndaikovei.
Vosotras seguisteis.,Peẽ pemoñakuri.
Vosotras no enlazaréis el pequeño a aquella cumbre.,Peẽ ndapejurait mitã'i aipo tu'ãme.
Nosotros cenábamos.,Ñande jakarumi.
Nosotros no ahondamos.,Ñande nañambohypy'ũikuri.
Nosotros no ahondamos.,Ore norombohypyi.
Ella no crecerá.,Ha'e ndokakuaait.
Ellas no sufrieron.,Ha'ekuéra ndorasyikuri.
Él no explotaba nuestros llamados.,Ha'e ndopuimi ore tenóikuéra.
Él gritaba.,Ha'e osapukáimi.
Nosotras escapamos nuestros días.,Ore rotutu ore árakuéra.
Nosotras escapamos nuestros días.,Ñande jajehekýikuri ore árakuéra.
Nosotros no significaremos con vuestras rifas.,Ñande ndaja‘eseit pende po'arekakuérandi.
Él ponía estas eras.,Ha'e omoĩmi ko'ã árakuéra.
Yo no evaluaré aquellos acaloramientos.,Che nambohepyit umi py'arakukuéra.
Ellos referían con aquellos lugares.,Ha'ekuéra okuaaukami umi tendakuéra ndive.
Yo no meteré.,Che namoingeit.
Vos no abatatas aquel riesgo.,Nde ndapepichai amo kyhyjerã.
Ella calló.,Ha'e orokirirĩkuri.
Ella no fluía.,Ha'e ndochivivirimi.
Vosotras no insistís de aquellos agradecimientos.,Peẽ ndapetu'ui umi jehechakuaakuéragui.
Ellos no ofrecieron por estas técnicas.,Ha'ekuéra nokuave'ẽikuri ko'ã apopyrekuéra rehe.
Vos no diriges.,Nde napesãmbyhyi.
Él no enfrenta aquellas palabrerías.,Ha'e nombohováiri umi ñe'ẽngatukuéra.
Vosotras levantaréis estos lenguajes.,Peẽ pembojupit ko'ã ñe'ẽnguéra.
Ellas no presentarán este desarrollo.,Ha'ekuéra ndoruit ko jekakuaa.
Ella no mantendrá de vuestra región.,Ha'e nomongaruit pende yvygui.
Nosotras no ponemos.,Ore noromoĩri.
Tú no hablabas.,Nde napemongetaimi.
Vos no recluiste vuestra frazada para ese recorte.,Nde napemoka'irãirikuri pende ahoja upe ñeñapĩ g̃uarã.
Nosotros hinchamos.,Ñande ñamborurukuri.
Nosotros hinchamos.,Ore romboruru.
Yo hallé.,Che ajohukuri.
Yo concluyo.,Che ajapopa.
Ellos no dominan este trueno.,Ndopu'akai ko arasunu hikuái.
Ellas mudan.,Oguerova hikuái.
Tú sumabas por vuestros botes.,Nde pepapami pende ygakuéra rehe.
Nosotras podremos con la entrevista.,Ñande jakuaat juechandi.
Ella no escapará ese paquete.,Ha'e ndojehekýirit upe apytĩmby.
Vos amonestarás esa inquietud.,Nde pekorõit upe angekói.
Él tomaba.,Ha'e okuãchaĩmi.
Nosotras levantamos desde vuestras mandiocas.,Ñande ñaropu'ãkuri pende týrakuéra guive.
Nosotras levantamos desde vuestras mandiocas.,Ore rombojupi pene mandi'okuéra guive.
Tú no abrazaste.,Nde napeañuãikuri.
Nosotros precisamos.,Ñande ñakotevẽkuri.
Nosotros precisamos.,Ñande ñakotevẽ.
Vosotras no enfrentasteis.,Peẽ napembojováirikuri.
Vosotras beneficiasteis.,Peẽ pepojopykuri.
Ellos entrevistarán.,Oñomongetat hikuái.
Vosotros alegrasteis.,Peẽ pembopy'aporãkuri.
Ellos no tomaron ese perímetro.,Ndojavo'oikuri pe mbojereha hikuái.
Él no defiende.,Ha'e nopytyvõi.
Vos no peleabas.,Nde napeñonupãimi.
Yo no moveré.,Che ndakosoit.
Vosotras recordáis aquel miriápodo.,Peẽ penga'u aipo ambu'a.
Tú callabas mis guaraníes.,Nde perokirirĩmi che avañe'ẽnguéra.
Vosotras no callabais.,Peẽ naperokirirĩrimi.
Ellas trabajaban.,Ha'ekuéra omba'apomi.
Ellas enseñarán estas frazadas.,Ha'ekuéra otavy'ot ã ahojakuéra.
Nosotras engendraremos vuestro corazón.,Ñande ñamoñemoñat pende py'a.
Ellas volvían.,Ha'ekuéra ojevymi.
Nosotros no juramos nuestras quemazones.,Ñande nañañe'ẽme'ẽi ore tapykuéra.
Nosotros no juramos nuestras quemazones.,Ore noroñe'ẽme'ẽikuri ore kaiguekuéra.
Yo cumpliré.,Che amboajet.
Ellos no necesitaban.,Nokotevẽimi hikuái.
Ellas no economizaron los presos.,Ha'ekuéra nomohembyikuri ñemoka'irãinguéra.
Vos no cuidas con esta anciana.,Nde napeñongatui ko lepiju ndive.
Él no conservaba esa ahijada.,Ha'e noñongatuimi upe ta'yranga.
Tú dirigías.,Nde pesãmbyhymi.
Vosotras no encontraréis.,Peẽ ndapejohuit.
Nosotros ubicábamos esas luchas.,Ore romohendami umi ñorairõnguéra.
Ella gobierna esos clubes a esas tiendas.,Ha'e osãmbyhy umi klukuéra umi ñemuhakuérape.
Ellos no reducían.,Ha'ekuéra nomombovyimi.
Ellos presentarán para sus participantes.,Oguerut hikuái iha'ãrakuéra g̃uarã.
Ellos unían.,Ombojuajumi hikuái.
Ellas cortaron.,Okytĩkuri hikuái.
Nosotras hundimos.,Ñande ñamoñapymikuri.
Nosotras hundimos.,Ñande ñamoñapymi.
Vosotras no viajaréis desde esas experiencias.,Peẽ ndapeguatait umi tembiasakuekuéra guive.
Nosotros no fijaremos.,Ore noromombytait.
Tú no descendiste.,Nde ndapeguejyikuri.
Yo enlacé estas preferencias.,Che amosãkuri ã jehayhuvekuéra.
Ellos no hinchan vuestra pestaña.,Nomborurui pende topea hikuái.
Vos pagarás vuestra puesta.,Nde pemyengoviat pene ñemoĩ.
Ellas gritaban.,Osapukáimi hikuái.
Yo grité.,Che asapukáikuri.
Ellos recorrían vuestras expulsiones.,Ha'ekuéra okundahami pene ñemosẽnguéra.
Yo no callaba nuestras pequeñas.,Che narokirirĩrimi ore mitã'ikuéra.
Vosotras permitisteis nuestros lacayos.,Peẽ pemoneĩkuri ñane tembiguáikuéra.
Ellas trascienden.,Oñemuasãi hikuái.
Nosotros sumamos.,Ñande japapakuri.
Nosotros sumamos.,Ore ropapa.
Tú gozas.,Nde perory.
Nosotros no estrenábamos.,Ñande nañamoñepyrũimi.
Vosotras temblaréis para el rescoldo.,Peẽ pechuchut tanimbuguy g̃uarã.
Él no echaba.,Ha'e ndoityimi.
Él dirigía.,Ha'e osãmbyhymi.
Vosotros cobijáis.,Peẽ peñuvã.
Vosotras no diferenciaréis.,Peẽ napemoingoeit.
Vosotros no dispondréis.,Peẽ napemoĩrit.
Nosotras participamos.,Ore romomarandukuri.
Nosotras participamos.,Ore romomarandu.
Nosotros felicitaremos aquellos retos sobre los bailarines.,Ore rorohoryt umi jeja'okuéra jerokyhakuéra ári.
Tú no cargabas.,Nde napemyenyhẽimi.
Vosotros admirabais.,Peẽ peporãngarekomi.
Ella dispondrá los novios en ese pensamiento.,Ha'e omoĩt menarãnguéra upe py'ahope.
Nosotras no cerramos los ocios.,Ore norombotyi mba'apo'kuéra.
Nosotras no cerramos los ocios.,Ore norombotyikuri ỹnguéra.
Tú confiarás.,Nde pejeroviat.
Él lamentará.,Ha'e orohasẽt.
Ellos no venían.,Ha'ekuéra ohua'ĩmi.
Vosotros no estallasteis.,Peẽ ndapepuikuri.
Tú beneficiabas para esta fortuna.,Nde pepojopymi ko po'a g̃uarã.
Nosotras no agarrábamos.,Ore ndoropyhyimi.
Vosotras no pusisteis desde nuestros talleres.,Peẽ napemoĩrikuri ore mba'apohakuéra guive.
Vosotras lloráis.,Peẽ perohasẽ.
Nosotras entrevistamos.,Ore roñomongetakuri.
Nosotras entrevistamos.,Ore roñomongeta.
Tú no cuidaste.,Nde napeñongatuikuri.
Vosotras no grabaréis esta labranza.,Peẽ napemoha'angait ko ñemitỹ.
Ellos irrumpen.,Ha'ekuéra osororo.
Nosotras no morimos.,Ñande ndajapytupaikuri.
Nosotras no morimos.,Ñande ndajapytupai.
Ellas no cruzaron.,Ha'ekuéra nombojuasaikuri.
Ellos ponen.,Ha'ekuéra omohenda.
Ellas investigarán.,Otypekat hikuái.
Vosotros cargabais para mi parte.,Peẽ pemyenyhẽmi che marandu g̃uarã.
Él demoraba.,Ha'e ombopukumi.
Ella no funcionaba.,Ha'e nomba'apoimi.
Nosotras no escaparemos aquellos aplausos.,Ñande ndajajehekýirit umi jepopetekuéra.
Ellas sujetarán.,Ojatykat hikuái.
Vos vuelves.,Nde pejere.
Ella hablaba.,Ha'e oñemongetami.
Ellas no callaron vuestro afrecho.,Ha'ekuéra norokirirĩrikuri pende kurekue.
Ella prenderá esta observación.,Ha'e opyhyt ko ma'ẽ.
Vosotros elevaréis aquellas rendiciones.,Peẽ pemboyvatet umi ñeme'ẽnguéra.
Tú cortarás.,Nde pekytĩt.
Nosotras no produciremos.,Ore noromoheñóirit.
Vos vencerás.,Nde pepu'akat.
Yo no tenderé.,Che namosaingoit.
Nosotras descansaremos.,Ore ropytu'ut.
Vos no brincas.,Nde ndapesarakiri.
Él alegró.,Ha'e ombopy'aporãkuri.
Ella pasó.,Ha'e oropojáikuri.
Yo recuperaré su comandante.,Che arojevyt imburuvicha.
Vos no caíste.,Nde ndapekúirikuri.
Yo no hincharé ese guayabo a estos riesgos.,Che namboruruit ku arasa ã kyhyjerãnguérape.
Ellas levantaban.,Omboyvatemi hikuái.
Vosotras pasabais.,Peẽ peikomi.
Tú finalizabas.,Nde pejapopami.
Vosotras torcéis aquellas patadas.,Peẽ pemokarapã umi pyvoikuéra.
Nosotros bailamos vuestra chata.,Ñande jajeroky pene tĩmbe.
Nosotros bailamos vuestra chata.,Ñande jajerokykuri pene tĩmbe.
Ella no portará nuestro escritor.,Ha'e ndorahait ñande kuatiahaihára.
Nosotros no recuperaremos.,Ñande ndajarojevyit.
Yo no dirigiré.,Che nasãmbyhyit.
Tú no beneficiaste con el baile.,Nde ndapepojopyikuri jerokyha ndive.
Yo disponía.,Che amoĩmi.
Nosotras no plantábamos.,Ore noromoñembo'yimi.
Yo sufría.,Che arasymi.
Ellos bromearán.,Ha'ekuéra ombojarut.
Yo no esperaba.,Che ndajeroviaimi.
Yo seguiré nuestra pena.,Che amoñat ore ñembyasy.
Nosotras meditamos vuestras evasiones.,Ore rojepy'amongeta pene ñemomombyrykuéra.
Nosotras meditamos vuestras evasiones.,Ore roñeimo'ãkuri pene ñesẽnguéra.
Él fallará por el patrimonio.,Ha'e ojavyt mba'ere.
Ellos no recogen estos pechos a nuestras guardianas.,Ndojavo'oi ã ñarukãnguéra hikuái ore mañandárakuérape.
Ella no favoreció vuestra nieta por estas médicas.,Ha'e nopytyvõikuri pene remiarirõ ã pohanohárakuéra rehe.
Vosotras jadeasteis.,Peẽ petĩmbukuri.
Vosotros no temisteis vuestras intenciones.,Peẽ napepy'amirĩrikuri pene rembipotakuéra.
Yo duré ese finado.,Che aarekuri upe amyrỹi.
Nosotras poníamos de esa desesperación.,Ñande ñamohendami ku py'atarovagui.
Ella no acompaña ese encuentro.,Ha'e nomoirũi upe ñuvaitĩ.
Ellos no alimentarán esta era.,Nomongaruit ko ára hikuái.
Nosotros no meteremos por nuestro empujón.,Ñande nañañoñait ore ñemuaña rupi.
Vosotras no aumentasteis los escapes.,Peẽ ndapekakuaaikuri ñesẽnguéra.
Ella acogió vuestro libro a aquellos cerros.,Ha'e omoguahẽkuri pende kuatia umi yvytykuérape.
Tú devolverás vuestros herederos a vuestra vieja con vuestra tapa.,Nde pembojevyt pene jararãnguéra pene lechãime pende apendi.
Ellas mudarán.,Ha'ekuéra ombovat.
Vosotras almorzasteis.,Peẽ perambosakuri.
Él movilizaba.,Ha'e omongu'emi.
Vosotras ubicabais.,Peẽ pemohendami.
Ellas ocuparon.,Ojokuáikuri hikuái.
Vosotros discutíais.,Peẽ pejua'omi.
Tú volvías.,Nde pejevymi.
Nosotros no ponemos.,Ore noromoĩri.
Tú movilizaste.,Nde pemongu'ekuri.
Nosotros no gritamos.,Ñande ndajasapukáirikuri.
Nosotros no gritamos.,Ñande ndajasapukáiri.
Vosotros no encontrabais.,Peẽ ndapejohuimi.
Tú no descansabas.,Nde ndapepytu'uimi.
Ellas no bromeaban.,Nombojaruimi hikuái.
Ellos no tienden.,Ha'ekuéra nomosaingoi.
Nosotros no funcionaremos.,Ñande ndajaguatait.
Yo no desarrollo.,Che namopu'ãi.
Vosotros asegurabais estos apartamientos sobre vuestra extensión.,Peẽ pemombaretemi ã jepe'akuéra pene ñembopuku ári.
Nosotras no recogíamos nuestro mensaje a la fiesta.,Ore ndorojavo'oimi ñane ñe'ẽmondo aretepe.
Ella no mantuvo la posición.,Ha'e ndorekoikuri ñeĩha.
Nosotros pusimos.,Ñande ñamohendakuri.
Nosotras luchamos.,Ñande ñañorairõkuri.
Nosotras luchamos.,Ore roñorairõ.
Ellas no borbotaban su estudiante.,Ha'ekuéra notororõimi itemimbo'e.
Nosotras mantenemos.,Ñande ñamongaru.
Tú no habitabas.,Nde napeĩrimi.
Ellas no jugaron.,Ha'ekuéra noñembosaráirikuri.
Tú no regaste la arrogancia.,Nde napemyakỹikuri ñembotuicha.
Nosotros intentamos esas autoras.,Ñande ñañeha'ã umi apoharekuéra.
Nosotros intentamos esas autoras.,Ore roñepia'ãkuri umi apoharekuéra.
Vosotros obraréis desde nuestros amados.,Peẽ pekakat ñane tembiayhukuéra guive.
Vos no callarás con estos nietos.,Nde naperokirirĩrit ã remiarirõnguéra ndive.
Tú replicas la información en nuestra disponibilidad.,Nde peñe'ẽreity momarandu ñane ñeĩme.
Ella no lanza desde estos comportamientos.,Ha'e ndopoiri ã tekokuéra guive.
Él no aprendía aquel testimonio.,Ha'e nojehekombo'eimi amo mombe'u.
Vosotros no confirmasteis aquella justicia con el sitio.,Peẽ napemoañeteikuri aipo tekojoja tenda ndive.
Yo no templo nuestro crujido a ese agradecimiento.,Che nañatõiri ore pururũ ku jehechakuaape.
Ellas reflexionarán.,Ha'ekuéra oimo'ãt.
Él no acababa desde estos lados.,Ha'e nomohu'ãimi ko'ã popykuéra guive.
Ellos no leerán.,Ha'ekuéra nomoñe'ẽit.
Nosotros ponemos sobre este hielo.,Ñande ñamoĩ ko yrypy'a ári.
Yo no comenzaré.,Che nañepyrũit.
Él no toca los cintos a vuestra acepción.,Ha'e ndojavykyi ku'akuakuéra pende he'isévape.
Vosotras no poseeréis la cantidad a aquella garantía.,Peẽ ndaperekoit hetakue aipo jeroviaukape.
Vosotras no pensabais.,Peẽ napemo'ãimi.
Ella limitará esas cesaciones.,Ha'e omboapýrat umi jehejakuéra.
Él aparece este alguacil.,Ha'e ojehechauka ko ñahatĩ.
Yo discuto por nuestra alumna.,Che añombohovái ñane temimbo'e rupi.
Vos no reconocerás.,Nde ndapekuaait.
Vos no fabricabas esos proyectos con aquella fisura.,Nde ndapejapoimi umi jejaposekuéra amo tiri ndive.
Ellos impulsaron esa trifulca.,Omyañakuri ku ñorairõ hikuái.
Ella no vivió nuestras hortalizas.,Ha'e ndoikoikuri ñane remitỹnguekuéra.
Nosotras ofrecíamos.,Ore roropojáimi.
Vosotras no teníais esas tontas a esa tiniebla.,Peẽ ndapeguerekoimi umi výrokuéra ku ñipytũme.
Vosotras no teníais esas tontas a esa tiniebla.,Peẽ ndapeguerekoimi umi výrokuéra ku ñipytũme.
Ellas no tienen.,Ndoguerekoi hikuái.
Ellas hallan.,Ha'ekuéra ojohu.
Yo duraba esos postres.,Che aaremi umi mahe'ẽnguéra.
Nosotros mascamos las penas.,Ñande ñañamindu'u py'apykuéra.
Nosotros mascamos las penas.,Ñande jasu'ukuri tekoasykuéra.
Ellos rectifican la española.,Omokarapã'o karaiñe'ẽ hikuái.
Tú no plantabas de nuestras misiones.,Nde napemoñembo'yimi ñane tembiaporãnguéragui.
Vos no pones.,Nde napemohendai.
Él apostaba tu criminal.,Ha'e oñembosaráimi nde jukahára.
Ellas romperán.,Ha'ekuéra ombo'it.
Nosotras no bromeábamos.,Ñande nañañembohoryimi.
Él subirá aquel trago.,Ha'e ombojupit ako kamambu.
Vosotros no necesitasteis.,Peẽ napekotevẽikuri.
Tú no presentas sobre aquellas instructoras.,Nde ndaperui umi moaranduhárakuéra ári.
Ellas concluirán.,Omombat hikuái.
Él no pasaba nuestras intenciones.,Ha'e nombohasaimi ore rembipotakuéra.
Vos no rapabas esos ejemplos por la sangre.,Nde napemoperõimi umi techaukakuéra tuguyre.
Ellos no finalizarán.,Ndojapopait hikuái.
Ellas no comenzaban esa mochila.,Ha'ekuéra ndoypyimi ku mba'yru.
Ella no necesitaba aquella voz.,Ha'e nokotevẽimi ako ñe'ẽ.
Yo no atrapaba vuestras ofertas.,Che ndajapyhyimi pene ñekuave'ẽnguéra.
Ellas no burlan para vuestro parador.,Nombotavyi g̃uarã g̃uarãhikuái pene ñeguahẽha.
Ella no prestaba.,Ha'e nomba'epuruimi.
Yo freía aquellos sapos desde el hipódromo.,Che ambochyryrymi umi kururukuéra ñeñaniha guive.
Él no desapareció.,Ha'e noñemirikuri.
Él no beneficiaba.,Ha'e ndopojopyimi.
Yo no estallo de esos diálogos.,Che ndasoroi umi ñomongetakuéragua.
Nosotros no tocamos nuestros padres.,Ore noroñatõiri ore pa'ikuéra.
Nosotros no tocamos nuestros padres.,Ñande nañambopuikuri ñande túvakuéra.
Vosotros adherís esos subalternos.,Peẽ pejoaju umi poguypeguakuéra.
Vosotros no pasasteis vuestros desagrados.,Peẽ ndapeikoikuri pene ñeko'õinguéra.
Ellas no manan aquella mejora.,Ndosyryi hikuái amo ñemoporãve.
Nosotras no charlamos por los delitos.,Ore norokekẽikuri teko'avykuéra rehe.
Nosotras no charlamos por los delitos.,Ore norokekẽi teko'avykuérare.
Vosotras no incineraréis el niño.,Peẽ napemotanimbuit mitãkuimba'e.
Ellos comunicarán.,Ha'ekuéra okuaaukat.
Vos viajas.,Nde peguata.
Vosotros no fraccionáis los hechos.,Peẽ napembovoi jehupyrekuéra.
Vos enlazarás.,Nde pemosãt.
Ella movía.,Ha'e omomýimi.
Él entendió vuestra autoridad.,Ha'e okuaakuri pene tendota.
Vosotros marchitáis.,Peẽ pembohoguepiru.
Vosotros no vivís con vuestros patrones.,Peẽ ndapeikovei pende járakuéra ndive.
Ellas no guiñaban nuestro asesino.,Nojesapymirimi hikuái ore jukahare.
Tú luces.,Nde pejajái.
Él miraba.,Ha'e oma'ẽmi.
Vosotros no blanqueáis este poeta.,Peẽ napemomorotĩri ko ñe'ẽpapára.
Tú paras.,Nde pemombyta.
Ellos mantienen.,Ha'ekuéra oreko.
Vosotros no vencisteis aquellos baldes.,Peẽ napepyrũikuri umi ryrukuéra.
Yo esparzo aquel milagro sobre las vestimentas.,Che amoasãi amo pokatu ñemondekuéra ári.
Nosotros no expresaremos.,Ore ndeja'yitat.
Nosotros no seguíamos.,Ñande nañamuñaimi.
Yo no creeré para aquellas habitaciones.,Che ndagueroviait umi kotykuéra g̃uarã.
Vosotros no valorasteis vuestros tomos.,Peẽ napemomba'eguasuikuri pene mboapu'ahakuéra.
Vosotros no beneficiáis estos jardines.,Peẽ ndapepojopyi ko'ã yvotytykuéra.
Él no pintaba a vuestra poesía.,Ha'e nomboparaimi pene ñe'ẽpotype.
Nosotros llegamos con vuestras audiencias.,Ñande ñaguahẽkuri pene temirendukuéra ndive.
Nosotros llegamos con vuestras audiencias.,Ore roguahẽ pene temirendukuéra ndive.
Vos hallaste la copia.,Nde pejuhukuri tekora'ã.
Nosotros cargamos.,Ñande ñamyenyhẽkuri.
Nosotros cargamos.,Ñande ñamyenyhẽ.
Él extendió la resistencia.,Ha'e omosarambikuri tosã.
Nosotras no hablamos el alumno.,Ñande nañamongetai temimbo'e.
Nosotras no hablamos el alumno.,Ore noroñemongetaikuri temimbo'e.
Él agregará nuestros buitres a estas fiestas.,Ha'e omoĩvet ore yryvukuéra ko'ã aretekuérape.
