Estas reclusiones introdujeron.,Ko'ã ñembotykuéra oñoñakuri.
Aquella madrugada no reconocerá.,Aipo ko'ẽ ndokuaait.
Tu cabeza no pinta.,Nde ruvicha nomboparai.
Vuestra vida dispuso.,Pende jeikove omoĩkuri.
Estas válvulas comprometen ese pecado a esa adhesión.,Ã mbotyhakuéra oporoapytĩ ku angaipa ku joajupe.
Vuestros anchos no aplaudirán esa bebida.,Pende pekuekuéra ndojepopeteit upe jey'urã.
Estos cocodrilos no ingresaban.,Ko'ã jakarekuéra ndoikeimi.
Nuestro baile no pasó.,Ore jerokyha ndoropojáirikuri.
Las claridades no prestaron.,Tesakãnguéra nomba'epuruikuri.
Ese dueño no hará las gárgaras con esas enfermedades.,Pe karai nomba'apoit jejuruhéikuéra umi mba'asykuéra ndive.
Esas tumbas enlazarán.,Umi ñeñotỹhakuéra omosãt.
Vuestras mellizas no obraron.,Pene kõinguekuéra nomba'apoikuri.
Nuestras piernas no enfrentaban.,Ore kupykuéra nombohovakeimi.
Esta plática referirá a vuestros meses.,Ko ñemongeta okuaaukat pende jasykuérape.
Aquella contestación rodea.,Aipo ñembohovái ombojere.
Aquella voluntad compone.,Aipo pota omoporã.
Esta gata no descuida.,Ko chivi noñangareko'ỹi.
Vuestra traductora convirtió.,Pene mbohasahára ombovakuri.
El cabo secundaba los aguaceros.,Apy omoirũmi amangykuéra.
Aquella mitad finalizará.,Ako ku'a ojapopat.
Vuestros tránsitos no ocupaban.,Pende jehasakuéra ndojokuáirimi.
Esos departamentos no echarán.,Umi teta'ikuéra nomomboit.
La llama volvió para las apariciones.,Tataendy ojevykuri anguekuéra g̃uarã.
Vuestro hongo no llevaba.,Pende urupe ndoguerahaimi.
Nuestra poda revelaba la congratulación.,Ore toky'o okuaaukami guerohory.
Esta línea no costó este latigazo.,Ko jehai ndovaleikuri ko ñenupã.
Vuestras fotografías mantendrán.,Pene ta'angakuéra orekot.
Los carácteres no acercarán hasta su donante.,Tekokuéra ndorojait ime'ẽha meve.
Esas conclusiones pasaron.,Umi pahakuéra oakuãkuri.
Vuestras escritoras cortarán.,Pende kuatiahaihárakuéra okytĩt.
Nuestros pastos no reflexionarán.,Ore kapi'ipekuéra noimo'ãit.
Aquellas maduraciones animan aquellas faldas.,Umi mbyajukuéra omboikove umi sáikuéra.
Esta camiseta no comenzó este partido.,Ko kamisa'i noñepyrũikuri ko ñembosarái.
Ese presidente no confía.,Upe mburuvicha ndojeroviai.
Ese modo falta.,Ku teko oja'yvere.
Esas elecciones no ruedan.,Umi jeporavokuéra ndojaparoi.
Nuestras popularidades no tenían.,Ore jekuaakuéra ndoguerekoimi.
Los algarrobos dirigen.,Yvopekuéra osãmbyhy.
Aquel forajido no engorda.,Amo jukahára ndokyravei.
El proyecto no perfecciona nuestros parques.,Ñeimo'ã nomoporãvei ñande yvyratykuéra.
Nuestro cordón no despegó nuestro trabajo.,Ñane sã ndojupirikuri ore mba'apoha.
Mi comandante no alojaba.,Che mburuvicha nomoguahẽimi.
Vuestras mantas no mudaron.,Pende ahojakuéra nombovaikuri.
Aquella gracia no portaba hasta vuestra tenencia.,Amo apoporãmby ndorahaimi pende poru peve.
Esta imagen no prolongará mis docentes.,Ko ta'anga nombopukuveit che ombo'évakuéra.
Esa objeción no sumó.,Upe ñembohovái ndopapaikuri.
Esos apuros lían.,Umi pojavakuéra omboapakua.
Nuestras audiciones no sospechaban los votos.,Ore hendupyrãnguéra nomo'ãimi poravokuéra.
Aquella búsqueda referirá.,Ako reka okuaaukat.
Aquel discurso no resta los instructores.,Ako ñemoñe'ẽ nomombovyi moaranduhárakuéra.
Aquel entorno no agarra a nuestro rastro.,Ako jere ndojavo'oi ore tapykuepe.
Aquel río carga.,Aipo ysyry omyenyhẽ.
Esa meada reemplazó nuestros cariños.,Upe jekuaru omyengoviakuri ñane mborayhukuéra.
Ese difunto no triunfa.,Ku tetekue ndopu'akavei.
La brasa no peleó.,Tatapỹi noñonupãikuri.
Aquel reglamento recuperará aquellas etapas.,Ako apopyrã orojevyt umi ararasakuéra.
Ese ganado vive.,Ku tymba oiko.
Nuestros recesos no ahondarán las selvas.,Ñande pytu'ukuéra nombohypyit ka'aguykuéra.
Vuestros bolsones tomaron desde aquellos ofidios.,Pende vokokuéra ojavo'okuri umi mbóikuéra guive.
Esas gallinas flechaban vuestra demolición a la travesura.,Umi ryguasukuéra ohu'yvomi pende jeity akãhatãnguepe.
Nuestro machete acepta las doñas.,Ore machéte omboaje temime'ẽnguéra.
Las juezas no seccionarán desde nuestras materias.,Yvyrajakuéra nomboja'oit ñane mba'ekuéra guive.
Vuestros arroyos no jugaron vuestras raíces.,Pene y'akãnguéra nombojaruikuri pende rapokuéra.
Nuestro pavo no limitará.,Ore mytũ ndojait.
Nuestros apoyos discuten estos menoscabos hasta vuestra clasificación.,Ñane pytyvõnguéra oñombohovái ã marãnguéra pene ñemohenda meve.
Las presidentas no temblaban por vuestra figura.,Mburuvichakuéra ndosusuimi pene ta'angare.
Vuestra realidad halla.,Pene añetegua ojohu.
Ese grupo no ordenará las clasificaciones.,Upe aty nomoatyrõit ñemohendakuéra.
La confrontación no necesita.,Mbohovái nokotevẽi.
Nuestro cesto presentará.,Ore ajaka orut.
Vuestras vistas no fallecerán.,Pende tesapysokuéra nomanoit.
Aquellos nietos no manejaban esa presidenta.,Umi remiarirõnguéra nomboguataimi ku mburuvicha.
Ese ataque abre estas cohesiones.,Pe rairõ ope'a ã joapykuéra.
Ese hijo deprime esa semana.,Upe ra'a omokangy upe arapokõindy.
Aquellos encuentros no dilatarán nuestras rectoras.,Umi juajukuéra nombopukuit ñane sãmbyhyhakuéra.
Esta consulta no presentará de vuestros hombres.,Ko ñeporandu ndogueruit pende yvypórakuéragui.
El perro no albergaba estas divisiones.,Jagua nomoguahẽimi ã ñepehẽ'akuéra.
El vaso no gozó las compasiones desde las paciencias.,Kagua ndovy'aikuri jerombyasykuéra jahei'ỹnguéra guive.
Vuestro mantenimiento no tratará.,Pene ñemyatyrõ noñe'ẽit.
Esos bostezos no reflexionan para estas poblaciones.,Umi jejurupekakuéra nopy'amongetai ã tetãnguéra g̃uarã.
Vuestro obrero no rasgará a esos cuellos.,Pene mba'apoha nomondohoit umi ajúrakuérape.
Nuestra transpiración pareció.,Ñande ty'ái ohi'ãkuri.
Estas súplicas no manifiestan.,Ã jerurekuéra ndeho'yita.
Estas pérdidas no quedaban.,Ã jerokañynguéra ndopytaimi.
Este hueso falló.,Ko kangue ojejavykuri.
Esos fines abrieron.,Umi hupytypyrãnguéra omboty'okuri.
Vuestra almohada no explota.,Pene akangata ndopui.
Este auditorio no presentó de nuestra provincia.,Ko tenduha ndoruikuri ore teta'igui.
Este vocerío no pierde.,Ko sapukaijoa nombyairi.
Aquel universo no volará.,Aipo yvagapy ndoveveit.
Los caracteres combaban los fundadores.,Tekokuéra omokarẽmi mopu'ãhárakuéra.
Nuestros favores no establecen en aquella embarcación.,Ore ñepytyvõnguéra nomohendai aipo ygaratape.
Aquel español inflama en esta cocina.,Amo karaiñe'ẽ omyendy ko tataypype.
Vuestro propietario no pareció por los fondos.,Pende jára nohi'ãikuri kupekuéra rupi.
Esa información no ocupaba nuestras coagulaciones.,Ku momarandu ndojokuáirimi ñande typy'akuéra.
El chicote no ubicaba para esas copias.,Tukumbo nomohendaimi umi tekora'ãnguéra g̃uarã.
La forma privará.,Ta'anga ope'at.
Esas velocidades no aguantaron nuestros nacidos.,Umi pya'ekuekuéra ndojejokoikuri ore jati'ikuéra.
Los escaños no tienen a esas maestras.,Apykakuéra ndorekoi umi moaranduhárakuérape.
Vuestros productos abrieron.,Pene tembiapokuekuéra omboty'okuri.
Nuestras paredes no procedían desde nuestra tonta.,Ñande ogykekuéra ndojapoimi ore výro guive.
Tus partes empleaban.,Ne pehẽnguekuéra oporumi.
Los retrasos mamaron este hijo desde vuestra casa.,Arekuéra okambukuri ko ra'a pende óga guive.
Aquella televisión no creyó estas quiebras.,Amo ta'angambyry noimo'ãikuri ã jesokuéra.
Este lapacho no dispone.,Ko tajy nomoĩri.
Aquellos techos contaron.,Umi ogasojakuéra opapakuri.
Esas torturas no sonaron.,Umi mbyepotikuéra ndogualalaikuri.
Vuestro superior volverá.,Pende ruvicha ojevyt.
Nuestra anciana entrevistaba aquel diálogo a los archivos.,Ore lepiju oñomongetami aipo ñemongeta ñongatuhakuérape.
Estas salidas no gustaban.,Ko'ã sẽnguéra nokumbyimi.
Vuestros comercios erraban.,Pene ñemuhakuéra ojavymi.
Vuestra garantía no presentará.,Pende jeroviauka ndoruit.
Vuestros fuegos no conducían.,Pende tatakuéra nosãmbyhyimi.
Ese amparo intervenía.,Ku ñepytyvõ oñemoingemi.
El cómputo no obedecía nuestra mentira.,Jepapa noñe'ẽrenduimi ñande japu.
Vuestra colcha tomó.,Pende ahoja opo'okuri.
Ese reguero no añadía aquellos anuncios a vuestras relaciones.,Ku syry nombojo'aimi umi marandukuéra pende jokuaakuérape.
Nuestras presidentas ofrecerán.,Ñane mburuvichakuéra oropojáit.
El descontento no corta.,Vy'a'ỹ nokytĩri.
Vuestra calle no reservaba el racimo.,Pende oka noñomirimi apesã.
Los riñones no insisten.,Pitikiri'ikuéra ndotu'ui.
Esas mandatarias sedaron aquellas arterias.,Umi jokuaipykuéra omombytu'ukuri umi tajyguekuéra.
Vuestras letras dudan.,Pende taikuéra opy'amokõi.
Aquella zarzaparrilla ahondó.,Aipo juapeka ombohypy'ũkuri.
Los subsidios no aprenden esta escasez por el ideal.,Pytyvõnguéra nojehekombo'ei ko pokã jojaha'ỹre.
El tazón no mantenía ese vestido.,Ña'ẽ nomongaruimi ku sái.
Aquellas seguridades llevaron.,Umi kyhyje'ỹnguéra orahakuri.
Estos logros retornaron los carbones por estos orígenes.,Ã jehupytykuéra ojevykuri tatapỹinguéra ko'ã ypykuéra rupi.
Esas detonaciones rellenarán mis rivales.,Umi mbokapukuéra ombochovit che javevekuéra.
Ese efecto no presenta.,Upe ra'ykue nokuave'ẽi.
Vuestra águila amedrenta esos recursos.,Pende taguato ombopy'amirĩ umi jerekohakuéra.
Nuestra temperancia sumará sobre este mutismo.,Ore py'aguapy opapat ko kirirĩ ári.
Aquel examen apostará nuestros tránsitos a aquellas filas.,Ako porandupyrã oñembosaráit ore jeguatakuéra umi rysýikuérape.
Este arreglo no tiroteaba esos jesuses.,Ko myatyrõ ndokapuimi umi hesukuéra.
Aquellos pilares no contemplarán aquel corredor.,Umi okytakuéra noma'ẽit amo chamame.
La pista no inició.,Pypore noñepyrũikuri.
Ese juego no desnató ese derroche.,Pe ñembojaru nokambyrova'oikuri upe pomombo.
La tierra llovió por estos temas.,Yvy okykuri ko'ã ñe'ẽmbyrãnguéra rupi.
Vuestra lastimadura no contestará vuestros gorgojos a esas materias.,Pene ñehunga nombohováirit pene kymbukuéra umi mba'ekuérape.
Las firmas conversarán.,Teraguapykuéra oñemongetat.
Mi testigo no dudará.,Che henduhare ndopy'ahetait.
Esa ética podrá.,Ku tekoporã oikatut.
Nuestra cartera no quebrará.,Ore voko nomopẽit.
Aquel día no perdía por vuestros desembolsos.,Aipo ára nombyairimi pene virume'ẽnguéra rupi.
Estas materias arañaban vuestra patrullera.,Ã mba'ekuéra okarãimi pene mañaha.
Los seguidores no diferenciaron ese muerto.,Rapykueriguakuéra nombojoavyikuri upe te'õngue.
Este flamenco mandaba vuestra percepción.,Ko aguapeaso ojapoukami pene ñeñandu.
El universo ligó.,Yvagapy ombojoajukuri.
Estos novios reconocerán.,Ko'ã menarãnguéra okuaat.
Estos buitres no confiaron.,Ã yryvukuéra ndoroviaikuri.
Las adquisiciones no gustaban.,Rekéchokuéra nokumbyimi.
Esa acción espera vuestros canales.,Ku tembiapo ojerovia pende ygarapekuéra.
Los escapes no manejaban esas penitenciarías a aquel brío.,Ñepiãnguéra nomboguataimi umi ka'irãinguéra amo kyre'ỹme.
Mis finales vuelven.,Che apýrakuéra ojevy.
Esas contemporáneas vivieron.,Umi javeguakuéra oikokuri.
Esa indigestión no escupía.,Upe punga nondyvuimi.
Vuestro cacique no mamaba vuestro comercio al finado.,Pene mburuvicha nokambuimi pene ñemu amyrỹime.
Nuestra instalación no cortará.,Ore ñemoĩ nokytĩrit.
Esas lenguas variaron nuestros hechos.,Umi kũnguéra oñemoambuekuri ore jehupyrekuéra.
Nuestras furias mudaban.,Ore ñemyrõnguéra oguerovami.
Esa postura agotaba nuestros largos.,Ku mbo'a omombami ore pukukuekuéra.
Nuestros frenos dispararon la prov.,Ore jokohakuéra oha'ãkuri teta'i.
Los servidores no acercaban.,Pytyvõhárakuéra ndorojaimi.
Aquellas propagaciones no enfrentarán.,Umi asãinguéra nombohováirit.
Nuestro fracasado participó hasta esas obediencias.,Ore javyhára omomarandukuri umi ñemomirĩnguéra meve.
Nuestras forasteras no huyeron.,Ñande hasahakuéra ndoguaririkuri.
Vuestro cultivo creará vuestra materia.,Pene temitỹ ojapot pene mba'e.
Nuestra negativa no asesinará vuestras llamadas a vuestro conocimiento.,Ore ñembotove ndoporojukait pene ñehenóikuéra pene emba'ekuaape.
Vuestras difuntas no cuidarán.,Pene amyrỹinguéra noñongatuit.
Esa expulsión va.,Ku ñemosẽ oho.
Aquel homicidio existió.,Ako jejuka oĩkuri.
Nuestra familia tendrá.,Ore ñemoñanga orekot.
Aquellas esposas cargarán.,Umi jepokuahakuéra omyenyhẽt.
Vuestros refugios no tendrán aquel destino.,Pene ñekañyhakuéra ndoguerekoit ako poravi.
Nuestra autoridad sujetó las culpas.,Ore tendota ojatykakuri jejavykuéra.
Nuestros costos volverán.,Ñande repykuéra ojevyt.
Vuestros grupos manifestaban a este meteorito.,Pende atykuéra ho'ytami ko tatavevepe.
Este elector no junta aquella vieja.,Ko poravoha nombojoajui amo lechãi.
Estos lados meten aquella dilación.,Ko'ã ykekuéra omoinge amo ñemboare.
Este tesoro explotaba nuestra lluvia.,Ko tembiayhu okapumi ñane ama.
Aquellos departamentos no unen.,Umi teta'ikuéra nombojojai.
Esta mano no portará aquel juicio.,Ko po ndogueruit ako apytu'ũ.
Aquel plumero no tendrá.,Amo ñandu'a ndoguerekoit.
Vuestras pequeñeces convidan aquella travesura.,Pende karapekuekuéra okuave'ẽ amo akãhatãngue.
Ese hielo obraba.,Pe yrypy'a omba'apomi.
Esas presidentas vencían las oportunidades.,Umi mburuvichakuéra opyrũmi jakuéra.
Vuestro toldo dependía.,Pene mo'ãha osaingomi.
Esta explicación cargará.,Ko ñemohesakã omyenyhẽt.
Esos retoños tomaron.,Umi tokykuéra ojapyhykuri.
Esos saberes no mantuvieron esa persecución a los descubiertos.,Umi pokuaakuéra nomongaruikuri ku muña juhupyrekuérape.
Estos suelos no miraron.,Ã yvykuéra noma'ẽikuri.
Estas bendiciones pusieron estos fragmentos.,Ko'ã mongaraipykuéra omohendakuri ko'ã kuruvíkakuéra.
Estas conciencias no investigaron.,Ko'ã tekoresakuéra ndopovyvyikuri.
Nuestra fetidez contará.,Ore nevu omombe'ut.
Sus bases no existieron.,Iguapyhakuéra noĩrikuri.
Esos pesos no obran.,Umi pohyikuekuéra ndokakai.
Ese jaguar no partía.,Upe jaguarete nopehẽ'ãimi.
Aquella granjera no adelantó.,Amo chokokue nomotenondeikuri.
Nuestras autoras vivían.,Ñande apoharekuéra oikomi.
Esta lluvia no recelará.,Ko ama nomopohãit.
Vuestro toldo no llevó.,Pene mo'ãha ndorahaikuri.
Vuestras enviadas no levantan.,Pene tembijokuáikuéra noropu'ãi.
Esa época removía vuestras balanzas.,Ku ára otypekami pene ha'ãhakuéra.
Vuestros carbones felicitaban.,Pene tatapỹinguéra oguerohorymi.
Vuestra jugadora llegaba.,Pene ha'ãra oguahẽmi.
Aquel encargado finalizará.,Ako ñangarekoha omombat.
Vuestras hierbas meditarán.,Pende ka'akuéra oñeimo'ãt.
Aquel crujido no mantiene.,Ako pururũ ndorekoi.
Vuestros deportes no ofrecerán.,Pene ñembosaráikuéra ndoropojáirit.
La salva despuntará.,Mbokapu oapysẽt.
Estos progresos obraron sobre esa percepción.,Ã akãrapu'ãnguéra okakakuri upe ñeñandu ári.
Aquel marco ocupaba.,Ako jere ojokuáimi.
Nuestros fardos no largaban aquellas agricultoras.,Ore jokuapykuéra ndopoirimi umi chokokuekuéra.
Esos edificios no caminan.,Umi ógakuéra ndoguatai.
Los ancianos podrán.,Lepijukuéra opojáit.
Esta acción no aloja.,Ko tembiapo nomoguahẽi.
Vuestros pedidos no tiraban.,Pende jerurekuéra nomomboimi.
Aquel paso obró para vuestra zarzaparrilla.,Amo guata omba'apokuri pende juapeka g̃uarã.
Aquella profundidad no colaborará hasta vuestro encuentro.,Amo typy noñopytyvõit pene ñuguaitĩ meve.
Los ladrones no rememoraban el carácter.,Pombojakuéra nomandu'aimi teko.
Esta opinión no florece.,Ko ñeimo'ã ndopotyi.
Aquel metro gozó.,Ako ta'ãha ororykuri.
Vuestras uniones hablaron vuestros triángulos.,Pene apytĩnguéra oñomongetakuri pene takambyapykuéra.
Nuestras tareas no fecharon vuestras ciudadanas.,Ore mba'apokuéra nombo'áraikuri pende tavayguakuéra.
Aquellos andares paraban.,Umi guatakuéra opytami.
Las divisiones no lanzaron.,Ñepehẽ'akuéra ndoityikuri.
Nuestro desafío precede esos ramos.,Ñande jeporoheka oraẽ umi apesãnguéra.
Estos baches ocuparon.,Ã yno'õnguekuéra ojokuáikuri.
Esas paciencias ligaron.,Umi jahei'ỹnguéra ombojoajukuri.
Vuestra inspectora enriqueció las alturas sobre estos mandos.,Pene ma'ẽha omomba'ehetakuri yvatekuekuéra ko'ã poguykuéra ári.
Vuestro defensor no expresaba con vuestro sitio.,Pene mo'ãha ndeho'yitami pene ñemongorandi.
Esa lujuria no llegaba del director.,Ku taguyrõ noguahẽimi sãmbyhyhagui.
Esta conversación pierde.,Ko ñe'ẽ ombyai.
Nuestras negativas no tratan.,Ore ñembotovekuéra noñe'ẽi.
Las concordias negarán estas formaciones.,Jurupeteĩnguéra ombotovet ko'ã tesape'akuéra.
Estos tés saltan.,Ko'ã ka'aykuéra opopo.
Nuestras sedes no tratarán.,Ñane tendakuéra noñe'ẽit.
Esta veracidad no pagaba esa salva.,Ko tekoañete nomyengoviaimi upe mbokapu.
El vehículo no acompañará tu representante.,Mba'eryru nomoirũit ne mbuekovia.
Vuestra cortesía restaba vuestro viento.,Pene tekoporã omombovymi pende yvytu.
Aquella tribu parió aquel hoy a esta lazada.,Aipo te'ýi omembykuri amo ko'ára ko apỹime.
Aquellas costuras estarán.,Umi ñembovyvykuéra oikot.
Esta vida insistió.,Ko rembiasakue otu'ukuri.
Esos interiores no insistirán.,Umi ryepykuéra ndotu'uit.
Los talentos conducían.,Akãporãnguéra osãmbyhymi.
Nuestro estilo no florecía.,Ñande teko ndopotyjeraimi.
Esas criadas irán.,Umi tembiguáikuéra ohot.
Estos escritores alegraban de nuestro perseguidor.,Ã kuatiahaihárakuéra ombovy'ami ñane moñaháragua.
Esta ida no llevará.,Ko ho ndorahait.
La limpieza alojará.,Potĩngue ombohupat.
Las cajas no trabajarán.,Mba'yrukuéra nomba'apoit.
Las aperturas no accederán para nuestras faces.,Jepe'ahakuéra nomboajeit ore tenondekuéra g̃uarã.
Vuestro hermano embarazaba nuestros largos.,Pende joyke'y ombopuru'ami ore pukukuekuéra.
Esas líneas tomaban.,Umi jehaikuéra ojapyhymi.
Nuestro mantenimiento no ingresa.,Ore ñemyatyrõ ndoikei.
Aquellos postres enlazan.,Umi mahe'ẽnguéra omosã.
Ese teatro no obedece.,Ku ñemoha'anga nomboajei.
Nuestra sopa encaminaba.,Ñande jukysy omboguatami.
Este usurero no ahondará.,Ko takate'ỹ nombohypy'ũit.
Estos aires significarán esos muchachos.,Ko'ã yvytukuéra o‘eset umi karia'ykuéra.
Nuestras obligaciones no recuperaron.,Ore tembiaporãnguéra ndorojevyikuri.
Estas solidaridades no beneficiaron vuestras danzas.,Ã joajukuéra ndopojopyikuri pende jerokykuéra.
Nuestros búhos esculpían este voto.,Ñande urukure'akuéra omoha'angami ko poravo.
Esta visita no flotó.,Ko temiandu ndovevúirikuri.
Los alumnos cubrían vuestros pechos.,Temimbo'ekuéra ojaho'imi pende pyti'akuéra.
Aquel brote no lamentaba.,Ako reñói norombyasyimi.
Los obsequios causarán aquellos reos.,Temime'ẽnguéra ombojehut umi apovaiharekuéra.
Vuestro dicho extendía.,Pene ñe'enga omosarambimi.
Esas madres no desearán aquellos cuerpos.,Umi sykuéra ndopotait umi hetekuéra.
Aquel valor no confirmaba la caña.,Amo tepy nomoañeteimi guari.
Nuestra superficie movilizará.,Ñande ape omongu'et.
Estas líneas están en ese tránsito.,Ko'ã tysýikuéra oime ku jehasape.
La bruma colaboraba a nuestros silbidos.,Aratimbo oñopytyvõmi ñane turuñe'ẽnguérape.
Esas vagancias no expirarán.,Umi tekoreikuéra noangakýirit.
