las reservas , ñongatupykuéra
la ,la
y ,ha
asegura ,omyatã *
el caballo , caballo
de ,de
batalla ,ñorairõ
de ,de
en esta legislatura ,ko legislatura _pe
será ,oha'et *
a la opinión pública , ñeimo'ã jekuaapyre _me
de los riesgos , kyhyjerãnguéra _gua
de un consumo ,un consumo _gui
y ,ha
de un crecimiento ,un akãrapu'ã _gui
desbocado ,desbocado
ver ,ver
la urgencia , tagẽ
de ,de
el mercado laboral , ñemuha laboral
y ,ha
de ,de
la economía , economía
los peligros , mongyhyjehakuéra
de la inflación , inflación _gui
por su parte ,i_ pehẽngue rupi
titula ,titula
portada ,portada
normaliza las relaciones con el núcleo estable ,normaliza  jokuaakuéra  núcleo estable ndive
de ,de
y ,ha
quieren ,opota *
una nueva ronda ,una ronda pyahu
comercial ,comercial
este año ,ko arajere
gasolineras ,gasolineras
amenazan ,amenazan
cierres ,cierres
parciales ,oĩmba'ỹ
cae ,okukúi *
mayo ,mayo
y ,ha
pierde ,ombyai *
en el año , arajere _pe
propone un mercado único de los fondos ,propone un ñemuha año  ruguakuéra _gui
de ,de
inversión ,inversión
el editorial señala los cambios , editorial omoma'ẽ *  ñembyekoviakuéra
de ,de
la ,la
bolsas ,sapikuakuéra
española ,española
modelos ,modelos
más ,más
europeos ,europeos
y ,ha
considera estos cambios lógicos ,considera ko'ã jevakuéra lógicos
resulta ,resulta
razonable ,razonable
las ,las
europeas ,europeas
sus normas ,i_ tekorãnguéra
de ,de
contratación ,contratación
supondrán ,supondrán
una ventaja para ,una changui omombyta *
gestores ,gestores
inversores ,inversores
y ,ha
operadores ,operadores
señala ,omoma'ẽ *
portada ,portada
gasolineras ,gasolineras
protestan ,ombohovái *
contra ,contra
los monopolios , monopolios
de la distribución , distribución _gua
y ,ha
preparan otra ronda ,osako'i * otra ronda
de ,de
la ,la
comercio ,ñemuha
electrónico ,electrónico
supera ,supera
las previsiones , previsiones
y ,ha
mitiga las pérdidas ,ombovevúi *  jerokañynguéra
y ,ha
cierra ,omboty *
mayo con una caída ,mayo una je'a _ndi
de ,de
en su editorial ,h_# editorial _pe
el diario califica , diario califica
de ,de
halagüeñas ,halagüeñas
las previsiones , previsiones
de el informe , marandu _gui
de ,de
la ,la
el déficit , déficit
puede ,opojái *
este mismo año ,ko arajere ae
de ,de
todo ,todo
un récord ,un récord
la patronal francesa presentó , patronal francesa okuave'ẽkuri *
hoy ,ko'ára
una maratoniana negociación ,una negociación maratoniana
de ,de
horas ,horas
un nuevo texto ,un kuatia pyahu
sobre ,sobre
la ,la
reforma de el seguro ,omyatyrõ *  seguro _gui
de ,de
desempleo ,desempleo
ha ,oĩ *
el interés , kuaase
de ,de
de ,de
las ,las
cinco ,cinco
grandes ,nguasu
centrales ,apytere
sindicales ,sindicales
proyecto ,jejapose
de ,de
protocolo ,protocolo
de ,de
acuerdo ,oñoñe'ẽ
de ,de
puntos ,puntos
los agentes sociales volverán , tahachikuéra jojapy ojevyt *
el próximo lunes , lunes kyta'i
reafirma la relación ,reafirma  jokuaa
la ,la
indemnización ,indemnización
de ,de
desempleo ,desempleo
y ,ha
la ,la
ayuda ,ñepysyrõ
para ,omombyta *
un trabajo ,un mba'apoha
por los sindicatos , sindicatos rupi
pero ,jepéramo
su aplicación sería ,h_# aplicación sería
progresiva ,progresiva
esta puntualización fue ,ko puntualización oha'ekuri *
como ,añemboapyte *
avance ,avance
por los sindicatos , sindicatos rehe
de ,de
de ,de
y ,ha
de ,de
de ,de
embargo ,embargo
la ,la
de ,de
consideró ,consideró
el proyecto , ñeimo'ã
de ,de
empresas ,empresas
francesas ,francesas
supone ,supone
un retroceso social ,un jehekýi jojapy
importante ,importante
no da ,nome'ẽi *
respuesta ,mbohovái
otras cuestiones ,otras cuestiones
a el problema , problema _pe
de los parados , parados _gua
no cobran una indemnización ,no cobran una indemnización
de ,de
el documento propone , kuatia propone
ayuda ,ñepysyrõ
para ,omombyta *
a el empleo , tembiapo _pe
a las personas , avaitekuéra _pe
las ,las
listas de el paro ,listas  pytu'u _gua
de ,de
de ,de
enero ,enero
de ,de
la patronal pretende , patronal orekose *
así el compromiso recíproco de el régimen ,apyhykuri *  poroapytĩ recíproco  régimen _gui
de ,de
indemnización ,indemnización
y ,ha
los demandantes , demandantes
de ,de
empleo ,tembiapo
firma ,teraguapy
da ,ome'ẽ *
derecho ,karẽ'y
subsidio de el paro ,subsidio  pytu'u _gua
y ,ha
a los servicios , pytyvõnguéra _pe
facilitan el regreso a el empleo ,facilitan  regreso  mba'apoha _pe
de esta forma ,ko ysaja _gui
confirma ,omoañete *
para los patronos ,opyta *  patronos
es la firma ,oha'e *  teraguapy
de ,de
lo ,lo
da ,ome'ẽ *
derecho ,yvi
a el cobro , cobro _pe
de ,de
subsidios ,pytyvõnguéra
y ,ha
no ,no
el simple hecho , jehupyre ndahasýi
de ,de
haber ,haber
organismo ,organismo
administra ,administra
el seguro , seguro
de ,de
desempleo ,desempleo
compromete ,oporoapytĩ *
desempleado ,desempleado
búsqueda ,reka
activa ,ha'eve
de ,de
empleo ,tembiapo
a los retos profesionales , py'ara'ãnguéra profesionales _pe
y ,ha
entrevistas ,ñomongetakuéra
bimensuales ,bimensuales
el incumplimiento , incumplimiento
de esos compromisos ,umi poroapytĩnguéra _gua
sería ,sería
reducciones ,ñemomichĩnguéra
en el subsidio , pytyvõ _me
de ,de
desempleo ,desempleo
el carácter obligatorio , reko obligatorio
de ,de
y ,ha
las sanciones , jepykuéra
comporta su incumplimiento ,comporta iñ_ incumplimiento
son ,pu
de los puntos , puntos _gui
más ,más
por los sindicatos , sindicatos rupi
por otra parte ,otra mboja'opy rupi
el texto , kuatia
de ,de
la patronal contempla la creación , patronal oma'ẽ *  creación
de ,de
nuevos ,pyahu
contratos ,contratos
de ,de
trabajo ,tembiapo
a la reinserción laboral , reinserción laboral _pe
de una duración ,una duración _gui
podrá ,opojáit *
de ,de
meses ,jasykuéra
cinco ,cinco
años ,arajerekuéra
y ,ha
la ampliación , ampliación
de ,de
meses ,jasykuéra
de el periodo , periodo _gui
de ,de
referencia ,referencia
exige ,exige
haber ,haber
meses ,jasykuéra
para ,opyta *
poder ,pokatu
el subsidio , pytyvõ
de ,de
desempleo ,desempleo
el menor coste , coste michĩve
de las licencias , sãsokuéra _gua
de ,de
telefonía ,telefonía
móvil ,móvil
sobre otros países ,otros tetãnguéra ári
permitirá ,omboajet *
el mercado , ñemuha
de el móvil , móvil _gua
operadores ,operadores
de ,de
servicios ,pytyvõnguéra
red ,kyha
en otros países europeos ,otros tetãnguéra europeos _pe
dijo ,ho'ytakuri *
hoy ,ko'ára
el presidente , mburuvicha
de ,de
la ,la
de ,de
de ,de
las ,las
intervino ,oñemoingekuri *
hoy ,ko'ára
en unas jornadas ,unas jornadas _pe
sobre ,sobre
radio en el bucle local ,radio  avakua apegua _pe
de ,de
abonado ,abonado
para ,ojoko *
de ,de
la ,la
y ,ha
dijo ,ho'ytakuri *
las ,las
de el modelo , modelo _gua
concesión ,mba'eme'ẽ
de ,de
licencias ,sãsokuéra
español ,español
concurso ,concurso
y ,ha
no ,no
subasta ,subasta
hace ,omba'apo *
pero ,jepéramo
cambio los operadores ,amongovia *  operadores
pueden ,oikatu *
su red ,i_ kyha
más ,más
y ,ha
sus inversiones ,i_ inversiones
añadió ,omoĩvekuri *
esta situación permitirá ,ko situación omoneĩt *
la competencia , competencia
operadores ,operadores
de ,de
servicios ,pytyvõnguéra
móviles ,móviles
la red , kyha
de otras empresas ,otras empresas _gua
de ,de
telecomunicaciones ,telecomunicaciones
licencias ,sãsokuéra
de ,de
móvil ,móvil
el presidente , mburuvicha
de ,de
la ,la
de ,de
de ,de
las ,las
mostró su preocupación por la falta de ,mostró ij_ angata  de falta rehe
competencia ,competencia
todo ,todo
el mundo , yvóra
en la telefonía local , telefonía apegua _pe
como ,ha'u *
consecuencia ,tapykuegua
de ,de
la liberalización , liberalización
de las telecomunicaciones , telecomunicaciones _gua
ha ,oĩ *
hecho ,jehupyre
principios ,ypykuéra
jurídicos ,jurídicos
y ,ha
no ,no
técnicos ,técnicos
y ,ha
hay ,oime *
hay ,oime *
este mercado ,ko ñemuha
como ,ajepy'ajoko *
para ,opyta *
la apertura , jepe'aha
de la red , kyha _gua
de ,de
telefonía ,telefonía
local ,apegua
de ,de
a otros operadores ,otros operadores _pe
no es la solución total ,noha'ei *  ry oĩmbáva
podría ,podría
la empresa dominante , empresa dominante
de ,de
en la red , kyha _pe
no ,no
como una inversión atractiva ,ajepy'ajoko * una inversión juky
y ,ha
debe ,debe
estas inversiones ,ã inversiones
explicó ,omohesakãkuri *
la puesta , ñemoĩ
marcha de las licencias ,marcha  sãsokuéra _gua
de ,de
telefonía ,telefonía
local ,apegua
vía ,guataha
radio ,radio
va ,oho *
la competencia , competencia
los ,los
operadores ,operadores
han ,oĩ *
ganado ,tymba
los concursos , concursos
explicó ,omosakãkuri *
a un grupo ,un aty _pe
de ,de
periodistas ,periodistas
la competencia , competencia
en la telefonía local , telefonía apegua _pe
vía ,tape
radio ,radio
permite ,omoneĩ *
telefonía ,telefonía
fija hasta el domicilio ,omboja *  domicilio meve
de los clientes , clientes _gui
tecnologías ,tecnologías
móviles ,móviles
puede ,opojái *
por la llegada , ñeguahẽ rupi
de ,de
nuevas ,pyahu
tecnologías ,tecnologías
y ,ha
la evolución , evolución
de ,de
permitirá ,omboajet *
los ,los
operadores ,operadores
tienen estas licencias ,oreko * ko'ã sãsokuéra
telefonía ,telefonía
local ,apegua
vía ,guataha
radio ,radio
el presidente , mburuvicha
de el órgano regulador , órgano regulador _gui
de ,de
las ,las
mostró ,mostró
partidario ,partidario
de ,de
esta liberalización ,ko liberalización
de las telecomunicaciones , telecomunicaciones _gui
con otras medidas ,otras ta'ãhakuéra _ndi
la competencia , competencia
como ,añemboapyte *
puede ,okatu *
ser ,ser
el acceso , acceso
a la información , momarandu _pe
de los clientes , clientes _gua
de ,de
a otros operadores ,otros operadores _pe
sobre la oferta , ñekuave'ẽ ári
de ,de
interconexión ,interconexión
de otros operadores ,otros operadores _gui
acaba ,opa *
de ,de
la ,la
dijo ,ho'ytakuri *
para ,ojoko *
han ,oime *
a los operadores actuales , operadores ko'ãgagua _pe
y ,ha
pronto ,pojava
darán ,ombojárat *
servicios ,pytyvõnguéra
y ,ha
tantos intereses ,tantos kuaasekuéra
es ,oha'e *
imposible ,katu'ỹva
todos ,todos
afirmó ,afirmó
sigue el criterio europeo ,omuña *  criterio europeo
y ,ha
trata ,trata
de ,de
el mercado , ñemuha
no ,no
lo ,lo
hay ,oĩ *
la inversión , inversión
investigación ,investigación
básica ,básica
es el camino para el crecimiento ,oha'e *  tape  ñembotuicha g̃uarã
y ,ha
la prosperidad económica , po'a económica
afirmaron ,afirmaron
hoy ,ko'ára
empresarios ,empresarios
el embajador , embajador
de ,de
y ,ha
el director , sãmbyhyha
de ,de
investigación ,investigación
de ,de
la ,la
de ,de
abogaron ,abogaron
la ,la
cultura ,arandu
científica ,científica
de los ciudadanos , tetaguãnguéra _gui
y ,ha
la ,la
cultura ,arandu
de la innovación , innovación _gua
de los empresarios , empresarios _gua
la presentación , presentación
de el libro , kuatia _gua
prosperidad ,po'a
medio de la investigación ,medio  investigación _gui
investigación ,investigación
básica ,básica
la ,la
de ,de
el secretario general , pytyvõha pavẽ
de ,de
la ,la
de ,de
abogó por la formación ,abogó  tesape'a rehe
de los investigadores , investigadores _gui
temas ,ñe'ẽmbyrãnguéra
de ,de
innovación ,innovación
tecnológica ,tecnológica
la inversión media , inversión mbytere
investigación ,investigación
la ,la
sitúa ,omohenda *
ciento ,ciento
de ,de
frente ,renonde
ciento ,ciento
y ,ha
dijo ,ho'ytakuri *
está ,oiko *
el buen camino , tape katupyry
y ,ha
está ,oĩ *
un entorno propicio para la innovación empresarial ,un jere propicio opyta *  innovación empresarial
en este sentido ,ko andu _pe
refirió a la reciente creación ,okuaaukakuri *  creación angetegua _pe
de ,de
de ,de
y ,ha
y ,ha
a las primeras declaraciones , ñemombe'ukuéra primeras _pe
de su titular ,h_# titular _gua
sobre ,sobre
impulso de la investigación ,amomymýi *  investigación _gui
desarrollo ,jekakuaa
e ,ha
innovación ,innovación
el representante , mbuekovia
de los empresarios madrileños , empresarios madrileños _gui
aseguró ,omyatãkuri *
el siglo , siglo
será el siglo de la ciencia ,oha'et *  siglo  emba'ekuaa _gui
y ,ha
la tecnología , tecnología
y ,ha
ofreció el apoyo ,oropojáikuri *  pytyvõ
activo ,kyre'ỹ
de ,de
la ,la
en la consecución , consecución _pe
de los retos , ja'okuéra _gua
en esta materia ,ko mba'e _pe
el embajador estadounidense , embajador estadounidense
aseguró ,omyatãkuri *
la inversión , inversión
investigación ,investigación
básica ,básica
contribuye a la prosperidad económica ,contribuye  ñemotenonde económica _pe
y ,ha
destacó la colaboración ,destacó  ñepytyvõ
y ,ha
en este campo ,ko ñu _me
en diversos acuerdos ,diversos ñe'ẽjoajukuéra _pe
el libro , kuatia
hoy ,ko'ára
recoge ,opo'o *
de ,de
forma ,ta'anga
un informe ,un marandu
de ,de
de ,de
de ,de
destaca la importancia de la investigación básica ,destaca  importancia  investigación básica _gui
universitaria ,universitaria
americana ,americana
y ,ha
propone ,propone
la enseñanza para , mbo'e opyta *
la provisión futura , jegueru upeigua
de ,de
científicos ,científicos
sobresalientes ,sobresalientes
defiende la financiación pública de la investigación básica ,opytyvõ *  financiación jekuaapyre  investigación básica _gua
y ,ha
pone ,omoĩ *
de ,de
manifiesto ,manifiesto
las empresas , empresas
centran ,omombyte *
más ,más
la ,la
objetivos ,objetivos
de ,de
mercado ,ñemuha
este documento ,ko kuatia
ha ,oĩ *
como ,ajepy'ajoko *
referencia ,referencia
la ,la
de ,de
hace ,omba'apo *
hincapié ,hincapié
los retornos económicos , retornos económicos
de las inversiones , inversiones _gui
investigación ,investigación
básica ,básica
son ,pu
y ,ha
el conocimiento básico tiende , emba'ekuaa básico omosaingo *
ser ,ser
innovaciones ,innovaciones
producen ,omoheñói *
sustanciales ,sustanciales
beneficios ,beneficios
un largo periodo ,un periodo puku
para el director general ,opyta *  ruvicha pavẽ
de ,de
de ,de
la ,la
es ,oha'e *
necesario ,kotevẽpyre
fondo ,hugua
la investigación , investigación
de ,de
calidad ,calidad
e ,ha
con diferentes medidas ,diferentes ta'ãhakuéra _ndi
la colaboración , ñepytyvõ
los científicos , científicos
y ,ha
técnicos ,técnicos
y ,ha
el sector productivo , pehẽngue productivo
el portavoz , portavoz
de ,de
dijo ,ho'ytakuri *
hoy ,ko'ára
los agentes sociales deben , tahachikuéra jojapy deben
mentalidad ,mentalidad
y ,ha
planteamientos ,ñemoĩnguéra
la ,la
cita de esta tarde ,cita ko tarde _gui
con el presidente , mburuvicha ndive
de ,de
fundamentó tales premisas ,fundamentó tales premisas
trata ,trata
de ,de
los intereses generales , kuaasekuéra pavẽ
de los españoles , karaiñe'ẽnguéra _gui
cuenta ,cuenta
es el país ,oha'e *  tetã
de ,de
la ,la
más ,más
empleo ,mba'apo
ha ,oĩ *
y ,ha
registra ,ojepovyvy *
mayor ,kakuaave
crecimiento ,akãrapu'ã
económico ,económico
en su opinión ,i_ ñeimo'ã _me
es un hecho ,oha'e * un jehupyre
de ,de
gran ,gran
relevancia ,relevancia
la reunión , ko'i
celebrará ,orohoryt *
con el dirigente , myenondehára ndive
de la patronal , patronal _gua
y ,ha
los ,los
de ,de
y ,ha
añadió ,ombojo'akuri *
el interés , kuaase
de ,de
con los máximos representantes , máximos representantes ndive
empresariales ,empresariales
y ,ha
sindicales ,sindicales
es una muestra de su talante ,oha'e * una tembiecharã h_# talante _gua
de ,de
proceso de el diálogo social ,proceso  ñomongeta jojapy _gua
eje ,eje
básico ,básico
de la política de , de política _gua
y ,ha
buenos ,porã
resultados ,tembiapokuekuéra
ha ,oĩ *
para el empleo ,ojoko *  tembiapo
y ,ha
la ,la
destacó ,destacó
la reforma laboral , ñemyatyrõ laboral
de ,de
fruto ,‘a
de los acuerdos , oñoñe'ẽnguéra _gui
con los agentes sociales , tahachikuéra jojapy ndive
tuvo ,orekokuri *
efectos ,ra'ykuekuéra
extraordinarios ,tapiagua'ỹ
sobre el empleo , mba'apo ári
y ,ha
sirvió ,omoangapyhykuri *
para ,omombyta *
el crecimiento , akãrapu'ã
desbocado ,desbocado
de la inestabilidad laboral , inestabilidad laboral _gui
produjo ,omoheñóikuri *
de ,de
de ,de
con los contratos , contratos ndive
basura ,yty
el portavoz , portavoz
de ,de
señaló ,omoma'ẽkuri *
dicha ,py'arory
reforma ,ñemyatyrõ
introdujo el sistema ,oñoñakuri *  sistema
de ,de
ayudas a la contratación indefinida ,pepytyvõ *  contratación kuaa'ỹva _pe
así ,ajapyhykuri *
como la remodelación de el contrato estable ,añemboapyte *  remodelación  contrato estable _gui
tiempo ,ára
parcial ,pehẽnguéva
han ,oĩ *
las relaciones laborales , jokuaakuéra laborales
juicio ,apytu'ũ
de ,de
es ,oha'e *
necesario ,kotevẽpyre
en la reforma laboral , ñemyatyrõ laboral _me
fin ,hupytypyrã
de ,de
más ,más
empleo ,mba'apoha
la tasa , tasa
de ,de
temporalidad ,temporalidad
y ,ha
la siniestralidad , siniestralidad
en el trabajo , tembiapo _pe
uno ,ambojoaju *
de ,de
los ,los
bancos ,guapyhakuéra
más ,más
grandes ,erádo
de ,de
la ,la
anunció ,okuaaukakuri *
hoy ,ko'ára
despedirá ,despedirá
empleados ,tembiguáikuéra
más ,más
de ,de
finales ,paha
de el año , arajere _gui
de el proceso , proceso _gua
de ,de
saneamiento ,ñemohesãi
de la entidad estatal , entidad estatal _gui
el director , ruvicha
de el banco , apyka _gui
señaló ,omoma'ẽkuri *
el motivo principal es la reestructuración de el banco , apoukaha pu'akave oha'e *  reestructuración  guapyha _gua
y ,ha
no ,no
la reducción , ñemomichĩ
de los costes , costes _gua
dispone ,omoĩ *
de ,de
ciento ,ciento
de las acciones , tembiapokuéra _gua
de ,de
y ,ha
checo ,checo
quiere ,opota *
el proceso , proceso
de ,de
privatización ,privatización
de este banco ,ko apyka _gui
en este año ,ko arajere _pe
y ,ha
septiembre ,septiembre
de ,de
de los objetivos , jejaposekuéra _gua
es ,oha'e *
los errores , mba'eavykuéra
