esos vinos comprometían,umi kaguykuéra nporoapytĩri
la socia baja nuestros vocabularios,irũ ndguejyi ñane ñe'ẽndykuéra
la socia baja nuestros vocabularios,irũ ndguejyi ore ñe'ẽndykuéra
la socia baja nuestros vocabularios,irũ ndguyi ñane ñe'ẽndykuéra
la socia baja nuestros vocabularios,irũ ndguyi ore ñe'ẽndykuéra
la socia baja nuestros vocabularios,irũ nmboguejyi ñane ñe'ẽndykuéra
la socia baja nuestros vocabularios,irũ nmboguejyi ore ñe'ẽndykuéra
la socia baja nuestros vocabularios,irũ ndrojyi ñane ñe'ẽndykuéra
la socia baja nuestros vocabularios,irũ ndrojyi ore ñe'ẽndykuéra
nuestra provincia obrará,ñande teta'i ndkakai
nuestra provincia obrará,ñande teta'i nmba'apoi
nuestra provincia obrará,ore teta'i ndkakai
nuestra provincia obrará,ore teta'i nmba'apoi
los viejos estrenaban,lekajakuéra nmoñepyrũi
los viejos estrenaban,lepijukuéra nmoñepyrũi
las tiendas parten,ñemuhakuéra ndhoi
las tiendas parten,ñemuhakuéra ndjehekýiri
las tiendas parten,ñemuhakuéra nmboja'oi
las tiendas parten,ñemuhakuéra nmbosa'iri
las tiendas parten,ñemuhakuéra nmbovoi
las tiendas parten,ñemuhakuéra nmbo'iri
las tiendas parten,ñemuhakuéra npehẽ'ãi
las tiendas parten,ñemuhakuéra npesẽ'ãi
las percepciónes abren,ñeñandukuéra nmboty'oi
las percepciónes abren,ñeñandukuéra ndpevui
las percepciónes abren,ñeñandukuéra ndpe'ai
aquellas humedades no rompen aquel edificio,umi te'õnguéra ndjokai amo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra ndjokai aipo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra ndjokai ako óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmbo'iri amo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmbo'iri aipo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmbo'iri ako óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmondohoi amo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmondohoi aipo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmondohoi ako óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmondoroi amo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmondoroi aipo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmondoroi ako óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmondosoi amo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmondosoi aipo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmondosoi ako óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmondyryi amo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmondyryi aipo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmondyryi ako óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmongu'iri amo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmongu'iri aipo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmongu'iri ako óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmopẽi amo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmopẽi aipo óga
aquellas humedades no rompen aquel edificio,umi te'õnguéra nmopẽi ako óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra ndjokai amo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra ndjokai aipo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra ndjokai ako óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmbo'iri amo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmbo'iri aipo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmbo'iri ako óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmondohoi amo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmondohoi aipo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmondohoi ako óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmondoroi amo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmondoroi aipo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmondoroi ako óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmondosoi amo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmondosoi aipo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmondosoi ako óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmondyryi amo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmondyryi aipo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmondyryi ako óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmongu'iri amo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmongu'iri aipo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmongu'iri ako óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmopẽi amo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmopẽi aipo óga
aquellas humedades no rompen aquel edificio,umi tykuekuéra nmopẽi ako óga
aquellos báculos no conversaron a este ganso,umi pokokakuéra nmongetai ko guarimbeme
aquellos báculos no conversaron a este ganso,umi pokokakuéra nñemongetai ko guarimbeme
aquellos báculos no conversaron a este ganso,umi pokokakuéra nñomongetai ko guarimbeme
el igual no desafiará esos trozos,jave nmoñarõi umi pehẽnguéra
el igual no desafiará esos trozos,jave nmoñarõi umi pehẽnguekuéra
el igual no desafiará esos trozos,jave nmoñarõi umi vorekuéra
el igual no desafiará esos trozos,jave ndporohekai umi pehẽnguéra
el igual no desafiará esos trozos,jave ndporohekai umi pehẽnguekuéra
el igual no desafiará esos trozos,jave ndporohekai umi vorekuéra
el igual no desafiará esos trozos,jave nñe'ẽreityi umi pehẽnguéra
el igual no desafiará esos trozos,jave nñe'ẽreityi umi pehẽnguekuéra
el igual no desafiará esos trozos,jave nñe'ẽreityi umi vorekuéra
el igual no desafiará esos trozos,javegua nmoñarõi umi pehẽnguéra
el igual no desafiará esos trozos,javegua nmoñarõi umi pehẽnguekuéra
el igual no desafiará esos trozos,javegua nmoñarõi umi vorekuéra
el igual no desafiará esos trozos,javegua ndporohekai umi pehẽnguéra
el igual no desafiará esos trozos,javegua ndporohekai umi pehẽnguekuéra
el igual no desafiará esos trozos,javegua ndporohekai umi vorekuéra
el igual no desafiará esos trozos,javegua nñe'ẽreityi umi pehẽnguéra
el igual no desafiará esos trozos,javegua nñe'ẽreityi umi pehẽnguekuéra
el igual no desafiará esos trozos,javegua nñe'ẽreityi umi vorekuéra
el igual no desafiará esos trozos,javeve nmoñarõi umi pehẽnguéra
el igual no desafiará esos trozos,javeve nmoñarõi umi pehẽnguekuéra
el igual no desafiará esos trozos,javeve nmoñarõi umi vorekuéra
el igual no desafiará esos trozos,javeve ndporohekai umi pehẽnguéra
el igual no desafiará esos trozos,javeve ndporohekai umi pehẽnguekuéra
el igual no desafiará esos trozos,javeve ndporohekai umi vorekuéra
el igual no desafiará esos trozos,javeve nñe'ẽreityi umi pehẽnguéra
el igual no desafiará esos trozos,javeve nñe'ẽreityi umi pehẽnguekuéra
el igual no desafiará esos trozos,javeve nñe'ẽreityi umi vorekuéra
el igual no desafiará esos trozos,joguaha nmoñarõi umi pehẽnguéra
el igual no desafiará esos trozos,joguaha nmoñarõi umi pehẽnguekuéra
el igual no desafiará esos trozos,joguaha nmoñarõi umi vorekuéra
el igual no desafiará esos trozos,joguaha ndporohekai umi pehẽnguéra
el igual no desafiará esos trozos,joguaha ndporohekai umi pehẽnguekuéra
el igual no desafiará esos trozos,joguaha ndporohekai umi vorekuéra
el igual no desafiará esos trozos,joguaha nñe'ẽreityi umi pehẽnguéra
el igual no desafiará esos trozos,joguaha nñe'ẽreityi umi pehẽnguekuéra
el igual no desafiará esos trozos,joguaha nñe'ẽreityi umi vorekuéra
estas protectoras retomarán aquel maestro,ã mo'ãhakuéra ndrojevyi amo moaranduhára
estas protectoras retomarán aquel maestro,ã mo'ãhakuéra ndrojevyi aipo moaranduhára
estas protectoras retomarán aquel maestro,ã mo'ãhakuéra ndrojevyi ako moaranduhára
estas protectoras retomarán aquel maestro,ko'ã mo'ãhakuéra ndrojevyi amo moaranduhára
estas protectoras retomarán aquel maestro,ko'ã mo'ãhakuéra ndrojevyi aipo moaranduhára
estas protectoras retomarán aquel maestro,ko'ã mo'ãhakuéra ndrojevyi ako moaranduhára
los servidores no gozaron,pytyvõhakuéra ndroryi
los servidores no gozaron,pytyvõhakuéra ndvy'ai
los servidores no gozaron,pytyvõhárakuéra ndroryi
los servidores no gozaron,pytyvõhárakuéra ndvy'ai
los servidores no gozaron,tembiguáikuéra ndroryi
los servidores no gozaron,tembiguáikuéra ndvy'ai
los servidores no gozaron,tembijokuáikuéra ndroryi
los servidores no gozaron,tembijokuáikuéra ndvy'ai
esas entrevistas sumaron hasta ese ingreso,umi ñomongetakuéra ndpapai ku jeike peve
esas entrevistas sumaron hasta ese ingreso,umi ñomongetakuéra ndpapai upe jeike peve
esas entrevistas sumaron hasta ese ingreso,umi ñomongetakuéra ndpapai pe jeike peve
esas entrevistas sumaron hasta ese ingreso,umi juechakuéra ndpapai ku jeike peve
esas entrevistas sumaron hasta ese ingreso,umi juechakuéra ndpapai upe jeike peve
esas entrevistas sumaron hasta ese ingreso,umi juechakuéra ndpapai pe jeike peve
esas sanciones no quebrarán,umi ñembohepykuéra ndjokai
esas sanciones no quebrarán,umi ñembohepykuéra nmopẽi
esas sanciones no quebrarán,umi ñembohepykuéra ndsoitei
esas sanciones no quebrarán,umi ñembyepotikuéra ndjokai
esas sanciones no quebrarán,umi ñembyepotikuéra nmopẽi
esas sanciones no quebrarán,umi ñembyepotikuéra ndsoitei
esas sanciones no quebrarán,umi jepykuéra ndjokai
esas sanciones no quebrarán,umi jepykuéra nmopẽi
esas sanciones no quebrarán,umi jepykuéra ndsoitei
el jaguar no elimina nuestro esqueleto,jaguapara nmosẽi ñane kanguekue
el jaguar no elimina nuestro esqueleto,jaguapara nmosẽi ore kanguekue
el jaguar no elimina nuestro esqueleto,jaguapara ndpe'ai ñane kanguekue
el jaguar no elimina nuestro esqueleto,jaguapara ndpe'ai ore kanguekue
el jaguar no elimina nuestro esqueleto,jaguarete nmosẽi ñane kanguekue
el jaguar no elimina nuestro esqueleto,jaguarete nmosẽi ore kanguekue
el jaguar no elimina nuestro esqueleto,jaguarete ndpe'ai ñane kanguekue
el jaguar no elimina nuestro esqueleto,jaguarete ndpe'ai ore kanguekue
aquellas lenguas regresaban,umi kũnguéra ndjerei
aquellas lenguas regresaban,umi kũnguéra ndjevyi
aquellos paseos diferenciaron vuestra labor,umi guatakuéra nmbojoavyi pene tembiapo
aquellos paseos diferenciaron vuestra labor,umi guatakuéra nmoingoei pene tembiapo
aquellos paseos diferenciaron vuestra labor,umi guatahakuéra nmbojoavyi pene tembiapo
aquellos paseos diferenciaron vuestra labor,umi guatahakuéra nmoingoei pene tembiapo
aquellos paseos diferenciaron vuestra labor,umi jeguatakuéra nmbojoavyi pene tembiapo
aquellos paseos diferenciaron vuestra labor,umi jeguatakuéra nmoingoei pene tembiapo
la ornamentación sangraba este puente,moporãha nmbohuguyi ko vovo
la ornamentación sangraba este puente,moporãha nmbohuguyi ko yvyvovo
nuestra añoranza no duerme,ñande techaga'u ndkei
nuestra añoranza no duerme,ñande techase ndkei
nuestra añoranza no duerme,ñane anga'u ndkei
nuestra añoranza no duerme,ñane ãho ndkei
nuestra añoranza no duerme,ore anga'u ndkei
nuestra añoranza no duerme,ore ãho ndkei
nuestra añoranza no duerme,ore techaga'u ndkei
nuestra añoranza no duerme,ore techase ndkei
aquellos proyectos no embestirán esta posición,umi ñeimo'ãnguéra nndyryi ko ñemoĩ
aquellos proyectos no embestirán esta posición,umi ñeimo'ãnguéra nndyryi ko ñeĩha
aquellos proyectos no embestirán esta posición,umi ñeimo'ãnguéra ndtakyi ko ñemoĩ
aquellos proyectos no embestirán esta posición,umi ñeimo'ãnguéra ndtakyi ko ñeĩha
aquellos proyectos no embestirán esta posición,umi jejaposekuéra nndyryi ko ñemoĩ
aquellos proyectos no embestirán esta posición,umi jejaposekuéra nndyryi ko ñeĩha
aquellos proyectos no embestirán esta posición,umi jejaposekuéra ndtakyi ko ñemoĩ
aquellos proyectos no embestirán esta posición,umi jejaposekuéra ndtakyi ko ñeĩha
vuestra misión destapa ese banco,pene tembiaporã ndhoja'oi ku apyka
vuestra misión destapa ese banco,pene tembiaporã ndhoja'oi ku guapyha
vuestra misión destapa ese banco,pene tembiaporã ndhoja'oi upe apyka
vuestra misión destapa ese banco,pene tembiaporã ndhoja'oi upe guapyha
vuestra misión destapa ese banco,pene tembiaporã ndhoja'oi pe apyka
vuestra misión destapa ese banco,pene tembiaporã ndhoja'oi pe guapyha
vuestra misión destapa ese banco,pene tembiaporã ndjaho'i'oi ku apyka
vuestra misión destapa ese banco,pene tembiaporã ndjaho'i'oi ku guapyha
vuestra misión destapa ese banco,pene tembiaporã ndjaho'i'oi upe apyka
vuestra misión destapa ese banco,pene tembiaporã ndjaho'i'oi upe guapyha
vuestra misión destapa ese banco,pene tembiaporã ndjaho'i'oi pe apyka
vuestra misión destapa ese banco,pene tembiaporã ndjaho'i'oi pe guapyha
vuestra misión destapa ese banco,pene tembiaporã ndjuru'oi ku apyka
vuestra misión destapa ese banco,pene tembiaporã ndjuru'oi ku guapyha
vuestra misión destapa ese banco,pene tembiaporã ndjuru'oi upe apyka
vuestra misión destapa ese banco,pene tembiaporã ndjuru'oi upe guapyha
vuestra misión destapa ese banco,pene tembiaporã ndjuru'oi pe apyka
vuestra misión destapa ese banco,pene tembiaporã ndjuru'oi pe guapyha
vuestra misión destapa ese banco,pene tembiaporã ndpe'ai ku apyka
vuestra misión destapa ese banco,pene tembiaporã ndpe'ai ku guapyha
vuestra misión destapa ese banco,pene tembiaporã ndpe'ai upe apyka
vuestra misión destapa ese banco,pene tembiaporã ndpe'ai upe guapyha
vuestra misión destapa ese banco,pene tembiaporã ndpe'ai pe apyka
vuestra misión destapa ese banco,pene tembiaporã ndpe'ai pe guapyha
vuestra misión destapa ese banco,pene tembiaporã nñuã'oi ku apyka
vuestra misión destapa ese banco,pene tembiaporã nñuã'oi ku guapyha
vuestra misión destapa ese banco,pene tembiaporã nñuã'oi upe apyka
vuestra misión destapa ese banco,pene tembiaporã nñuã'oi upe guapyha
vuestra misión destapa ese banco,pene tembiaporã nñuã'oi pe apyka
vuestra misión destapa ese banco,pene tembiaporã nñuã'oi pe guapyha
aquellas habilidades no reflejan los matorrales,umi japokuaakuéra ndjajáiri ñanandykuéra
aquellas habilidades no reflejan los matorrales,umi japokuaakuéra ndjajáiri javoráikuéra
aquellas habilidades no reflejan los matorrales,umi karakatukuéra ndjajáiri ñanandykuéra
aquellas habilidades no reflejan los matorrales,umi karakatukuéra ndjajáiri javoráikuéra
aquellas habilidades no reflejan los matorrales,umi katupyrykuéra ndjajáiri ñanandykuéra
aquellas habilidades no reflejan los matorrales,umi katupyrykuéra ndjajáiri javoráikuéra
estas miradas no obraban,ã ma'ẽnguéra ndkakai
estas miradas no obraban,ã ma'ẽnguéra nmba'apoi
estas miradas no obraban,ã ñema'ẽnguéra ndkakai
estas miradas no obraban,ã ñema'ẽnguéra nmba'apoi
estas miradas no obraban,ko'ã ma'ẽnguéra ndkakai
estas miradas no obraban,ko'ã ma'ẽnguéra nmba'apoi
estas miradas no obraban,ko'ã ñema'ẽnguéra ndkakai
estas miradas no obraban,ko'ã ñema'ẽnguéra nmba'apoi
vuestras familias no obedecieron,pende ogaguakuéra nmboajei
vuestras familias no obedecieron,pende ogaguakuéra nñe'ẽrendui
vuestras familias no obedecieron,pende ogapeguakuéra nmboajei
vuestras familias no obedecieron,pende ogapeguakuéra nñe'ẽrendui
vuestras familias no obedecieron,pende ogapypeguakuéra nmboajei
vuestras familias no obedecieron,pende ogapypeguakuéra nñe'ẽrendui
vuestras familias no obedecieron,pene ñemoñangakuéra nmboajei
vuestras familias no obedecieron,pene ñemoñangakuéra nñe'ẽrendui
nuestros voceríos cederán,ñande sapukaijoakuéra nme'ẽi
nuestros voceríos cederán,ore sapukaijoakuéra nme'ẽi
esos edificios no pierden la ofensa,umi ógakuéra nmbyairi ko'õ
esos edificios no pierden la ofensa,umi ógakuéra nmbyairi ñeko'õi
esos edificios no pierden la ofensa,umi ógakuéra nmbyairi ñemyrõ
esos edificios no pierden la ofensa,umi ógakuéra nmbyairi ja'o
esos edificios no pierden la ofensa,umi ógakuéra nmbyairi jahéi
esos edificios no pierden la ofensa,umi ógakuéra nmokañyi ko'õ
esos edificios no pierden la ofensa,umi ógakuéra nmokañyi ñeko'õi
esos edificios no pierden la ofensa,umi ógakuéra nmokañyi ñemyrõ
esos edificios no pierden la ofensa,umi ógakuéra nmokañyi ja'o
esos edificios no pierden la ofensa,umi ógakuéra nmokañyi jahéi
esos edificios no pierden la ofensa,umi ógakuéra nrokañyi ko'õ
esos edificios no pierden la ofensa,umi ógakuéra nrokañyi ñeko'õi
esos edificios no pierden la ofensa,umi ógakuéra nrokañyi ñemyrõ
esos edificios no pierden la ofensa,umi ógakuéra nrokañyi ja'o
esos edificios no pierden la ofensa,umi ógakuéra nrokañyi jahéi
estos navíos no transformarán esta sangre,ã ygaratakuéra nmbovai ko tuguy
estos navíos no transformarán esta sangre,ã ygaratakuéra nmyengoviai ko tuguy
estos navíos no transformarán esta sangre,ko'ã ygaratakuéra nmbovai ko tuguy
estos navíos no transformarán esta sangre,ko'ã ygaratakuéra nmyengoviai ko tuguy
vuestras hormigas prepararán,pende tahýikuéra nmbosako'iri
vuestras hormigas prepararán,pende tahýikuéra ndsako'iri
vuestro descubridor no confiará,pende juhuha ndjeroviai
vuestro descubridor no confiará,pende juhuha ndroviai
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi mba'e'upykuéra nme'ẽi ñande ajúrakuéra ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi mba'e'upykuéra nme'ẽi ñande ajúrakuéra ko'ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi mba'e'upykuéra nme'ẽi ore ajúrakuéra ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi mba'e'upykuéra nme'ẽi ore ajúrakuéra ko'ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi rembi'ukuéra nme'ẽi ñande ajúrakuéra ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi rembi'ukuéra nme'ẽi ñande ajúrakuéra ko'ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi rembi'ukuéra nme'ẽi ore ajúrakuéra ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi rembi'ukuéra nme'ẽi ore ajúrakuéra ko'ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi tembi'ukuéra nme'ẽi ñande ajúrakuéra ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi tembi'ukuéra nme'ẽi ñande ajúrakuéra ko'ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi tembi'ukuéra nme'ẽi ore ajúrakuéra ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi tembi'ukuéra nme'ẽi ore ajúrakuéra ko'ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi upyrãnguéra nme'ẽi ñande ajúrakuéra ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi upyrãnguéra nme'ẽi ñande ajúrakuéra ko'ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi upyrãnguéra nme'ẽi ore ajúrakuéra ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi upyrãnguéra nme'ẽi ore ajúrakuéra ko'ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi hi'upykuéra nme'ẽi ñande ajúrakuéra ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi hi'upykuéra nme'ẽi ñande ajúrakuéra ko'ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi hi'upykuéra nme'ẽi ore ajúrakuéra ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi hi'upykuéra nme'ẽi ore ajúrakuéra ko'ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi karukuéra nme'ẽi ñande ajúrakuéra ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi karukuéra nme'ẽi ñande ajúrakuéra ko'ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi karukuéra nme'ẽi ore ajúrakuéra ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi karukuéra nme'ẽi ore ajúrakuéra ko'ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi upykuéra nme'ẽi ñande ajúrakuéra ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi upykuéra nme'ẽi ñande ajúrakuéra ko'ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi upykuéra nme'ẽi ore ajúrakuéra ã myatyrõnguérame
aquellas comidas no proveen nuestros cuellos a estos arreglos,umi upykuéra nme'ẽi ore ajúrakuéra ko'ã myatyrõnguérame
aquellos vinos no prosperan,umi kaguykuéra npu'ãi
aquellos vinos no prosperan,umi kaguykuéra ndyvytui
aquellos vinos no prosperan,umi kaguykuéra nñakãrapu'ãi
nuestra brasa no triunfa,ñane tatapỹi ndpu'akavei
nuestra brasa no triunfa,ñane tatapỹi npyrũi
nuestra brasa no triunfa,ñane tatapỹi ndyvytui
nuestra brasa no triunfa,ore tatapỹi ndpu'akavei
nuestra brasa no triunfa,ore tatapỹi npyrũi
nuestra brasa no triunfa,ore tatapỹi ndyvytui
vuestra imaginación no establecerá,pene temimo'ã nmohendai
nuestra salida no enseña aquella modestia,ñane sẽ ndkuaaukai amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ ndkuaaukai amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ ndkuaaukai aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ ndkuaaukai aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ ndkuaaukai ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ ndkuaaukai ako jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ nmbo'ei amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ nmbo'ei amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ nmbo'ei aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ nmbo'ei aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ nmbo'ei ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ nmbo'ei ako jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ nmoarandui amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ nmoarandui amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ nmoarandui aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ nmoarandui aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ nmoarandui ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ nmoarandui ako jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ ndtavy'oi amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ ndtavy'oi amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ ndtavy'oi aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ ndtavy'oi aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ ndtavy'oi ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane sẽ ndtavy'oi ako jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ ndkuaaukai amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ ndkuaaukai amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ ndkuaaukai aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ ndkuaaukai aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ ndkuaaukai ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ ndkuaaukai ako jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ nmbo'ei amo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ nmbo'ei amo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ nmbo'ei aipo jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ nmbo'ei aipo jerovu'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ nmbo'ei ako jejapo'ỹ
nuestra salida no enseña aquella modestia,ñane ñesẽ nmbo'ei ako jerovu'ỹ
