"type_searchedVerb","type_selection3"
"inventar","1. tr. Hallar o descubrir algo nuevo o no conocido."
"invertir","1. tr. Cambiar, sustituyéndolos por sus contrarios, la posición, el orden o el sentido de las cosas. U. t. en sent. fig. Invertir una tendencia."
"investigar","1. tr. Indagar para descubrir algo. Investigar un hecho."
"invitar","1. tr. Llamar a alguien para un convite o para asistir a algún acto."
"inyectar","1. tr. Introducir a presión un gas, un líquido o una masa fluida en el interior de un cuerpo o de una cavidad."
"ir","1. intr. Moverse de un lugar hacia otro apartado de la persona que habla. U. t. c. prnl."
"irrigar","1. tr. Agr. Aplicar el riego a un terreno."
"irritar","1. tr. Hacer sentir ira. U. t. c. prnl."
"irrumpir","1. intr. Entrar violentamente en un lugar."
"jadear","1. intr. Respirar anhelosamente por efecto de algún trabajo o ejercicio impetuoso."
"jalonar","1. tr. Establecer jalones. U. t. en sent. fig."
"jugar","1. intr. Hacer algo con alegría con el fin de entretenerse, divertirse o desarrollar determinadas capacidades."
"juguetear","1. intr. Jugar con algo para entretenerse o pasar el tiempo. Jugueteaba con el llavero."
"juntar","1. tr. Unir unas cosas con otras. U. t. c. prnl."
"jurar","1. tr. Afirmar o negar algo, poniendo por testigo a Dios, o en sí mismo o en sus criaturas."
"justipreciar","1. tr. Apreciar o tasar algo."
"labrar","1. tr. Trabajar una materia reduciéndola al estado o forma conveniente para usarla. Labrar la madera. Labrar plata."
"lacerar","1. tr. Lastimar, golpear, magullar, herir. U. t. c. prnl."
"lactar","1. tr. Dar de mamar."
"ladear","1. tr. Inclinar y torcer algo hacia un lado. U. t. c. intr. y c. prnl."
"ladrar","1. intr. Dicho de un perro: Dar ladridos."
"lamentar","1. tr. Sentir algo con llanto, sollozos u otras demostraciones de dolor. U. t. c. prnl. Era u. t. c. intr."
"lamer","1. tr. Pasar la lengua por la superficie de algo. U. t. c. prnl."
"lanzar","1. tr. arrojar. U. t. c. prnl."
"lapidar","1. tr. apedrear (‖ matar a pedradas)."
"largar","1. tr. Soltar, dejar libre, especialmente lo que es molesto, nocivo o peligroso."
"lastimar","1. tr. Herir o hacer daño. U. t. c. prnl."
"latir","1. intr. Dicho de un perro: Dar latidos."
"lavar","1. tr. Limpiar algo con agua u otro líquido. U. t. c. prnl."
"leer","1. tr. Pasar la vista por lo escrito o impreso comprendiendo la significación de los caracteres empleados."
"levantar","1. tr. Mover hacia arriba algo. U. t. c. prnl."
"liar","1. tr. Atar y asegurar los fardos y cargas con lías."
"libar","1. tr. Dicho especialmente de las abejas: Sorber suavemente el jugo de las flores. U. t. c. intr."
"liberar","1. tr. Hacer que alguien o algo quede libre de lo que lo sometía u oprimía. Liberaron las ciudades del sur."
"librar","1. tr. Sacar o preservar a alguien de un trabajo, mal o peligro. U. t. c. prnl."
"licuar","1. tr. Hacer líquida una sustancia sólida o gaseosa. U. t. c. prnl."
"ligar","1. tr. atar."
"lijar","1. tr. Alisar, pulir o limpiar algo con lija o papel de lija."
"limar","1. tr. Gastar o alisar un metal, la madera, etc., con la lima2."
"limitar","1. tr. Poner límites a algo."
"limpiar","1. tr. Quitar la suciedad o inmundicia de alguien o de algo. U. t. c. prnl. U. t. en sent. fig."
"liquidar",""
