"type_searchedVerb","type_selection3"
"correr","1. intr. Dicho de una persona o de un animal: Andar rápidamente y con tanto impulso que, entre un paso y el siguiente, los pies o las patas quedan por un momento en el aire. Salió a correr por el parque. Los galgos corren tras la liebre."
"corromper","1. tr. Alterar y trastrocar la forma de algo. U. t. c. prnl."
"cortar","1. tr. Dividir algo o separar sus partes con algún instrumento cortante."
"cortejar","1. tr. Intentar conseguir el amor o los favores de alguien halagándolo y buscando su compañía."
"cosechar","1. intr. Hacer la cosecha. U. t. c. tr."
"coser","1. tr. Unir con hilo, generalmente enhebrado en la aguja, dos o más pedazos de tela, cuero u otra materia."
"costar","1. intr. Dicho de una cosa: Ser comprada o adquirida por determinado precio."
"cotizar","1. tr. Pagar una cuota."
"crear","1. tr. Producir algo nuevo. Crear un género literario. Crear un personaje."
"crecer","1. intr. Dicho de un ser orgánico: Ir en aumento. Apl. a pers., se refiere principalmente a la estatura."
"creer",""
