"type_searchedVerb","type_selection3"
"acostar","1. tr. Echar o tender a alguien para que duerma o descanse, especialmente en la cama. U. t. c. prnl."
"acostumbrar","1. tr. Hacer que alguien adquiera costumbre de algo. Lo acostumbraron a madrugar."
"acrecentar","1. tr. aumentar. U. t. c. prnl."
"actuar","1. intr. Dicho de una persona o de una cosa: Ejercer actos propios de su naturaleza."
"acuchillar","1. tr. Herir, cortar o matar con el cuchillo, y, por ext., con otras armas blancas."
"acudir","1. intr. Dicho de una persona: Ir al sitio adonde le conviene o es llamada."
"acumular","1. tr. Juntar sin orden gran número de cosas. Acumular libros."
"acunar","1. tr. Mecer al niño en la cuna o en los brazos para que se duerma."
"acurrucar","1. prnl. Encogerse para resguardarse del frío o con otro objeto."
"adelantar","1. tr. Mover o llevar hacia adelante. U. t. c. prnl."
"adelgazar","1. tr. Reducir el grosor de un cuerpo. U. t. c. prnl."
"adherir","1. tr. Pegar o unir algo a otra cosa, generalmente utilizando una sustancia. Adhirió el cartel a la pared."
"adiestrar","1. tr. Hacer diestro, enseñar, instruir. U. t. c. prnl."
"adivinar","1. tr. Predecir lo futuro o descubrir lo oculto, por medio de agüeros o sortilegios."
"admirar","1. tr. Causar sorpresa la vista o consideración de algo extraordinario o inesperado."
"admitir","1. tr. aceptar (‖ recibir voluntariamente)."
"adobar","1. tr. Disponer, preparar, arreglar, aderezar. U. t. c. prnl."
"adoctrinar","1. tr. Inculcar a alguien determinadas ideas o creencias."
"adormecer","1. tr. Dar o causar sueño. U. t. c. prnl."
"adornar","1. tr. Engalanar con adornos. U. t. c. prnl."
"adquirir","1. tr. Ganar, conseguir con el propio trabajo o industria."
"adular","1. tr. Hacer o decir con intención, a veces inmoderadamente, lo que se cree que puede agradar a otro."
"advertir","1. tr. Fijar en algo la atención, reparar, observar."
"afilar","1. tr. Sacar filo o hacer más delgado o agudo el de un arma o instrumento."
"afinar","1. tr. Perfeccionar, precisar o dar el último punto a algo. U. t. c. prnl."
"afligir","1. tr. Causar molestia o sufrimiento físico."
"aflojar","1. tr. Disminuir la presión o la tirantez de algo. U. t. c. prnl."
"agarrar","1. tr. Asir fuertemente."
"agasajar","1. tr. Tratar con atención expresiva y cariñosa."
"agitar","1. tr. Mover con frecuencia y violentamente de un lado a otro. U. t. c. prnl."
"agonizar","1. intr. Dicho de un enfermo: Estar en la agonía."
"agotar","1. tr. Extraer todo el líquido contenido en un recipiente. U. t. c. prnl."
"agrandar","1. tr. Hacer más grande algo. U. t. c. prnl."
"agravar","1. tr. Aumentar el peso de algo, hacer que sea más pesado."
"agraviar","1. tr. Hacer agravio."
"agregar","1. tr. Unir o juntar unas personas o cosas a otras. U. t. c. prnl."
"agriar","1. tr. Poner agrio algo. U. m. c. prnl."
"agrietar","1. tr. Abrir grietas o hendiduras. U. m. c. prnl."
"agrupar","1. tr. Reunir en grupo, apiñar. U. t. c. prnl."
"aguantar","1. tr. Sostener, sustentar, no dejar caer."
"agujerear","1. tr. Hacer uno o más agujeros a alguien o algo. U. t. c. prnl."
"ahogar","1. tr. Quitar la vida a una persona o a un animal, impidiéndole la respiración. U. t. c. prnl."
"ahondar","1. tr. Hacer algo hondo o más hondo de lo que era. Ahondar un pozo. U. t. en sent. fig. Ahondar una rivalidad. U. t. c. prnl."
"ahorcar","1. tr. Colgar a una persona o un animal por el cuello para darle muerte. U. t. c. prnl."
"ahorrar","1. tr. Reservar una parte de los ingresos ordinarios. U. t. c. intr. Ahorrar para la vejez."
"ahuecar","1. tr. Poner hueco o cóncavo algo."
"ahumar","1. tr. Poner al humo algo, hacer que lo reciba."
"ahuyentar","1. tr. Hacer huir a una persona o a un animal."
"airear","1. tr. Poner al aire o ventilar algo. Airear los granos."
"ajar","1. m. Tierra sembrada de ajos."
"alabar","1. tr. Manifestar el aprecio o la admiración por algo o por alguien, poniendo de relieve sus cualidades o méritos."
"alargar","1. tr. Dar más longitud a algo. U. t. c. prnl."
"albergar","1. tr. Dar albergue u hospedaje a alguien. U. t. en sent. fig."
"alborotar","1. tr. Inquietar, alterar, conmover, perturbar. U. t. c. prnl."
"alcanzar","1. tr. Llegar a juntarse con alguien o algo que va delante."
"alegrar","1. tr. Causar alegría a alguien."
"alejar","1. tr. Distanciar, llevar a alguien o algo lejos o más lejos. U. t. c. prnl."
"aletear","1. intr. Dicho de un ave: Mover frecuentemente las alas sin echar a volar."
"alimentar","1. tr. Dar alimento a un ser vivo."
"alisar","1. m. Sitio poblado de alisos."
"alistar","1. tr. Sentar o inscribir en lista a alguien o algo. U. t. c. prnl."
"alivianar","1. tr. desus. aliviar. U. en Am."
"aliviar","1. tr. aligerar (‖ hacer menos pesado)."
"almorzar","1. tr. Comer algo en el almuerzo. Almorzar chuletas."
"alojar","1. tr. Hospedar o aposentar. U. t. c. intr. y c. prnl."
"alternar","1. tr. Variar las acciones diciendo o haciendo ya unas cosas, ya otras, y repitiéndolas sucesivamente. Alternar el ocio y el trabajo. Alternar la vida en el campo con la vida urbana."
"alumbrar","1. tr. Dar luz y claridad a algo o a alguien. Alumbró con los candelabros a los invitados. Esta lámpara alumbra todo el salón. U. t. c. intr. El sol alumbra. Esta lámpara alumbra bien."
"alzar","1. tr. levantar (‖ mover hacia arriba)."
"amamantar","1. tr. Dar de mamar."
"amanecer","1. intr. impers. Empezar a aparecer la luz del día. Amanece a las ocho. Amanece nublado."
"amansar","1. tr. Domesticar, hacer manso a un animal. U. t. c. prnl."
"amargar","1. tr. Comunicar sabor o gusto desagradable a algo. U. t. en sent. fig."
"amarrar","1. tr. Atar y asegurar algo por medio de cuerdas, maromas, cadenas, etc."
"amasar","1. tr. Formar o hacer masa, mezclando harina, yeso, tierra o cosa semejante con agua u otro líquido."
"ambicionar","1. tr. Tener ambición de algo. Ambiciona la herencia familiar."
"amedrentar","1. tr. Infundir miedo, atemorizar. U. t. c. prnl."
"amonestar","1. tr. Hacer presente algo para que se considere, procure o evite."
"amontonar","1. tr. Poner unas cosas sobre otras sin orden ni concierto. U. t. c. prnl."
"amordazar","1. tr. Poner mordaza."
"ampliar","1. tr. Extender, dilatar."
"ampollar","1. adj. De forma de ampolla."
"andar","1. intr. Dicho de un ser animado: Ir de un lugar a otro dando pasos. U. t. c. prnl."
"anegar","1. tr. inundar (‖ cubrir el agua un lugar). U. t. c. prnl. U. t. en sent. fig."
"anexar","1. tr. Unir o agregar algo a otra cosa con dependencia de ella."
"anhelar","1. tr. Tener ansia o deseo vehemente de conseguir algo. Anhelar empleos, honras, dignidades."
"anidar","1. intr. Dicho de un ave: Hacer nido o vivir en él. U. t. c. prnl."
"animar","1. tr. Infundir vigor a un ser vivo."
"anochecer","1. intr. impers. Empezar a faltar la luz del día, venir la noche."
"anudar","1. tr. Hacer uno o más nudos. U. t. c. prnl."
"anular","1. adj. Perteneciente o relativo al anillo."
"anunciar","1. tr. Dar noticia o aviso de algo; publicar, proclamar, hacer saber."
"apaciguar","1. tr. Poner en paz, sosegar, aquietar. U. t. c. prnl."
"apagar","1. tr. Hacer que el fuego, la luz u otra cosa dejen de arder o de lucir. U. t. c. prnl."
"apalabrar","1. tr. Dicho de dos o más personas: Concertar de palabra algo."
"aparecer","1. intr. Manifestarse, dejarse ver, por lo común, causando sorpresa, admiración u otro movimiento del ánimo. U. t. c. prnl."
"aparentar","1. tr. Manifestar o dar a entender lo que no es o no hay. U. t. c. intr."
"apartar","1. tr. Separar, desunir, dividir. U. t. c. prnl."
"apasionar","1. tr. Causar, excitar alguna pasión. U. m. c. prnl."
"apear","1. tr. Desmontar o bajar a alguien de una caballería, de un carruaje o de un automóvil. U. m. c. prnl."
"apenar","1. tr. Causar pena, afligir. U. t. c. prnl."
"apercibir","1. tr. Prevenir, disponer, preparar lo necesario para algo. U. t. c. prnl."
"apestar","1. tr. Causar, comunicar la peste. U. t. c. prnl."
"apetecer","1. tr. Tener gana de algo, o desearlo. U. t. c. prnl."
"apilar","1. tr. Poner una cosa sobre otra haciendo pila (‖ conjunto de cosas superpuestas)."
"apisonar","1. tr. Apretar o allanar tierra, grava, etc., por medio de un pisón o una apisonadora."
"apiñar","1. tr. Juntar o agrupar estrechamente personas o cosas. U. t. c. prnl."
"aplanar","1. tr. allanar (‖ poner llano algo)."
"aplastar","1. tr. Deformar una cosa por presión o golpe, aplanándola o disminuyendo su grueso o espesor. U. t. c. prnl."
"aplaudir","1. tr. Palmotear en señal de aprobación o entusiasmo."
"aplazar","1. tr. Retrasar el momento de realizar algo."
"apocopar","1. tr. Fon. Hacer uso de la apócope."
"apodar","1. tr. Poner o decir apodos."
"aporcar","1. tr. Cubrir con tierra ciertas plantas, como el apio, el cardo, la escarola y otras hortalizas, para que se pongan más tiernas y blancas."
"apostar","1. tr. Dicho de una persona: Pactar con otra u otras que aquel que se equivoque o no tenga razón, perderá la cantidad de dinero que se determine o cualquier otra cosa. U. t. c. prnl."
"apoyar","1. tr. Sacar el apoyo o apoyadura de los pechos."
"apreciar","1. tr. Reconocer y estimar el mérito de alguien o de algo."
"aprehender","1. tr. Coger, asir, prender a alguien, o bien algo, especialmente si es de contrabando."
"apremiar","1. tr. Dar prisa, compeler a alguien a que haga algo con prontitud."
"aprender","1. tr. Adquirir el conocimiento de algo por medio del estudio o de la experiencia. U. t. c. intr. Hay que aprender de los propios errores."
"apresar","1. tr. Asir, hacer presa con las garras o con los colmillos."
"apresurar","1. tr. Dar prisa, acelerar. U. t. c. prnl."
"apretar","1. tr. Estrechar algo contra el pecho o ceñir, de ordinario con la mano o los brazos."
"aprobar","1. tr. Calificar o dar por bueno o suficiente algo o a alguien. Aprobar una boda, una opinión, a una persona para un cargo."
"aproximar","1. tr. Arrimar, acercar. U. t. c. prnl."
"apuntalar","1. tr. Poner puntales."
"apurar","1. tr. Acabar o agotar."
"apuñalar","1. tr. Dar de puñaladas."
"arar","1. m. alerce africano."
"arañar","1. tr. Raspar, rasgar, herir ligeramente la piel con las uñas o con un objeto cortante o punzante. U. t. c. prnl."
"archivar","1. tr. Guardar documentos o información en un archivo."
"arengar","1. tr. Dirigir a alguien una arenga. U. t. c. intr."
"arquear","1. tr. Dar a algo forma de arco. U. t. c. prnl."
"arrancar","1. tr. Sacar de raíz. Arrancar un árbol, una planta."
"arrastrar","1. tr. Llevar a alguien o algo por el suelo, tirando de él o de ello."
"arrebatar","1. tr. Quitar con violencia y fuerza."
"arreglar","1. tr. Reducir o sujetar a regla, ajustar, conformar. U. t. c. prnl."
"arremeter","1. tr. desus. Hacer arrancar con ímpetu al caballo."
"arriar","1. tr. Bajar las velas, las banderas, etc., que están en lo alto."
"arribar","1. intr. Dicho de una nave: Llegar a un puerto."
"arrimar","1. tr. Acercar o poner algo junto a otra cosa. U. t. c. prnl."
"arrinconar","1. tr. Poner algo en un rincón o lugar retirado."
"arrodillar","1. tr. Hacer que alguien hinque la rodilla o ambas rodillas."
"arrojar","1. tr. Impeler con violencia algo, de modo que recorra una distancia, movido por el impulso que ha recibido."
"arrollar","1. tr. Envolver algo plano y extendido de tal suerte que resulte en forma de rollo."
"arropar","1. tr. Cubrir o abrigar con ropa. U. t. c. prnl."
"arrugar","1. tr. Hacer arrugas a alguien o algo. U. t. c. prnl."
"arrullar","1. tr. Dicho de una paloma o de una tórtola: Atraer con arrullos a su pareja."
"asar","1. tr. Hacer comestible un alimento por la acción directa del fuego, o la del aire caldeado, a veces rociando aquel con grasa o con algún líquido."
"ascender","1. intr. Subir de un sitio a otro más alto."
"asear","1. tr. Adornar, componer con curiosidad y limpieza. U. t. c. prnl."
"asegurar","1. tr. Hacer que alguien o algo queden seguros o firmes. Asegurar la alcayata en la pared. Asegurar al niño en la sillita de paseo."
"asentar","1. tr. sentar (‖ poner a alguien en una silla). U. m. c. prnl."
"asentir","1. intr. Admitir como cierto o conveniente lo que otra persona ha afirmado o propuesto antes."
"aserrar","1. tr. serrar."
"asesinar",""
