las reservas , ñongatupykuéra
el carácter obligatorio , teko obligatorio
de ,de
y ,ha
las sanciones , ñembyepotikuéra
son ,pu
más ,más
el texto , kuatia
de ,de
de ,de
nuevos ,pyahu
contratos ,contratos
de ,de
trabajo ,mba'apoha
de una duración ,una duración _gua
meses ,jasykuéra
cinco ,cinco
años ,arajerekuéra
y ,ha
de ,de
meses ,jasykuéra
de ,de
referencia ,referencia
exige ,exige
haber ,haber
para ,opyta *
poder ,katu
el subsidio , pytyvõ
de ,de
desempleo ,desempleo
de las licencias , sãsokuéra _gui
de ,de
telefonía ,telefonía
móvil ,móvil
permitirá ,omoneĩt *
el mercado , ñemuha
operadores ,operadores
de ,de
servicios ,pytyvõnguéra
dijo ,ho'ytakuri *
hoy ,ko'ára
el presidente , mburuvicha
de ,de
la ,la
de ,de
de ,de
las ,las
intervino ,oñemoingekuri *
hoy ,ko'ára
en unas jornadas ,unas jornadas _pe
sobre ,sobre
radio en el bucle local ,radio  avakua apegua _pe
de ,de
abonado ,abonado
para ,ojoko *
de ,de
la ,la
y ,ha
dijo ,ho'ytakuri *
las ,las
concesión ,ñeme'ẽ
de ,de
licencias ,sãsokuéra
español ,español
concurso ,concurso
y ,ha
no ,no
subasta ,subasta
pero ,jepéramo
pueden ,oikatu *
su red ,i_ kyha
más ,más
operadores ,operadores
de ,de
servicios ,pytyvõnguéra
móviles ,móviles
la red , kyha
de ,de
telecomunicaciones ,telecomunicaciones
licencias ,sãsokuéra
de ,de
móvil ,móvil
el presidente , mburuvicha
de ,de
la ,la
de ,de
de ,de
las ,las
competencia ,competencia
todo ,todo
el mundo , arapy
como ,ajepy'ajoko *
consecuencia ,tapykuegua
de ,de
ha ,oĩ *
hecho ,jehupyre
principios ,ñepyrũnguéra
jurídicos ,jurídicos
y ,ha
no ,no
técnicos ,técnicos
y ,ha
este mercado ,ko ñemuha
como ,akaru *
la apertura , jepe'aha
de la red , kyha _gua
de ,de
telefonía ,telefonía
local ,apegua
de ,de
a otros operadores ,otros operadores _pe
no es la solución total ,ndoha'ei *  ry oĩmbáva
en la red , kyha _pe
no ,no
como una inversión atractiva ,añemboapyte * una inversión juky
y ,ha
la puesta , ñemoĩ
marcha de las licencias ,marcha  sãsokuéra _gui
de ,de
telefonía ,telefonía
local ,apegua
vía ,tape
radio ,radio
va ,oho *
han ,oĩ *
ganado ,tymba
de ,de
periodistas ,periodistas
vía ,tape
radio ,radio
telefonía ,telefonía
tecnologías ,tecnologías
móviles ,móviles
por la llegada , guahẽ rehe
de ,de
nuevas ,pyahu
tecnologías ,tecnologías
y ,ha
de ,de
permitirá ,omboajet *
los ,los
tienen estas licencias ,oreko * ã sãsokuéra
telefonía ,telefonía
local ,apegua
vía ,guataha
radio ,radio
el presidente , mburuvicha
de ,de
las ,las
mostró ,mostró
partidario ,partidario
de ,de
como ,añemboapyte *
puede ,okatu *
ser ,ser
a la información , momarandu _pe
de ,de
a otros operadores ,otros operadores _pe
sobre la oferta , ñekuã ári
de ,de
interconexión ,interconexión
de otros operadores ,otros operadores _gua
acaba ,omomba *
de ,de
y ,ha
pronto ,pojava
darán ,ombojárat *
servicios ,pytyvõnguéra
y ,ha
es ,oha'e *
imposible ,ikatu'ỹva
todos ,todos
y ,ha
trata ,trata
de ,de
el mercado , ñemuha
no ,no
lo ,lo
hay ,oĩ *
investigación ,investigación
básica ,básica
es el camino para el crecimiento ,oha'e *  tape  akãrapu'ã g̃uarã
y ,ha
la prosperidad económica , po'a económica
afirmaron ,afirmaron
hoy ,ko'ára
empresarios ,empresarios
de ,de
y ,ha
el director , ruvicha
de ,de
investigación ,investigación
de ,de
la ,la
abogaron ,abogaron
cultura ,arandu
científica ,científica
de los ciudadanos , tetaguãnguéra _gua
y ,ha
la ,la
cultura ,arandu
de el libro , kuatia _gua
prosperidad ,ñemotenonde
investigación ,investigación
básica ,básica
la ,la
el secretario general , tembiguái pavẽ
de ,de
la ,la
abogó por la formación ,abogó  tesape'a rupi
temas ,ñe'ẽmbyrãnguéra
de ,de
innovación ,innovación
tecnológica ,tecnológica
investigación ,investigación
la ,la
sitúa ,omoĩ *
ciento ,ciento
de ,de
frente ,syva
ciento ,ciento
está ,oiko *
el buen camino , tape katupyry
y ,ha
está ,oiko *
en este sentido ,ko andu _pe
de ,de
y ,ha
a las primeras declaraciones , ñemombe'ukuéra primeras _pe
sobre ,sobre
desarrollo ,jekakuaa
e ,ha
innovación ,innovación
el representante , mbuekovia
aseguró ,omoañetekuri *
y ,ha
y ,ha
ofreció el apoyo ,okuave'ẽkuri *  pytyvõ
de ,de
la ,la
de los retos , ja'okuéra _gui
en esta materia ,ko mba'e _pe
investigación ,investigación
básica ,básica
contribuye a la prosperidad económica ,contribuye  ñemotenonde económica _pe
y ,ha
destacó la colaboración ,destacó  pytyvõ
en este campo ,ko ñu _me
el libro , kuatia
hoy ,ko'ára
recoge ,opo'o *
de ,de
forma ,ysaja
de ,de
universitaria ,universitaria
americana ,americana
y ,ha
propone ,propone
la enseñanza para , tekombo'e omombyta *
la provisión futura , jegueru upeigua
de ,de
científicos ,científicos
sobresalientes ,sobresalientes
y ,ha
pone ,omohenda *
de ,de
manifiesto ,manifiesto
centran ,omombyte *
más ,más
la ,la
objetivos ,objetivos
de ,de
mercado ,ñemuha
este documento ,ko kuatia
como ,ajepy'ajoko *
referencia ,referencia
la ,la
hace ,ojapo *
hincapié ,hincapié
investigación ,investigación
básica ,básica
son ,pu
el conocimiento básico tiende , pokuaa básico opyso *
ser ,ser
innovaciones ,innovaciones
producen ,omoheñói *
sustanciales ,sustanciales
beneficios ,beneficios
para el director general ,opyta *  ruvicha pavẽ
de ,de
de ,de
la ,la
es ,oha'e *
necesario ,ñeikotevẽva
fondo ,tevi
de ,de
calidad ,calidad
e ,ha
la colaboración , pytyvõ
y ,ha
técnicos ,técnicos
y ,ha
el sector productivo , pehẽngue productivo
de ,de
dijo ,ho'ytakuri *
hoy ,ko'ára
los agentes sociales deben , tahachikuéra jojapy deben
mentalidad ,mentalidad
la ,la
con el presidente , mburuvicha _ndi
de ,de
trata ,trata
de ,de
los intereses generales , kuaasekuéra pavẽ
de los españoles , karaiñe'ẽnguéra _gua
cuenta ,cuenta
es el país ,oha'e *  tetã
de ,de
la ,la
más ,más
empleo ,mba'apoha
ha ,oĩ *
registra ,omboguapy *
mayor ,tuichave
crecimiento ,mopu'ã
económico ,económico
en su opinión ,i_ ñeimo'ã _me
de ,de
gran ,gran
relevancia ,relevancia
la reunión , no'õ
con el dirigente , myenondehára ndive
y ,ha
los ,los
de ,de
el interés , kuaase
de ,de
empresariales ,empresariales
y ,ha
sindicales ,sindicales
de ,de
proceso de el diálogo social ,proceso  ñemongeta jojapy _gua
eje ,eje
básico ,básico
buenos ,katupyry
resultados ,tembiapokuekuéra
para el empleo ,opyta *  tembiapo
y ,ha
la ,la
la reforma laboral , ñembopyahu laboral
de ,de
fruto ,‘a
de los acuerdos , oñoñe'ẽnguéra _gui
con los agentes sociales , tahachikuéra jojapy ndive
tuvo ,orekokuri *
efectos ,ra'ykuekuéra
sobre el empleo , tembiapo ári
y ,ha
sirvió ,omoangapyhykuri *
para ,opyta *
el crecimiento , akãrapu'ã
produjo ,omoheñóikuri *
de ,de
dicha ,py'arory
reforma ,ñembopyahu
de ,de
así ,ajapyhykuri *
tiempo ,ára
parcial ,oĩmba'ỹ
las relaciones laborales , jokuaakuéra laborales
juicio ,apytu'ũ
de ,de
es ,oha'e *
necesario ,kotevẽpyre
en la reforma laboral , ñembopyahu laboral _pe
fin ,apy
de ,de
más ,más
empleo ,mba'apo
de ,de
temporalidad ,temporalidad
y ,ha
en el trabajo , mba'apoha _pe
uno ,ajuaju *
de ,de
los ,los
bancos ,apykakuéra
más ,más
grandes ,kakuaa
de ,de
la ,la
anunció ,oñandukakuri *
hoy ,ko'ára
despedirá ,despedirá
empleados ,tembiguáikuéra
más ,más
de ,de
finales ,paha
de el año , arajere _gua
de ,de
saneamiento ,ñemohesãi
el director , sãmbyhyha
de el banco , guapyha _gui
y ,ha
no ,no
la reducción , ñemomichĩ
dispone ,omoĩ *
de ,de
ciento ,ciento
de las acciones , tembiapokuéra _gui
de ,de
y ,ha
checo ,checo
quiere ,opota *
de ,de
privatización ,privatización
de este banco ,ko apyka _gua
en este año ,ko arajere _pe
y ,ha
septiembre ,septiembre
de ,de
de los objetivos , hupytypyrãnguéra _gui
es ,oha'e *
los errores , mba'eavykuéra
obligaron ,ojurakuri *
créditos ,créditos
dudosos ,dudosos
de ,de
millones ,millones
de ,de
coronas ,coronas
millones ,millones
de ,de
dólares ,dólares
permitirá a el banco ,omboajet *  apyka _pe
es ,oha'e *
condición ,condición
básica ,básica
para ,omombyta *
de el banco , guapyha _gui
está ,oĩ *
por la violación , ñerairõ _re
de los límites , rembe'ykuéra _gua
de ,de
crédito ,crédito
en sus negocios ,i_ ñemukuéra _pe
y ,ha
supusieron ,supusieron
pérdidas ,jerokañynguéra
a el banco , guapyha _pe
de ,de
millones ,millones
de ,de
dólares ,dólares
el año , arajere
pasado ,pasado
amplios ,pyrusu
cambios ,ñembyekoviakuéra
de ,de
directivos ,directivos
a todos los ,todos los _pe
niveles ,yvatekuekuéra
desde su director general ,i_ ruvicha pavẽ guive
y ,ha
presidente ,mburuvicha
y ,ha
personal ,tee
medio ,mbytere
tenía una plantilla ,aguerekomi * una plantilla
de ,de
empleados ,tembiguáikuéra
fines ,tekorãnguéra
de ,de
de el presente año , arajere ãgagua _gui
y ,ha
funcionarios ,tembijokuáikuéra
fueron ,oha'ekuri *
de ,de
los ,los
está ,oime *
por la reducción , ñemomichĩ rupi
los ,los
actuales ,ãgagua
y ,ha
tiene ,oguereko *
de el fin , hupytypyrã _gui
de el año , arajere _gua
por el banco belga , apyka belga rehe
y ,ha
moderada ,moderada
la reducción , ñemomichĩ
de ,de
plantilla ,plantilla
años ,arajerekuéra
bancos ,apykakuéra
ha ,oĩ *
de ,de
alrededor ,alrededor
de ,de
pero ,jepéramo
siguen ,omuña *
de ,de
principio ,ñepyrũ
establece el cambio ,omohenda *  ñembyekovia
de ,de
acciones ,tembiapokuéra
de ,de
el acuerdo , oñoñe'ẽ
de ,de
capital ,capital
de ,de
francos ,japu'ỹva
suizos ,suizos
y ,ha
un dividendo especial ,un dividendo poravopyre
de ,de
francos ,japu'ỹva
suizos ,suizos
de ,de
condicionado ,condicionado
de ,de
ciento ,ciento
de las acciones , tembiapokuéra _gua
circulación ,syry
de ,de
cabo ,yvyakua
ingresos ,jeikekuéra
combinados ,combinados
de ,de
millones ,millones
de ,de
dólares ,dólares
inmediatos ,inmediatos
supondrán ,supondrán
de ,de
millones ,millones
de ,de
dólares ,dólares
el acuerdo , jurupeteĩ
ha ,oime *
el apoyo , pytyvõ
de ,de
de ,de
proporcionará ,oropojáit *
ciento ,ciento
de las acciones , tembiapokuéra _gui
circulación ,syry
de ,de
través ,través
de ,de
prensa ,jopyha
el presidente , mburuvicha
de ,de
estoy ,aĩ *
seguro ,seguro
y ,ha
espero ,ajerovia *
de ,de
en una nueva industria ,una industria pyahu _pe
líder ,líder
nivel ,yvatekue
global ,global
en el sector , pehẽngue _pe
y ,ha
por su parte ,i_ pesẽngue _re
el director ejecutivo , sãmbyhyha ejecutivo
de ,de
mejor ,porãve
posición ,ñeĩha
para ,ojoko *
las necesidades , tekotevẽnguéra
es ,oha'e *
de el mundo , yvy _gui
de ,de
aluminio ,aluminio
cuenta ,cuenta
operaciones ,operaciones
países ,tetãnguéra
y ,ha
emplea ,oporu *
alrededor ,alrededor
de ,de
de ,de
aluminio ,aluminio
y ,ha
productos ,productos
derivados ,derivados
presente ,ãgagua
países ,tetãnguéra
y ,ha
opera en el sector ,ojapo *  pehẽngue _pe
de ,de
aluminio ,aluminio
y ,ha
con una fuerte presencia ,una presencia pu'aka ndive
en el sector , pehẽngue _pe
de ,de
la ,la
y ,ha
de ,de
productos ,productos
alimentarios ,alimentarios
cosméticos ,cosméticos
y ,ha
farmacéuticos ,farmacéuticos
de ,de
café ,café
aumentó ,ombohetakuri *
cerca ,mongoraha
de ,de
ciento ,ciento
lo ,lo
de ,de
los ,los
calcula ,opapa *
y ,ha
ciento ,ciento
de ,de
kilos ,kilos
de ,de
café ,café
persona a el año ,persona  arajere _pe
de ,de
café ,café
cerca ,mongoraha
de ,de
kilos ,kilos
persona ,tapicha
los ,los
más ,más
reservados ,reservados
apenas ,pepy'apy *
kilos ,kilos
cabeza ,ruvicha
a el año , arajere _pe
y ,ha
de ,de
junio ,junio
encontrarán ,ojuhut *
cerca ,mongoraha
de ,de
expertos ,expertos
de ,de
sobre ,sobre
café ,café
y ,ha
la búsqueda , teka
de ,de
nuevos ,pyahu
caminos ,tapekuéra
y ,ha
la ,la
puso ,omohendakuri *
financiero ,financiero
de ,de
la última semana , arapokõindy última
la ,la
calma a los mercados ,ombopy'aguapy *  ñemuhakuéra _pe
plena ,plena
campaña ,okára
de ,de
como ,akaru *
amenaza a la seguridad nacional ,amenaza  kyhyje'ỹ nacional _me
a el tiempo , ára _pe
la ,la
calificaba ,calificaba
de ,de
y ,ha
especulativo ,especulativo
los efectos negativos , ra'ykuekuéra negativos
plano ,pe
interno ,pypegua
y ,ha
la desconfianza , jepoyhu
de ,de
cientos ,cientos
de ,de
miles ,miles
de ,de
rumanos ,rumanos
en las autoridades , tendotakuéra _pe
de ,de
de el acuerdo , jurupeteĩ _gua
de ,de
importancia ,importancia
capital ,capital
la quiebra , jeso
de ,de
mayor ,kakuaa
fondo ,tevi
mutuo ,mutuo
privado ,privado
semana ,arapokõindy
pasada ,jehasa
fue ,oha'ekuri *
seguida ,seguida
intentos ,intentos
desestabilizadores ,desestabilizadores
de ,de
y ,ha
entidad ,entidad
la ,la
millones ,millones
de ,de
rumanos ,rumanos
las pruebas , kuaara'ãnguéra
recogidas ,recogidas
la ,la
así ,ajapyhykuri *
como ,akaru *
informaciones ,momarandukuéra
de ,de
prensa ,jopyha
fueron ,ohokuri *
grupos ,atykuéra
difundieron ,omosarambikuri *
rumores ,terakuãnguéra
sobre la inminente quiebra , jeso inminente ári
de ,de
través ,través
de ,de
llamadas ,tenóikuéra
telefónicas ,telefónicas
anónimas ,anónimas
y ,ha
mensajes ,ñe'ẽmondokuéra
correo ,correo
electrónico ,electrónico
de estas llamadas ,ã ñehenóikuéra _gui
de ,de
fútbol ,fútbol
comprobó ,comprobó
desde un teléfono ,un teléfono guive
de ,de
director ,director
ha ,oĩ *
hasta el fin , hupytypyrã meve
garantizó la solidez ,garantizó  mbaretekue
de ,de
de la moneda nacional , pirapire nacional _gui
de la gente , yvypóra _gua
de ,de
fueron ,oha'ekuri *
víctimas ,víctimas
de ,de
manipulaciones ,manipulaciones
especulativas ,especulativas
contribuyeron ,contribuyeron
de ,de
nuevo ,pyahu
la calma , kirirĩ
de este país ,ko tetã _gui
emitió ,emitió
hoy ,ko'ára
de ,de
detención ,detención
contra ,contra
administró ,administró
de ,de
más ,más
de ,de
dólares ,dólares
de ,de
millones ,millones
de ,de
dólares ,dólares
este fondo privado había ,ko guy privado oĩmi *
de la población , tetã _gui
rumano ,rumano
anunció ,omomarandukuri *
hoy ,ko'ára
medidas ,ta'ãhakuéra
legislativas ,legislativas
para ,ojoko *
sobre los fondos mutuos , kupekuéra mutuos ári
de ,de
inversiones ,inversiones
con el objetivo , ma'erã _ndi
de ,de
el fraude , pokarẽ
el engaño , ñuhã
y ,ha
la falsa publicidad , momarandu japu
de ,de
confirmó ,omoañetekuri *
hoy ,ko'ára
el presidente , mburuvicha
de su país ,i_ tetã _gua
asistirá ,asistirá
la ,la
celebrará ,oropurahéit *
de ,de
junio ,junio
de ,de
gran ,gran
trascendencia ,trascendencia
puesto ,koty'i
de ,de
la ,la
frente ,syva
a los grandes desafíos , jeporohekakuéra tuicha _pe
nos ,nos
manifestó a la prensa peruana ,ho'ytakuri *  jopyha peruana _pe
el presidente , mburuvicha
de ,de
el doctor , pohanohára
estará la próxima semana ,oikot *  arapokõindy kyta'i
en la reunión , no'õ _me
de ,de
la ,la
los presidentes , mburuvichakuéra
estarán ,oĩt *
los ,los
cinco ,cinco
mandatarios ,jokuaipykuéra
andinos ,andinos
de ,de
integración ,integración
impulsan sus países ,omyaña * i_ tetãnguéra
hace ,ojapo *
más ,más
de ,de
cabecilla ,mburuvicha
de una intentona golpista ,una intentona golpista _gua
salió ,osẽkuri *
hoy ,ko'ára
de ,de
tiene ,oguereko *
retenidas ,retenidas
y ,ha
hace ,ojapo *
ha ,oĩ *
definido ,definido
su acción ,i_ tembiapo
como ,ha'u *
golpe ,mbota
de ,de
favor ,ñepytyvõ
de ,de
nativos ,nativos
fiyianos ,fiyianos
dejó el recinto ,dejó  koty
de ,de
de ,de
soldados ,soldados
hoy ,ko'ára
encabeza el comandante ,omoakã *  mburuvicha
de ,de
puntos ,puntos
la ,la
exige el fin de la ley marcial ,exige  opa  tembiapoukapy marcial _gua
y ,ha
concreto ,concreto
uno ,ajuaju *
de ,de
mayo ,mayo
tiene ,oreko *
el mandato , tembiapoukapy
de el pueblo , táva _gua
la fuente , ykua
de ,de
pondrán ,omohendat *
sobre ,sobre
la ,la
y ,ha
tendrá ,orekot *
lugar ,tenda
su liberación ,i_ jei
de ,de
de el presidente , mburuvicha _gui
pasado ,pasado
éxito ,éxito
provisional ,provisional
una nueva ,una nueva
elecciones ,tembiporavokuéra
democráticas ,democráticas
de ,de
a el gobierno democrático , porukái democrático _pe
de el presidente , mburuvicha _gui
y ,ha
por su parte ,i_ pesẽngue _re
condenado ,condenado
y ,ha
países ,tetãnguéra
como ,ajepy'ajoko *
están a la espera ,oĩ *  ta'arõ _me
de ,de
liberados ,liberados
para ,omombyta *
sanciones ,jepykuéra
contra ,contra
la senda , tape
israelí ,israelí
llegó ,oguahẽkuri *
hoy ,ko'ára
jueves ,jueves
entrevistará con el presidente estadounidense ,oñomongetat *  mburuvicha estadounidense _ndi
para esta noche ,ojoko * ko pyharekue
segunda ,segunda
etapa ,ararasa
de el viaje , guata _gui
de el gobernante estadounidense , tendota estadounidense _gui
de ,de
procedente ,procedente
de ,de
aterrizó ,oguejykuri *
las ,las
hora ,hora
local ,apegua
en la base aérea , ropyta aérea _pe
de ,de
de ,de
israelí ,israelí
