achúrakuera,achúra,N,C,0,P,menudencias,menudencia,N,C,F,P
ahy'o,ahy'o,N,C,0,S,garganta,garganta,N,C,F,S
ahy'okuera,ahy'o,N,C,0,P,gargantas,garganta,N,C,F,P
ahy'o,ahy'o,N,C,0,S,laringe,laringe,N,C,F,S
ahy'okuera,ahy'o,N,C,0,P,laringes,laringe,N,C,F,P
ahy'o,ahy'o,N,C,0,S,faringe,faringe,N,C,F,S
ahy'okuera,ahy'o,N,C,0,P,faringes,faringe,N,C,F,P
ahy'okuera,ahy'o,N,C,0,P,voces,voz,N,C,F,P
ahy'o,ahy'o,N,C,0,S,voz,voz,N,C,F,S
ahy'opyáu,ahy'opyáu,N,C,0,S,ronquera,ronquera,N,C,F,S
ahy'opyáukuera,ahy'opyáu,N,C,0,P,ronqueras,ronquera,N,C,F,P
ahy'opyáu,ahy'opyáu,N,C,0,S,afonía,afonía,N,C,F,S
ahy'opyáukuera,ahy'opyáu,N,C,0,P,afonías,afonía,N,C,F,P
ahy'opyáu,ahy'opyáu,N,C,0,S,disfonía,disfonía,N,C,F,S
ahy'opyáukuera,ahy'opyáu,N,C,0,P,disfonías,disfonía,N,C,F,P
ahy'otĩ,ahy'otĩ,N,C,0,S,campanilla,campanilla,N,C,F,S
ahy'otĩkuera,ahy'otĩ,N,C,0,P,campanillas,campanilla,N,C,F,P
ahy'otĩ,ahy'otĩ,N,C,0,S,úvula,úvula,N,C,F,S
ahy'otĩkuera,ahy'otĩ,N,C,0,P,úvulas,úvula,N,C,F,P
ahẽ,ahẽ,N,C,0,S,diablo,diablo,N,C,M,S
ahẽkuera,ahẽ,N,C,0,P,diablos,diablo,N,C,M,P
ahẽ,ahẽ,N,C,0,S,demonio,demonio,N,C,M,S
ahẽkuera,ahẽ,N,C,0,P,demonios,demonio,N,C,M,P
ai,ai,N,C,0,S,llaga,llaga,N,C,F,S
aikuera,ai,N,C,0,P,llagas,llaga,N,C,F,P
ai,ai,N,C,0,S,úlcera,úlcera,N,C,F,S
aikuera,ai,N,C,0,P,úlceras,úlcera,N,C,F,P
ai,ai,N,C,0,S,herida,herida,N,C,F,S
ai,ai,N,C,0,S,herida,herido,N,C,F,S
aikuera,ai,N,C,0,P,heridas,herida,N,C,F,P
ai,ai,N,C,0,S,quiste,quiste,N,C,M,S
aikuera,ai,N,C,0,P,quistes,quiste,N,C,M,P
aiguy'i,aiguy'i,N,C,0,S,quiste,quiste,N,C,M,S
aiguy'ikuera,aiguy'i,N,C,0,P,quistes,quiste,N,C,M,P
ajaka,ajaka,N,C,0,S,canasto,canasto,N,C,M,S
ajakakuera,ajaka,N,C,0,P,canastos,canasto,N,C,M,P
ajaka,ajaka,N,C,0,S,cesta,cesta,N,C,F,S
ajakakuera,ajaka,N,C,0,P,cestas,cesta,N,C,F,P
ajaka,ajaka,N,C,0,S,cesto,cesto,N,C,M,S
ajakakuera,ajaka,N,C,0,P,cestos,cesto,N,C,M,P
ajukue,ajukue,N,C,0,S,sazón,sazón,N,C,F,S
ajukuekuera,ajukue,N,C,0,P,sazones,sazón,N,C,F,P
ajukue,ajukue,N,C,0,S,maduración,maduración,N,C,F,S
ajukuekuera,ajukue,N,C,0,P,maduraciones,maduración,N,C,F,P
ajukuekuera,ajukue,N,C,0,P,maduraciónes,maduración,N,C,F,P
ajurigua,ajurigua,N,C,0,S,collar,collar,N,C,M,S
ajuriguakuera,ajurigua,N,C,0,P,collares,collar,N,C,M,P
ajurigua,ajurigua,N,C,0,S,gargantilla,gargantilla,N,C,F,S
ajuriguakuera,ajurigua,N,C,0,P,gargantillas,gargantilla,N,C,F,P
aju'y,aju'y,N,C,0,S,laurel,laurel,N,C,M,S
aju'ykuera,aju'y,N,C,0,P,laureles,laurel,N,C,M,P
ajúra,ajúra,N,C,0,S,cuello,cuello,N,C,M,S
ajúrakuera,ajúra,N,C,0,P,cuellos,cuello,N,C,M,P
ajúra,ajúra,N,C,0,S,pescuezo,pescuezo,N,C,M,S
ajúrakuera,ajúra,N,C,0,P,pescuezos,pescuezo,N,C,M,P
akamambu,akamambu,N,C,0,S,ampolla,ampolla,N,C,F,S
akamambunguera,akamambu,N,C,0,P,ampollas,ampolla,N,C,F,P
akamambu,akamambu,N,C,0,S,burbuja,burbuja,N,C,F,S
akamambunguera,akamambu,N,C,0,P,burbujas,burbuja,N,C,F,P
akandu,akandu,N,C,0,S,chichón,chichón,N,C,M,S
akandunguera,akandu,N,C,0,P,chichones,chichón,N,C,M,P
akandu,akandu,N,C,0,S,protuberancia,protuberancia,N,C,F,S
akandunguera,akandu,N,C,0,P,protuberancias,protuberancia,N,C,F,P
akangata,akangata,N,C,0,S,almohada,almohada,N,C,F,S
akangatanguera,akangata,N,C,0,P,almohadas,almohada,N,C,F,P
akangatu,akangatu,N,C,0,S,memoria,memoria,N,C,F,S
akangatunguera,akangatu,N,C,0,P,memorias,memoria,N,C,F,P
akangyta,akangyta,N,C,0,S,almohada,almohada,N,C,F,S
akangytanguera,akangyta,N,C,0,P,almohadas,almohada,N,C,F,P
aka'ẽ,aka'ẽ,N,C,0,S,urraca,urraca,N,C,F,S
aka'ẽkuera,aka'ẽ,N,C,0,P,urracas,urraca,N,C,F,P
aka'ẽ,aka'ẽ,N,C,0,S,pájaro,pájaro,N,C,M,S
aka'ẽkuera,aka'ẽ,N,C,0,P,pájaros,pájaro,N,C,M,P
aka'ẽ,aka'ẽ,N,C,0,S,vocinglera,vocinglero,N,C,F,S
aka'ẽkuera,aka'ẽ,N,C,0,P,vocingleras,vocinglero,N,C,F,P
aka'ẽ,aka'ẽ,N,C,0,S,vocinglero,vocinglero,N,C,M,S
aka'ẽkuera,aka'ẽ,N,C,0,P,vocingleros,vocinglero,N,C,M,P
akuruchĩ,akuruchĩ,N,C,0,S,calambre,calambre,N,C,M,S
akuruchĩkuera,akuruchĩ,N,C,0,P,calambres,calambre,N,C,M,P
akuruchĩ,akuruchĩ,N,C,0,S,contractura,contractura,N,C,F,S
akuruchĩkuera,akuruchĩ,N,C,0,P,contracturas,contractura,N,C,F,P
akuruchĩ,akuruchĩ,N,C,0,S,parálisis,parálisis,N,C,F,N
akuãngue,akuãngue,N,C,0,S,velocidad,velocidad,N,C,F,S
akuãnguenguera,akuãngue,N,C,0,P,velocidades,velocidad,N,C,F,P
akytã,akytã,N,C,0,S,nudo,nudo,N,C,M,S
akytãkuera,akytã,N,C,0,P,nudos,nudo,N,C,M,P
akytã,akytã,N,C,0,S,nudosidad,nudosidad,N,C,F,S
akytãkuera,akytã,N,C,0,P,nudosidades,nudosidad,N,C,F,P
akytã,akytã,N,C,0,S,verruga,verruga,N,C,F,S
akytãkuera,akytã,N,C,0,P,verrugas,verruga,N,C,F,P
akytã,akytã,N,C,0,S,callo,callo,N,C,M,S
akytãkuera,akytã,N,C,0,P,callos,callo,N,C,M,P
akytã,akytã,N,C,0,S,tumor,tumor,N,C,M,S
akytãkuera,akytã,N,C,0,P,tumores,tumor,N,C,M,P
akã,akã,N,C,0,S,cabeza,cabeza,N,C,C,S
akãkuera,akã,N,C,0,P,cabezas,cabeza,N,C,C,P
akã,akã,N,C,0,S,testa,testa,N,C,F,S
akãkuera,akã,N,C,0,P,testas,testa,N,C,F,P
akã,akã,N,C,0,S,mollera,mollera,N,C,F,S
akãkuera,akã,N,C,0,P,molleras,mollera,N,C,F,P
akã,akã,N,C,0,S,intelecto,intelecto,N,C,M,S
akãkuera,akã,N,C,0,P,intelectos,intelecto,N,C,M,P
akãguapy,akãguapy,N,C,0,S,prudencia,prudencia,N,C,F,S
akãguapykuera,akãguapy,N,C,0,P,prudencias,prudencia,N,C,F,P
akãguapy,akãguapy,N,C,0,S,tranquilidad,tranquilidad,N,C,F,S
akãguapykuera,akãguapy,N,C,0,P,tranquilidades,tranquilidad,N,C,F,P
akãguapy,akãguapy,N,C,0,S,sosiego,sosiego,N,C,M,S
akãguapykuera,akãguapy,N,C,0,P,sosiegos,sosiego,N,C,M,P
akãguapy,akãguapy,N,C,0,S,mesura,mesura,N,C,F,S
akãguapykuera,akãguapy,N,C,0,P,mesuras,mesura,N,C,F,P
akãguapykuera,akãguapy,N,C,0,P,paces,paz,N,C,F,P
akãguapy,akãguapy,N,C,0,S,paz,paz,N,C,F,S
akãguapykuera,akãguapy,N,C,0,P,sensateces,sensatez,N,C,F,P
akãguapy,akãguapy,N,C,0,S,sensatez,sensatez,N,C,F,S
akãguapy,akãguapy,N,C,0,S,templanza,templanza,N,C,F,S
akãguapykuera,akãguapy,N,C,0,P,templanzas,templanza,N,C,F,P
akãguapy,akãguapy,N,C,0,S,reposo,reposo,N,C,M,S
akãguapykuera,akãguapy,N,C,0,P,reposos,reposo,N,C,M,P
akãguapy,akãguapy,N,C,0,S,cordura,cordura,N,C,F,S
akãguapykuera,akãguapy,N,C,0,P,corduras,cordura,N,C,F,P
akãguasu,akãguasu,N,C,0,S,inteligencia,inteligencia,N,C,F,S
akãguasukuera,akãguasu,N,C,0,P,inteligencias,inteligencia,N,C,F,P
akãhatã,akãhatã,N,C,0,S,terquedad,terquedad,N,C,F,S
akãhatãkuera,akãhatã,N,C,0,P,terquedades,terquedad,N,C,F,P
akãhatãngue,akãhatãngue,N,C,0,S,travesura,travesura,N,C,F,S
akãhatãnguenguera,akãhatãngue,N,C,0,P,travesuras,travesura,N,C,F,P
akãhatãngue,akãhatãngue,N,C,0,S,terquedad,terquedad,N,C,F,S
akãhatãnguenguera,akãhatãngue,N,C,0,P,terquedades,terquedad,N,C,F,P
akãhoja,akãhoja,N,C,0,S,manto,manto,N,C,M,S
akãhojakuera,akãhoja,N,C,0,P,mantos,manto,N,C,M,P
akãhoja,akãhoja,N,C,0,S,sombrero,sombrero,N,C,M,S
akãhojakuera,akãhoja,N,C,0,P,sombreros,sombrero,N,C,M,P
akãjere,akãjere,N,C,0,S,mareo,mareo,N,C,M,S
akãjerekuera,akãjere,N,C,0,P,mareos,mareo,N,C,M,P
akãkangue,akãkangue,N,C,0,S,cráneo,cráneo,N,C,M,S
akãkanguenguera,akãkangue,N,C,0,P,cráneos,cráneo,N,C,M,P
akãkanguekue,akãkanguekue,N,C,0,S,calavera,calavera,N,C,F,S
akãkanguekuenguera,akãkanguekue,N,C,0,P,calaveras,calavera,N,C,F,P
akãmbota,akãmbota,N,C,0,S,coscorrón,coscorrón,N,C,M,S
akãmbotanguera,akãmbota,N,C,0,P,coscorrones,coscorrón,N,C,M,P
akãmbyte,akãmbyte,N,C,0,S,coronilla,coronilla,N,C,F,S
akãmbytenguera,akãmbyte,N,C,0,P,coronillas,coronilla,N,C,F,P
akãngao,akãngao,N,C,0,S,sombrero,sombrero,N,C,M,S
akãngaonguera,akãngao,N,C,0,P,sombreros,sombrero,N,C,M,P
akãnga'u,akãnga'u,N,C,0,S,mareo,mareo,N,C,M,S
akãnga'unguera,akãnga'u,N,C,0,P,mareos,mareo,N,C,M,P
akãnga'u,akãnga'u,N,C,0,S,vértigo,vértigo,N,C,M,S
akãnga'unguera,akãnga'u,N,C,0,P,vértigos,vértigo,N,C,M,P
akãngua,akãngua,N,C,0,S,mente,mente,N,C,F,S
akãnguanguera,akãngua,N,C,0,P,mentes,mente,N,C,F,P
akãnundu,akãnundu,N,C,0,S,fiebre,fiebre,N,C,F,S
akãnundunguera,akãnundu,N,C,0,P,fiebres,fiebre,N,C,F,P
akãnunduro'y,akãnunduro'y,N,C,0,S,malaria,malaria,N,C,F,S
akãnunduro'ynguera,akãnunduro'y,N,C,0,P,malarias,malaria,N,C,F,P
akãnunduro'y,akãnunduro'y,N,C,0,S,paludismo,paludismo,N,C,M,S
akãnunduro'ynguera,akãnunduro'y,N,C,0,P,paludismos,paludismo,N,C,M,P
akãnunduro'y,akãnunduro'y,N,C,0,S,chucho,chucho,N,C,M,S
akãnunduro'ynguera,akãnunduro'y,N,C,0,P,chuchos,chucho,N,C,M,P
akão,akão,N,C,0,S,sombrero,sombrero,N,C,M,S
akãokuera,akão,N,C,0,P,sombreros,sombrero,N,C,M,P
akãpete,akãpete,N,C,0,S,coscorrón,coscorrón,N,C,M,S
akãpetekuera,akãpete,N,C,0,P,coscorrones,coscorrón,N,C,M,P
akãporã,akãporã,N,C,0,S,talento,talento,N,C,M,S
akãporãkuera,akãporã,N,C,0,P,talentos,talento,N,C,M,P
akãporã,akãporã,N,C,0,S,inteligencia,inteligencia,N,C,F,S
akãporãkuera,akãporã,N,C,0,P,inteligencias,inteligencia,N,C,F,P
akãrague,akãrague,N,C,0,S,cabello,cabello,N,C,M,S
akãraguekuera,akãrague,N,C,0,P,cabellos,cabello,N,C,M,P
akãrague,akãrague,N,C,0,S,cabellera,cabellera,N,C,F,S
akãraguekuera,akãrague,N,C,0,P,cabelleras,cabellera,N,C,F,P
akãraku,akãraku,N,C,0,S,entusiasmo,entusiasmo,N,C,M,S
akãrakukuera,akãraku,N,C,0,P,entusiasmos,entusiasmo,N,C,M,P
akãraku,akãraku,N,C,0,S,apasionamiento,apasionamiento,N,C,M,S
akãrakukuera,akãraku,N,C,0,P,apasionamientos,apasionamiento,N,C,M,P
akãraku,akãraku,N,C,0,S,vehemencia,vehemencia,N,C,F,S
akãrakukuera,akãraku,N,C,0,P,vehemencias,vehemencia,N,C,F,P
akãraku,akãraku,N,C,0,S,fervor,fervor,N,C,M,S
akãrakukuera,akãraku,N,C,0,P,fervores,fervor,N,C,M,P
akãrapu'ã,akãrapu'ã,N,C,0,S,triunfo,triunfo,N,C,M,S
akãrapu'ãkuera,akãrapu'ã,N,C,0,P,triunfos,triunfo,N,C,M,P
akãrapu'ã,akãrapu'ã,N,C,0,S,progreso,progreso,N,C,M,S
akãrapu'ãkuera,akãrapu'ã,N,C,0,P,progresos,progreso,N,C,M,P
akãrapu'ã,akãrapu'ã,N,C,0,S,crecimiento,crecimiento,N,C,M,S
akãrapu'ãkuera,akãrapu'ã,N,C,0,P,crecimientos,crecimiento,N,C,M,P
akãrapu'ã,akãrapu'ã,N,C,0,S,desarrollo,desarrollo,N,C,M,S
akãrapu'ãkuera,akãrapu'ã,N,C,0,P,desarrollos,desarrollo,N,C,M,P
akãrasy,akãrasy,N,C,0,S,cefalalgia,cefalalgia,N,C,F,S
akãrasykuera,akãrasy,N,C,0,P,cefalalgias,cefalalgia,N,C,F,P
akãratĩkuera,akãratĩ,N,C,0,P,cuernos,cuerno,N,C,M,P
akãsã,akãsã,N,C,0,S,cabestro,cabestro,N,C,M,S
akãsãkuera,akãsã,N,C,0,P,cabestros,cabestro,N,C,M,P
"akãtarova,_akãtavy","akãtarova,_akãtavy",N,C,0,S,mareo,mareo,N,C,M,S
"akãtarova,_akãtavykuera","akãtarova,_akãtavy",N,C,0,P,mareos,mareo,N,C,M,P
akãtĩkuera,akãtĩ,N,C,0,P,canas,cana,N,C,F,P
akã'y,akã'y,N,C,0,S,hidrocefalia,hidrocefalia,N,C,F,S
akã'ykuera,akã'y,N,C,0,P,hidrocefalias,hidrocefalia,N,C,F,P
ama,ama,N,C,0,S,lluvia,lluvia,N,C,F,S
amanguera,ama,N,C,0,P,lluvias,lluvia,N,C,F,P
amambái,amambái,N,C,0,S,helecho,helecho,N,C,M,S
amambáinguera,amambái,N,C,0,P,helechos,helecho,N,C,M,P
amamo'ãha,amamo'ãha,N,C,0,S,impermeable,impermeable,N,C,M,S
amamo'ãhanguera,amamo'ãha,N,C,0,P,impermeables,impermeable,N,C,M,P
amamo'ãha,amamo'ãha,N,C,0,S,paraguas,paraguas,N,C,M,N
amandaje,amandaje,N,C,0,S,asamblea,asamblea,N,C,F,S
amandajenguera,amandaje,N,C,0,P,asambleas,asamblea,N,C,F,P
amandaje,amandaje,N,C,0,S,convención,convención,N,C,F,S
amandajenguera,amandaje,N,C,0,P,convenciones,convención,N,C,F,P
amandaje,amandaje,N,C,0,S,mitin,mitin,N,C,M,S
amandajenguera,amandaje,N,C,0,P,mítines,mitin,N,C,M,P
amandaje,amandaje,N,C,0,S,vecindario,vecindario,N,C,M,S
amandajenguera,amandaje,N,C,0,P,vecindarios,vecindario,N,C,M,P
amandaje,amandaje,N,C,0,S,llamamiento,llamamiento,N,C,M,S
amandajenguera,amandaje,N,C,0,P,llamamientos,llamamiento,N,C,M,P
amandayvi,amandayvi,N,C,0,S,garúa,garúa,N,C,F,S
amandayvinguera,amandayvi,N,C,0,P,garúas,garúa,N,C,F,P
amandáu,amandáu,N,C,0,S,granizo,granizo,N,C,M,S
amandáunguera,amandáu,N,C,0,P,granizos,granizo,N,C,M,P
amangy,amangy,N,C,0,S,aguacero,aguacero,N,C,M,S
amangynguera,amangy,N,C,0,P,aguaceros,aguacero,N,C,M,P
amangy,amangy,N,C,0,S,garúa,garúa,N,C,F,S
amangynguera,amangy,N,C,0,P,garúas,garúa,N,C,F,P
amavera,amavera,N,C,0,S,relámpago,relámpago,N,C,M,S
amaveranguera,amavera,N,C,0,P,relámpagos,relámpago,N,C,M,P
ambere,ambere,N,C,0,S,lagartija,lagartija,N,C,F,S
amberenguera,ambere,N,C,0,P,lagartijas,lagartija,N,C,F,P
ambopi,ambopi,N,C,0,S,fleco,fleco,N,C,M,S
ambopinguera,ambopi,N,C,0,P,flecos,fleco,N,C,M,P
ambu,ambu,N,C,0,S,jadeo,jadeo,N,C,M,S
ambunguera,ambu,N,C,0,P,jadeos,jadeo,N,C,M,P
ambu,ambu,N,C,0,S,ronquido,ronquido,N,C,M,S
ambunguera,ambu,N,C,0,P,ronquidos,ronquido,N,C,M,P
ambu'a,ambu'a,N,C,0,S,miriápodo,miriápodo,N,C,M,S
ambu'anguera,ambu'a,N,C,0,P,miriápodos,miriápodo,N,C,M,P
ambu'a,ambu'a,N,C,0,S,milpiés,milpiés,N,C,M,N
ambýu,ambýu,N,C,0,S,moco,moco,N,C,M,S
ambýunguera,ambýu,N,C,0,P,mocos,moco,N,C,M,P
ambýu,ambýu,N,C,0,S,flema,flema,N,C,F,S
ambýunguera,ambýu,N,C,0,P,flemas,flema,N,C,F,P
amyrỹi,amyrỹi,N,C,0,S,difunta,difunto,N,C,F,S
amyrỹinguera,amyrỹi,N,C,0,P,difuntas,difunto,N,C,F,P
amyrỹi,amyrỹi,N,C,0,S,difunto,difunto,N,C,M,S
amyrỹinguera,amyrỹi,N,C,0,P,difuntos,difunto,N,C,M,P
amyrỹi,amyrỹi,N,C,0,S,finada,finado,N,C,F,S
amyrỹinguera,amyrỹi,N,C,0,P,finadas,finado,N,C,F,P
amyrỹi,amyrỹi,N,C,0,S,finado,finado,N,C,M,S
amyrỹinguera,amyrỹi,N,C,0,P,finados,finado,N,C,M,P
anambusukue,anambusukue,N,C,0,S,grosor,grosor,N,C,M,S
anambusukuenguera,anambusukue,N,C,0,P,grosores,grosor,N,C,M,P
anana,anana,N,C,0,S,piña,piña,N,C,F,S
anananguera,anana,N,C,0,P,piñas,piña,N,C,F,P
anana,anana,N,C,0,S,ananás,ananás,N,C,M,N
anananguera,anana,N,C,0,P,ananases,ananás,N,C,M,P
andai,andai,N,C,0,S,calabaza,calabaza,N,C,F,S
andainguera,andai,N,C,0,P,calabazas,calabaza,N,C,F,P
andu,andu,N,C,0,S,sentimiento,sentimiento,N,C,M,S
andunguera,andu,N,C,0,P,sentimientos,sentimiento,N,C,M,P
andu,andu,N,C,0,S,sensación,sensación,N,C,F,S
andunguera,andu,N,C,0,P,sensaciones,sensación,N,C,F,P
andu,andu,N,C,0,S,sensibilidad,sensibilidad,N,C,F,S
andunguera,andu,N,C,0,P,sensibilidades,sensibilidad,N,C,F,P
andu,andu,N,C,0,S,visita,visita,N,C,F,S
andunguera,andu,N,C,0,P,visitas,visita,N,C,F,P
andu,andu,N,C,0,S,presentimiento,presentimiento,N,C,M,S
andunguera,andu,N,C,0,P,presentimientos,presentimiento,N,C,M,P
andu,andu,N,C,0,S,sentido,sentido,N,C,M,S
andunguera,andu,N,C,0,P,sentidos,sentido,N,C,M,P
andupe'aha,andupe'aha,N,C,0,S,narcótico,narcótico,N,C,M,S
andupe'ahanguera,andupe'aha,N,C,0,P,narcóticos,narcótico,N,C,M,P
andýra,andýra,N,C,0,S,murciélago,murciélago,N,C,M,S
andýranguera,andýra,N,C,0,P,murciélagos,murciélago,N,C,M,P
andýra,andýra,N,C,0,S,vampiro,vampiro,N,C,M,S
andýranguera,andýra,N,C,0,P,vampiros,vampiro,N,C,M,P
angaipa,angaipa,N,C,0,S,pecado,pecado,N,C,M,S
angaipanguera,angaipa,N,C,0,P,pecados,pecado,N,C,M,P
angaipa,angaipa,N,C,0,S,culpa,culpa,N,C,F,S
angaipanguera,angaipa,N,C,0,P,culpas,culpa,N,C,F,P
angaipa,angaipa,N,C,0,S,crimen,crimen,N,C,M,S
angaipanguera,angaipa,N,C,0,P,crímenes,crimen,N,C,M,P
angaipa,angaipa,N,C,0,S,falta,falta,N,C,F,S
angaipanguera,angaipa,N,C,0,P,faltas,falta,N,C,F,P
angajevy,angajevy,N,C,0,S,arrepentimiento,arrepentimiento,N,C,M,S
angajevynguera,angajevy,N,C,0,P,arrepentimientos,arrepentimiento,N,C,M,P
angapyhy,angapyhy,N,C,0,S,satisfacción,satisfacción,N,C,F,S
angapyhynguera,angapyhy,N,C,0,P,satisfacciones,satisfacción,N,C,F,P
angapyhy,angapyhy,N,C,0,S,placer,placer,N,C,M,S
angapyhynguera,angapyhy,N,C,0,P,placeres,placer,N,C,M,P
angapyhynguera,angapyhy,N,C,0,P,paces,paz,N,C,F,P
angapyhy,angapyhy,N,C,0,S,paz,paz,N,C,F,S
angapyhy,angapyhy,N,C,0,S,consuelo,consuelo,N,C,M,S
angapyhynguera,angapyhy,N,C,0,P,consuelos,consuelo,N,C,M,P
angapyhy,angapyhy,N,C,0,S,fruición,fruición,N,C,F,S
angapyhynguera,angapyhy,N,C,0,P,fruiciones,fruición,N,C,F,P
angareko,angareko,N,C,0,S,cuidado,cuidado,N,C,M,S
angarekonguera,angareko,N,C,0,P,cuidados,cuidado,N,C,M,P
angareko,angareko,N,C,0,S,inquietud,inquietud,N,C,F,S
angarekonguera,angareko,N,C,0,P,inquietudes,inquietud,N,C,F,P
angata,angata,N,C,0,S,preocupación,preocupación,N,C,F,S
angatanguera,angata,N,C,0,P,preocupaciones,preocupación,N,C,F,P
angata,angata,N,C,0,S,cuidado,cuidado,N,C,M,S
angatanguera,angata,N,C,0,P,cuidados,cuidado,N,C,M,P
angata,angata,N,C,0,S,angustia,angustia,N,C,F,S
angatanguera,angata,N,C,0,P,angustias,angustia,N,C,F,P
angata,angata,N,C,0,S,aflicción,aflicción,N,C,F,S
angatanguera,angata,N,C,0,P,aflicciones,aflicción,N,C,F,P
angata,angata,N,C,0,S,anhelo,anhelo,N,C,M,S
angatanguera,angata,N,C,0,P,anhelos,anhelo,N,C,M,P
angata,angata,N,C,0,S,inquietud,inquietud,N,C,F,S
angatanguera,angata,N,C,0,P,inquietudes,inquietud,N,C,F,P
angata,angata,N,C,0,S,melancolía,melancolía,N,C,F,S
angatanguera,angata,N,C,0,P,melancolías,melancolía,N,C,F,P
anga'u,anga'u,N,C,0,S,recuerdo,recuerdo,N,C,M,S
anga'unguera,anga'u,N,C,0,P,recuerdos,recuerdo,N,C,M,P
anga'u,anga'u,N,C,0,S,añoranza,añoranza,N,C,F,S
anga'unguera,anga'u,N,C,0,P,añoranzas,añoranza,N,C,F,P
angekói,angekói,N,C,0,S,inquietud,inquietud,N,C,F,S
angekóinguera,angekói,N,C,0,P,inquietudes,inquietud,N,C,F,P
angekói,angekói,N,C,0,S,malestar,malestar,N,C,M,S
angekóinguera,angekói,N,C,0,P,malestares,malestar,N,C,M,P
angekói,angekói,N,C,0,S,preocupación,preocupación,N,C,F,S
angekóinguera,angekói,N,C,0,P,preocupaciones,preocupación,N,C,F,P
angekói,angekói,N,C,0,S,molestia,molestia,N,C,F,S
angekóinguera,angekói,N,C,0,P,molestias,molestia,N,C,F,P
angekói,angekói,N,C,0,S,intranquilidad,intranquilidad,N,C,F,S
angekóinguera,angekói,N,C,0,P,intranquilidades,intranquilidad,N,C,F,P
angekói,angekói,N,C,0,S,enfado,enfado,N,C,M,S
angekóinguera,angekói,N,C,0,P,enfados,enfado,N,C,M,P
angekói,angekói,N,C,0,S,pena,pena,N,C,F,S
angekóinguera,angekói,N,C,0,P,penas,pena,N,C,F,P
angekói,angekói,N,C,0,S,tribulación,tribulación,N,C,F,S
angekóinguera,angekói,N,C,0,P,tribulaciones,tribulación,N,C,F,P
angue,angue,N,C,0,S,fantasma,fantasma,N,C,M,S
anguenguera,angue,N,C,0,P,fantasmas,fantasma,N,C,M,P
angue,angue,N,C,0,S,aparición,aparición,N,C,F,S
anguenguera,angue,N,C,0,P,apariciones,aparición,N,C,F,P
anguja,anguja,N,C,0,S,ratón,ratón,N,C,M,S
angujanguera,anguja,N,C,0,P,ratones,ratón,N,C,M,P
anguja'i,anguja'i,N,C,0,S,laucha,laucha,N,C,F,S
anguja'inguera,anguja'i,N,C,0,P,lauchas,laucha,N,C,F,P
angu'a,angu'a,N,C,0,S,mortero,mortero,N,C,M,S
angu'anguera,angu'a,N,C,0,P,morteros,mortero,N,C,M,P
angu'a,angu'a,N,C,0,S,tambor,tambor,N,C,M,S
angu'anguera,angu'a,N,C,0,P,tambores,tambor,N,C,M,P
angu'a,angu'a,N,C,0,S,timbal,timbal,N,C,M,S
angu'anguera,angu'a,N,C,0,P,timbales,timbal,N,C,M,P
angu'atarara,angu'atarara,N,C,0,S,tambor,tambor,N,C,M,S
angu'atararanguera,angu'atarara,N,C,0,P,tambores,tambor,N,C,M,P
angu'atarara,angu'atarara,N,C,0,S,bombo,bombo,N,C,M,S
