ñane,ñande,D,P,1,C,N,P,I,N,0,0,nuestras,nuestro,D,P,1,F,P,P
ñane,ñande,D,P,1,C,N,P,I,N,0,0,nuestro,nuestro,D,P,1,M,S,P
ñane,ñande,D,P,1,C,N,P,I,N,0,0,nuestros,nuestro,D,P,1,M,P,P
ore,ore,D,P,1,C,N,P,E,0,0,0,nuestra,nuestro,D,P,1,F,S,P
ore,ore,D,P,1,C,N,P,E,0,0,0,nuestras,nuestro,D,P,1,F,P,P
ore,ore,D,P,1,C,N,P,E,0,0,0,nuestro,nuestro,D,P,1,M,S,P
ore,ore,D,P,1,C,N,P,E,0,0,0,nuestros,nuestro,D,P,1,M,P,P
h_#,h,D,P,3,C,N,N,0,0,1,0,su,su,D,P,3,C,S,N
h_#,h,D,P,3,C,N,N,0,0,1,0,sus,su,D,P,3,C,P,N
ij_,ij,D,P,3,C,N,N,0,0,2,0,su,su,D,P,3,C,S,N
ij_,ij,D,P,3,C,N,N,0,0,2,0,sus,su,D,P,3,C,P,N
iñ_,iñ,D,P,3,C,N,N,0,0,3,0,su,su,D,P,3,C,S,N
iñ_,iñ,D,P,3,C,N,N,0,0,3,0,sus,su,D,P,3,C,P,N
i_,i,D,P,3,C,N,N,0,0,4,0,su,su,D,P,3,C,S,N
i_,i,D,P,3,C,N,N,0,0,4,0,sus,su,D,P,3,C,P,N
hi'_,hi',D,P,3,C,N,N,0,0,5,0,su,su,D,P,3,C,S,N
hi'_,hi',D,P,3,C,N,N,0,0,5,0,sus,su,D,P,3,C,P,N
nde,nde,D,P,2,C,N,S,0,O,0,0,tu,tu,D,P,2,C,S,S
nde,nde,D,P,2,C,N,S,0,O,0,0,tus,tu,D,P,2,C,P,S
ne,nde,D,P,2,C,N,S,0,N,0,0,tu,tu,D,P,2,C,S,S
ne,nde,D,P,2,C,N,S,0,N,0,0,tus,tu,D,P,2,C,P,S
pende,pende,D,P,2,C,N,P,0,O,0,0,vuestra,vuestro,D,P,2,F,S,P
pende,pende,D,P,2,C,N,P,0,O,0,0,vuestras,vuestro,D,P,2,F,P,P
pende,pende,D,P,2,C,N,P,0,O,0,0,vuestro,vuestro,D,P,2,M,S,P
pende,pende,D,P,2,C,N,P,0,O,0,0,vuestros,vuestro,D,P,2,M,P,P
pene,pende,D,P,2,C,N,P,0,N,0,0,vuestra,vuestro,D,P,2,F,S,P
pene,pende,D,P,2,C,N,P,0,N,0,0,vuestras,vuestro,D,P,2,F,P,P
pene,pende,D,P,2,C,N,P,0,N,0,0,vuestro,vuestro,D,P,2,M,S,P
pene,pende,D,P,2,C,N,P,0,N,0,0,vuestros,vuestro,D,P,2,M,P,P
