las reservas , ñongatupykuéra
derecho ,derecho
subsidio de el paro ,subsidio  pytu'u _gua
y ,ha
a los servicios , pytyvõnguéra _pe
de esta forma ,ko ta'anga _gua
es la firma ,oha'e *  teraguapy
de ,de
da ,ombojára *
derecho ,derecho
de ,de
subsidios ,pytyvõnguéra
y ,ha
no ,no
el simple hecho , jehupyre ndahasýi
de ,de
haber ,haber
administra ,administra
de ,de
desempleo ,desempleo
búsqueda ,tembireka
activa ,activa
de ,de
empleo ,mba'apo
a los retos profesionales , ja'okuéra profesionales _pe
y ,ha
entrevistas ,ñomongetakuéra
de esos compromisos ,umi poroapytĩnguéra _gua
sería ,sería
reducciones ,ñemomichĩnguéra
en el subsidio , pytyvõ _me
de ,de
desempleo ,desempleo
el carácter obligatorio , reko obligatorio
de ,de
y ,ha
las sanciones , jepykuéra
son ,pu
más ,más
el texto , kuatia
de ,de
de ,de
contratos ,contratos
de ,de
trabajo ,tembiapo
de una duración ,una duración _gui
meses ,jasykuéra
cinco ,cinco
años ,arajerekuéra
y ,ha
de ,de
meses ,jasykuéra
de ,de
referencia ,referencia
exige ,exige
haber ,haber
para ,omombyta *
poder ,pokatu
el subsidio , pytyvõ
de ,de
desempleo ,desempleo
de las licencias , sãsokuéra _gui
de ,de
telefonía ,telefonía
móvil ,móvil
permitirá ,omoneĩt *
el mercado , ñemuha
operadores ,operadores
de ,de
servicios ,pytyvõnguéra
dijo ,ho'ytakuri *
hoy ,ko'ára
el presidente , mburuvicha
de el mercado , ñemuha _gui
quintana ,quintana
intervino ,oñemoingekuri *
hoy ,ko'ára
en unas jornadas ,unas jornadas _pe
sobre ,sobre
acceso ,acceso
radio en el bucle local ,radio  avakua apegua _pe
de ,de
abonado ,abonado
asociación ,asociación
y ,ha
dijo ,ho'ytakuri *
las ,las
concesión ,mba'eme'ẽ
de ,de
licencias ,sãsokuéra
español ,karaiñe'ẽ
concurso ,concurso
y ,ha
no ,no
subasta ,subasta
el estado , teko
pero ,jepéramo
pueden ,okatu *
su red ,i_ kyha
más ,más
operadores ,operadores
de ,de
servicios ,pytyvõnguéra
móviles ,móviles
la red , kyha
de ,de
telecomunicaciones ,telecomunicaciones
licencias ,sãsokuéra
de ,de
móvil ,móvil
el presidente , mburuvicha
de el mercado , ñemuha _gui
competencia ,competencia
todo ,todo
el mundo , arapy
como ,añemboapyte *
consecuencia ,tapykuegua
de ,de
ha ,oĩ *
hecho ,jehupyre
principios ,ñepyrũnguéra
y ,ha
no ,no
técnicos ,técnicos
y ,ha
este mercado ,ko ñemuha
como ,añemboapyte *
quintana ,quintana
la apertura , jepe'a
de la red , kyha _gua
de ,de
telefonía ,telefonía
local ,óga
de ,de
a otros operadores ,otros operadores _pe
no es la solución total ,ndoha'ei *  ry oĩmbáva
en la red , kyha _pe
no ,no
como una inversión atractiva ,ajepy'ajoko * una inversión kavure'i
y ,ha
el gobierno debe , tekuái debe
la puesta , ñemoĩ
marcha de las licencias ,marcha  sãsokuéra _gui
de ,de
telefonía ,telefonía
local ,óga
vía ,guataha
radio ,radio
va ,oho *
han ,oĩ *
ganado ,tymba
quintana ,quintana
explicó ,omosakãkuri *
de ,de
periodistas ,periodistas
vía ,tape
radio ,radio
telefonía ,telefonía
tecnologías ,tecnologías
móviles ,móviles
por la llegada , ñeguahẽ rehe
de ,de
nuevas ,nuevas
tecnologías ,tecnologías
y ,ha
de ,de
permitirá ,omboajet *
los ,los
tienen estas licencias ,oreko * ko'ã sãsokuéra
telefonía ,telefonía
local ,óga
vía ,guataha
radio ,radio
el presidente , mburuvicha
mostró ,mostró
partidario ,rapykuerigua
de ,de
como ,ha'u *
puede ,opojái *
ser ,ser
a la información , momarandu _pe
de ,de
a otros operadores ,otros operadores _pe
sobre la oferta , ñekuave'ẽ ári
de ,de
interconexión ,interconexión
de otros operadores ,otros operadores _gua
acaba ,opa *
de ,de
quintana ,quintana
dijo ,ho'ytakuri *
y ,ha
pronto ,pronto
darán ,ome'ẽt *
servicios ,pytyvõnguéra
y ,ha
es ,oha'e *
imposible ,imposible
todos ,todos
y ,ha
trata ,trata
de ,de
el mercado , ñemuha
no ,no
lo ,lo
hay ,oĩ *
investigación ,investigación
es el camino para el crecimiento ,oha'e *  tape  ñembotuicha g̃uarã
y ,ha
la prosperidad económica , po'a económica
afirmaron ,afirmaron
hoy ,ko'ára
empresarios ,empresarios
de ,de
y ,ha
el director , ruvicha
de ,de
investigación ,investigación
de ,de
abogaron ,abogaron
cultura ,arandu
científica ,científica
de los ciudadanos , tetaguãnguéra _gui
y ,ha
la ,la
cultura ,arandu
de el libro , kuatia _gui
la prosperidad , po'a
de ,de
el secretario general , pytyvõha pavẽ
de ,de
abogó por la formación ,abogó  tesape'a _re
temas ,ñe'ẽmbyrãnguéra
de ,de
innovación ,innovación
investigación ,investigación
en la unión europea , jejura europea _pe
sitúa ,omohenda *
ciento ,ciento
de ,de
frente ,syva
ciento ,ciento
japón ,japón
y ,ha
está ,oime *
el buen camino , tape marangatu
y ,ha
está ,oiko *
en este sentido ,ko andu _pe
de ,de
ciencia ,pokuaa
y ,ha
tecnología ,tecnología
y ,ha
a las primeras declaraciones , ñemombe'ukuéra primeras _pe
sobre ,sobre
desarrollo ,ñakãrapu'ã
e ,ha
innovación ,innovación
el representante , mbuekovia
aseguró ,omombaretekuri *
y ,ha
y ,ha
ofreció el apoyo ,oropojáikuri *  pytyvõ
de ,de
la ,la
de los retos , ja'okuéra _gui
gobierno en esta materia ,asãmbyhy * ko mba'e _pe
investigación ,investigación
contribuye a la prosperidad económica ,contribuye  po'a económica _pe
y ,ha
destacó la colaboración ,destacó  ñepytyvõ
y ,ha
estados ,tetãnguéra
en este campo ,ko ñu _me
el libro , kuatia
hoy ,ko'ára
recoge ,omono'õ *
de ,de
forma ,ysaja
de ,de
desarrollo ,ñakãrapu'ã
de ,de
universitaria ,universitaria
americana ,americana
y ,ha
propone ,propone
la enseñanza para , moaranduha opyta *
la provisión futura , jegueru upeigua
de ,de
científicos ,científicos
sobresalientes ,sobresalientes
y ,ha
pone ,omoĩ *
de ,de
manifiesto ,manifiesto
centran ,omombyte *
más ,más
la ,la
objetivos ,temimo'ãnguéra
de ,de
mercado ,ñemuha
este documento ,ko kuatia
como ,akaru *
de ,de
hace ,ojapo *
hincapié ,hincapié
investigación ,investigación
son ,pu
el conocimiento básico tiende , jekuaa básico omosaingo *
ser ,ser
innovaciones ,innovaciones
producen ,omoheñói *
beneficios ,beneficios
para el director general ,ojoko *  ruvicha pavẽ
de ,de
investigación ,investigación
de ,de
la ,la
es ,oha'e *
fondo ,tugua
de ,de
calidad ,calidad
e ,ha
la colaboración , pytyvõ
y ,ha
técnicos ,técnicos
y ,ha
el sector productivo , pehẽngue productivo
de ,de
dijo ,ho'ytakuri *
hoy ,ko'ára
efe ,efe
los agentes sociales deben , tahachikuéra jojapy deben
mentalidad ,mentalidad
la ,la
con el presidente , mburuvicha ndive
de el gobierno , porukái _gui
maría ,maría
aznar ,aznar
trata ,trata
de ,de
los intereses generales , kuaasekuéra pavẽ
de los españoles , karaiñe'ẽnguéra _gua
cuenta ,cuenta
es el país de la unión europea ,oha'e *  tetã  ñomoirũ europea _gui
más ,más
empleo ,mba'apoha
ha ,oime *
registra ,ojepovyvy *
mayor ,mayor
crecimiento ,akãrapu'ã
en su opinión ,i_ ñeimo'ã _me
de ,de
relevancia ,relevancia
la reunión , no'õ
celebrará ,oropurahéit *
aznar ,aznar
con el dirigente , myenondehára ndive
maría ,maría
cuevas ,itakuakuéra
y ,ha
los ,los
de ,de
el interés , kuaase
de ,de
aznar ,aznar
y ,ha
de ,de
proceso de el diálogo social ,proceso  ñomongeta jojapy _gui
eje ,eje
el gobierno , tekuái
y ,ha
resultados ,tembiapokuekuéra
para el empleo ,ojoko *  mba'apoha
y ,ha
la seguridad social , kyhyje'ỹ jojapy
la reforma laboral , ñembopyahu laboral
de ,de
fruto ,‘a
de los acuerdos , jurupeteĩnguéra _gui
con los agentes sociales , tahachikuéra jojapy ndive
tuvo ,oguerekokuri *
efectos ,ra'ykuekuéra
sobre el empleo , tembiapo ári
y ,ha
sirvió ,opytyvõkuri *
para ,omombyta *
el crecimiento , mopu'ã
produjo ,omoheñóikuri *
de ,de
dicha ,tory
reforma ,ñembopyahu
de ,de
así ,ajapyhykuri *
tiempo ,ára
parcial ,parcial
las relaciones laborales , jokuaakuéra laborales
juicio ,apytu'ũ
de ,de
es ,oha'e *
en la reforma laboral , ñembopyahu laboral _pe
fin ,opa
de ,de
más ,más
empleo ,mba'apoha
de ,de
temporalidad ,temporalidad
y ,ha
en el trabajo , tembiapo _pe
banco ,apyka
uno ,añopẽ *
de ,de
los ,los
bancos ,apykakuéra
más ,más
grandes ,grandes
anunció ,oñandukakuri *
hoy ,ko'ára
despedirá ,despedirá
empleados ,tembiguáikuéra
más ,más
de ,de
finales ,apykuéra
de el año , arajere _gua
de ,de
saneamiento ,ñemohesãi
el director , sãmbyhyha
de el banco , apyka _gua
y ,ha
no ,no
la reducción , ñemomichĩ
el estado dispone , ñeĩ omoĩ *
de ,de
ciento ,ciento
de las acciones , tembiapokuéra _gui
de ,de
y ,ha
el gobierno checo quiere , tekuái checo opota *
de ,de
privatización ,privatización
de este banco ,ko guapyha _gua
en este año ,ko arajere _pe
y ,ha
septiembre ,septiembre
de ,de
de los objetivos , jejaporãnguéra _gui
es ,oha'e *
los errores , jejavykuéra
obligaron a el gobierno ,ojurakuri *  tekuái _pe
créditos ,créditos
de ,de
millones ,millones
de ,de
coronas ,coronas
millones ,millones
de ,de
dólares ,dólares
permitirá a el banco ,omoneĩt *  apyka _pe
es ,oha'e *
condición ,condición
para ,opyta *
de el banco , apyka _gui
está ,oĩ *
por la violación , ñerairõ rupi
de los límites , apýrakuéra _gui
de ,de
crédito ,crédito
en sus negocios ,i_ ñemukuéra _pe
y ,ha
supusieron ,supusieron
pérdidas ,jerokañynguéra
a el banco , guapyha _pe
de ,de
millones ,millones
de ,de
dólares ,dólares
el año , arajere
pasado ,pasado
cambios ,ñembyekoviakuéra
de ,de
directivos ,directivos
a todos los ,todos los _pe
niveles ,yvatekuekuéra
desde su director general ,i_ mburuvicha pavẽ guive
y ,ha
presidente ,mburuvicha
jan ,jan
y ,ha
personal ,personal
medio ,apyte
tenía una plantilla ,aguerekomi * una plantilla
de ,de
empleados ,tembiguáikuéra
fines ,apýrakuéra
de ,de
de el presente año , arajere ãgagua _gui
y ,ha
funcionarios ,tembijokuáikuéra
fueron ,oha'ekuri *
de ,de
los ,los
está ,oĩ *
por la reducción , ñemomichĩ _re
la caja checa , ryru checa
de ,de
ahorros ,ahorros
los ,los
y ,ha
tiene ,oguereko *
de el fin , tenonderã _gui
de el año , arajere _gua
el banco comercial , guapyha comercial
checoslovaco ,checoslovaco
por el banco belga , guapyha belga rehe
y ,ha
el banco , guapyha
de ,de
inversiones ,inversiones
y ,ha
postal ,postal
moderada ,moderada
la reducción , ñemomichĩ
de ,de
plantilla ,plantilla
años ,arajerekuéra
bancos ,apykakuéra
ha ,oime *
de ,de
alrededor ,alrededor
de ,de
pero ,jepéramo
siguen ,omoña *
de ,de
principio ,ñepyrũ
establece el cambio ,omohenda *  ñembyekovia
de ,de
acciones ,tembiapokuéra
de ,de
el acuerdo , jurupeteĩ
de ,de
capital ,capital
de ,de
francos ,francos
suizos ,suizos
y ,ha
un dividendo especial ,un dividendo poravopyre
de ,de
francos ,francos
suizos ,suizos
de ,de
condicionado ,condicionado
de ,de
ciento ,ciento
de las acciones , tembiapokuéra _gua
circulación ,syry
de ,de
cabo ,apy
ingresos ,jeikekuéra
combinados ,combinados
de ,de
millones ,millones
de ,de
dólares ,dólares
supondrán ,supondrán
de ,de
millones ,millones
de ,de
dólares ,dólares
el acuerdo , ñe'ẽjoaju
ha ,oime *
el apoyo , pytyvõ
de ,de
de ,de
proporcionará ,ombopojáit *
ciento ,ciento
de las acciones , tembiapokuéra _gua
circulación ,syry
de ,de
través ,través
de ,de
prensa ,jopyha
el presidente , mburuvicha
de ,de
estoy ,aime *
seguro ,seguro
y ,ha
espero ,ajerovia *
de ,de
en una nueva industria ,una industria pyahu _pe
líder ,líder
nivel ,jojaha
en el sector , pehẽngue _pe
y ,ha
por su parte ,i_ pehẽngue rehe
el director ejecutivo , mburuvicha ejecutivo
de ,de
posición ,ñeĩha
para ,opyta *
las necesidades , kotevẽmbykuéra
es ,oha'e *
de el mundo , yvóra _gui
de ,de
aluminio ,aluminio
cuenta ,cuenta
operaciones ,operaciones
países ,tetãnguéra
y ,ha
emplea ,oporu *
alrededor ,alrededor
de ,de
de ,de
aluminio ,aluminio
y ,ha
productos ,tembiapokuekuéra
derivados ,derivados
presente ,presente
países ,tetãnguéra
y ,ha
opera en el sector ,otyembovo *  pehẽngue _pe
de ,de
aluminio ,aluminio
y ,ha
con una fuerte presencia ,una presencia mbarete _ndi
en el sector , pehẽngue _pe
de ,de
la ,la
y ,ha
de ,de
productos ,tembiapokuekuéra
cosméticos ,cosméticos
y ,ha
farmacéuticos ,pohanohárakuéra
de ,de
café ,café
aumentó ,okakuaakuri *
cerca ,mongoraha
de ,de
ciento ,ciento
lo ,lo
de ,de
los ,los
calcula ,opapa *
y ,ha
ciento ,ciento
de ,de
kilos ,kilos
de ,de
café ,café
persona a el año ,persona  arajere _pe
de ,de
café ,café
cerca ,mongoraha
de ,de
kilos ,kilos
persona ,avaite
los ,los
más ,más
reservados ,reservados
apenas ,pepy'apy *
kilos ,kilos
cabeza ,ruvicha
a el año , arajere _pe
y ,ha
de ,de
junio ,junio
encontrarán ,ojohut *
cerca ,mongoraha
de ,de
expertos ,expertos
de ,de
congreso ,congreso
europeo ,europeo
sobre ,sobre
café ,café
y ,ha
la búsqueda , teka
de ,de
caminos ,tapekuéra
la policía , tahachi
y ,ha
puso ,omoĩkuri *
financiero ,financiero
de ,de
la última semana , arapokõindy última
la ,la
calma a los mercados ,omombytu'u *  ñemuhakuéra _pe
campaña ,okára
por el consejo supremo , ñemoñe'ẽ supremo _re
de ,de
defensa ,defensa
de el país , tetã _gui
como ,ha'u *
amenaza a la seguridad nacional ,amenaza  kyhyje'ỹ nacional _me
a el tiempo , ára _pe
la ,la
calificaba ,calificaba
de ,de
y ,ha
los efectos negativos , ra'ykuekuéra negativos
plano ,plano
interno ,interno
y ,ha
la desconfianza , jepoyhu
de ,de
cientos ,cientos
de ,de
miles ,miles
de ,de
rumanos ,rumanos
en las autoridades , mburuvichakuéra _pe
de el estado , ñeĩ _gua
el fondo monetario , guy monetario
internacional ,internacional
aplazó ,ombo'arekuri *
de el acuerdo , oñoñe'ẽ _gui
de ,de
importancia ,importancia
capital ,capital
la ,la
quiebra de el fondo nacional ,osoite *  tevi nacional _gui
de ,de
inversores ,inversores
mayor ,mayor
fondo ,tugua
mutuo ,mutuo
semana ,arapokõindy
pasada ,jehasa
fue ,oha'ekuri *
seguida ,seguida
intentos ,intentos
en el banco comercial , guapyha comercial _pe
rumano ,rumano
de el estado , teko _gua
y ,ha
entidad ,entidad
la ,la
millones ,millones
de ,de
rumanos ,rumanos
las pruebas , ha'ãnguéra
recogidas ,recogidas
por la policía , tahachi rupi
así ,apyhykuri *
como ,añemboapyte *
informaciones ,momarandukuéra
de ,de
prensa ,jopyha
fueron ,ohokuri *
grupos ,atykuéra
difundieron ,omosarambikuri *
rumores ,terakuãnguéra
sobre la inminente quiebra , jeso inminente ári
de ,de
través ,través
de ,de
llamadas ,tenóikuéra
y ,ha
mensajes ,tembi'eukakuéra
correo ,correo
de estas llamadas ,ã tenóikuéra _gua
de ,de
fútbol ,fútbol
comprobó ,comprobó
desde un teléfono ,un teléfono guive
de el banco popular , apyka ka'avo _gui
rumano ,rumano
director ,mburuvicha
ha ,oime *
hasta el fin , apy peve
garantizó la solidez ,garantizó  atãngue
de ,de
de la moneda nacional , pirapire nacional _gua
de la gente , mbya _gua
de ,de
fueron ,oha'ekuri *
víctimas ,víctimas
de ,de
manipulaciones ,manipulaciones
contribuyeron ,contribuyeron
de ,de
la calma , kirirĩ
de este país ,ko tetã _gui
emitió ,emitió
hoy ,ko'ára
de ,de
detención ,detención
contra ,contra
administró el fondo nacional ,administró  tugua nacional
de ,de
inversiones ,inversiones
de ,de
más ,más
de ,de
dólares ,dólares
de ,de
millones ,millones
de ,de
dólares ,dólares
este fondo privado había ,ko tugua privado oĩmi *
de la población , tetã _gui
el gobierno rumano anunció , porukái rumano okuaaukakuri *
hoy ,ko'ára
medidas ,ta'ãnguéra
para ,ojoko *
sobre los fondos mutuos , kupekuéra mutuos ári
de ,de
inversiones ,inversiones
con el objetivo , ma'erã ndive
de ,de
el fraude , pokarẽ
el engaño , ñuhã
y ,ha
la falsa publicidad , momarandu añete'ỹ
de ,de
ecuador ,ecuador
confirmó ,omoañetekuri *
hoy ,ko'ára
el presidente , mburuvicha
de su país ,i_ tetã _gui
asistirá ,asistirá
la ,la
cumbre ,tu'ã
de ,de
jefes ,tendotakuéra
de ,de
estados ,tekokuéra
andinos ,andinos
celebrará ,oropurahéit *
lima ,lima
de ,de
junio ,junio
de ,de
trascendencia ,trascendencia
puesto ,koty'i
frente ,tenonde
a los grandes desafíos , jeporohekakuéra rusu _pe
nos ,nos
manifestó a la prensa peruana ,ho'ytakuri *  jopyha peruana _pe
el presidente , mburuvicha
el doctor , pohanohára
estará la próxima semana ,oimet *  arapokõindy kyta'i
lima ,lima
para ,ojoko *
en la reunión , no'õ _me
los presidentes , mburuvichakuéra
lima ,lima
estarán ,oimet *
los ,los
cinco ,cinco
mandatarios ,jokuaipykuéra
andinos ,andinos
de ,de
integración ,integración
impulsan sus países ,omomymýi * i_ tetãnguéra
hace ,ojapo *
más ,más
de ,de
cabecilla ,mburuvicha
de una intentona golpista ,una intentona golpista _gui
salió ,osẽkuri *
hoy ,ko'ára
de el parlamento , ñemongeta _gui
tiene ,oguereko *
retenidas ,retenidas
y ,ha
hace ,omba'apo *
ha ,oime *
definido ,definido
su acción ,i_ tembiapo
como ,ajepy'ajoko *
golpe ,pete
de ,de
estado ,ñeĩ
civil ,civil
favor ,ñepytyvõ
de ,de
nativos ,nativos
fiyianos ,fiyianos
de ,de
soldados ,soldados
hoy ,ko'ára
